 "'AS-IS'" 1 
 "A--a" 1 (L 895, off 1) 
 "EXPRESS" 1 (L 4829, off 24) 
 "Each" 1 (L 2847, off 15) 
 "Eagerly" 1 (L 3871, off 0) 
 "Easiest" 1 (L 2524, off 35) 
 "Either" 1 (L 1266, off 37) 
 "Email" 1 (L 4887, off 21) 
 "End" 1 (L 4591, off 0) 
 "English" 1 (L 16, off 10) 
 "Especially" 1 (L 990, off 8) 
 "Everybody" 1 (L 1343, off 25) 
 "Executive" 1 (L 4893, off 11) 
 "FITNESS" 1 (L 4830, off 33) 
 "FOUNDATION" 1 (L 4808, off 49) 
 "Fair" 1 (L 4193, off 1) 
 "Fairbanks" 1 (L 4884, off 0) 
 "Farther" 1 (L 4138, off 0) 
 "Find" 1 (L 1741, off 1) 
 "Flies" 1 (L 822, off 59) 
 "Folks" 1 (L 2681, off 65) 
 "Follow" 1 (L 3744, off 28) 
 "Foot" 1 (L 526, off 0) 
 "Forget" 1 (L 470, off 1) 
 "Forgotten" 1 (L 2604, off 0) 
 "From" 1 (L 2876, off 40) 
 "Full" 1 (L 4634, off 59) 
 "Funny" 1 (L 2375, off 28) 
 "GARIS" 1 (L 50, off 14) 
 "GIVE" 1 (L 4811, off 31) 
 "GUTENBERG-tm" 1 (L 4613, off 20) 
 "Girls" 1 (L 1190, off 1) 
 "Glad" 1 (L 4375, off 1) 
 "Gone" 1 (L 3733, off 1) 
 "Gregory" 1 (L 4892, off 9) 
 "Guess" 1 (L 1708, off 1) 
 "Gutenberg-tm's" 1 (L 4861, off 55) 
 "HAT--a" 1 (L 2793, off 7) 
 "HAVE" 1 (L 4806, off 26) 
 "HOWARD" 1 (L 50, off 4) 
 "Had" 1 (L 2409, off 1) 
 "Hadn" 1 (L 2962, off 1) 
 "Hardly" 1 (L 4318, off 0) 
 "Harmless" 1 (L 3803, off 18) 
 "Haven" 1 (L 2066, off 1) 
 "Having" 1 (L 1383, off 1) 
 "Hear" 1 (L 889, off 1) 
 "Heel" 1 (L 2354, off 1) 
 "Heel-plates" 1 (L 2426, off 1) 
 "Hemlock" 1 (L 438, off 61) 
 "Hey" 1 (L 3427, off 1) 
 "Hope" 1 (L 4373, off 41) 
 "Hopper--that" 1 (L 4340, off 36) 
 "Hopper--those" 1 (L 4321, off 17) 
 "Huntley" 1 (L 1448, off 27) 
 "Hurray" 1 (L 539, off 31) 
 "Hurrying" 1 (L 1797, off 0) 
 "I--I--" 1 
 "ILLUSTRATED" 1 (L 56, off 4) 
 "IMPLIED" 1 (L 4829, off 35) 
 "INCIDENTAL" 1 (L 4811, off 0) 
 "INCLUDING" 1 (L 4829, off 44) 
 "INDEMNITY" 1 (L 4840, off 8) 
 "INDIRECT" 1 (L 4810, off 34) 
 "IRS" 1 (L 4906, off 16) 
 "Illustration" 1 (L 36, off 1) 
 "Indian" 1 (L 675, off 25) 
 "Indians" 1 (L 1728, off 28) 
 "Instead" 1 (L 3655, off 57) 
 "Instinctively" 1 (L 4281, off 20) 
 "Internal" 1 (L 4876, off 58) 
 "International" 1 (L 4922, off 0) 
 "Italian" 1 (L 3374, off 44) 
 "Jed" 1 (L 4485, off 63) 
 "Jelly" 1 (L 843, off 49) 
 "Justa" 1 (L 3386, off 35) 
 "KIND" 1 (L 4829, off 18) 
 "LIABILITY" 1 (L 4807, off 0) 
 "LIABLE" 1 (L 4810, off 0) 
 "LUCK" 1 (L 3189, off 18) 
 "Lake" 1 (L 4886, off 26) 
 "Language" 1 (L 16, off 0) 
 "Lassoed" 1 (L 2488, off 1) 
 "Last" 1 (L 1569, off 35) 
 "Later" 1 (L 435, off 32) 
 "Lead" 1 (L 3610, off 49) 
 "Leave" 1 (L 1997, off 30) 
 "Leaving" 1 (L 2978, off 0) 
 "Left" 1 (L 1722, off 1) 
 "Lemon" 1 (L 2992, off 1) 
 "Leon" 1 (L 86, off 14) 
 "Listen" 1 (L 896, off 50) 
 "Looking" 1 (L 4335, off 1) 
 "Lucky" 1 (L 1468, off 1) 
 "Luke" 1 (L 1708, off 49) 
 "MERCHANTABILITY" 1 (L 4830, off 14) 
 "MIXED" 1 (L 818, off 61) 
 "MONKEY" 1 (L 71, off 26) 
 "Main" 1 (L 2051, off 40) 
 "Makes" 1 (L 510, off 1) 
 "Many" 1 (L 4904, off 50) 
 "May" 1 (L 296, off 35) 
 "Melan" 1 (L 4883, off 53) 
 "Mercy" 1 (L 2999, off 7) 
 "Might" 1 (L 3090, off 15) 
 "Mission" 1 (L 4852, off 35) 
 "Mississippi" 1 (L 4876, off 9) 
 "Mix" 1 (L 844, off 18) 
 "Model" 1 (L 1106, off 54) 
 "Mostly" 1 (L 4502, off 49) 
 "Motion" 1 (L 4182, off 1) 
 "Must" 1 (L 631, off 37) 
 "Mysterious" 1 (L 3382, off 1) 
 "NEGLIGENCE" 1 (L 4806, off 47) 
 "NOTE" 1 (L 125, off 12) 
 "NOTICE" 1 (L 4811, off 36) 
 "Near" 1 (L 2702, off 1) 
 "Newby" 1 (L 4892, off 20) 
 "Nexta" 1 (L 3367, off 16) 
 "Noon" 1 (L 2123, off 0) 
 "Nothing" 1 (L 4377, off 0) 
 "OTHER" 1 (L 4828, off 65) 
 "OWNER" 1 (L 4809, off 10) 
 "October" 1 (L 14, off 14) 
 "Old" 1 (L 2394, off 0) 
 "Open" 1 (L 2924, off 1) 
 "Other" 1 
 "Otherwise" 1 (L 695, off 57) 
 "Our" 1 (L 3581, off 12) 
 "Out" 1 (L 1250, off 16) 
 "PAGE" 1 (L 98, off 8) 
 "PARAGRAPH" 1 (L 4808, off 12) 
 "PARROT" 1 (L 73, off 26) 
 "PGLAF" 1 (L 4664, off 3) 
 "PLEASE" 1 (L 4629, off 0) 
 "PONY" 1 (L 74, off 26) 
 "POSSIBILITY" 1 (L 4811, off 50) 
 "PRINTED" 1 (L 90, off 4) 
 "PROVIDED" 1 (L 4808, off 0) 
 "PUBLISHER" 1 (L 125, off 0) 
 "PUNITIVE" 1 (L 4810, off 59) 
 "PURPOSE" 1 (L 4830, off 49) 
 "Parrot" 1 (L 52, off 37) 
 "Part" 1 (L 477, off 18) 
 "Plainly" 1 (L 3781, off 33) 
 "Please" 1 (L 4926, off 0) 
 "Pointing" 1 (L 328, off 63) 
 "Pole" 1 (L 932, off 13) 
 "Pony" 1 (L 53, off 20) 
 "Portchester" 1 (L 1447, off 31) 
 "Preparation" 1 
 "Probably" 1 (L 3813, off 32) 
 "Professor" 1 (L 4935, off 0) 
 "Public" 1 (L 4942, off 40) 
 "Publisher" 1 (L 4565, off 21) 
 "READ" 1 (L 4629, off 7) 
 "REFUND" 1 (L 4814, off 40) 
 "REMEDIES" 1 (L 4806, off 34) 
 "REPLACEMENT" 1 (L 4814, off 25) 
 "RIGHT" 1 (L 4814, off 16) 
 "ROOT" 1 (L 3003, off 50) 
 "Rain" 1 (L 4049, off 55) 
 "Rained" 1 (L 4043, off 1) 
 "Reaching" 1 (L 396, off 0) 
 "Redistributing" 1 (L 4639, off 37) 
 "Redistribution" 1 (L 4620, off 49) 
 "Refund" 1 (L 4801, off 18) 
 "Reindeers" 1 (L 930, off 1) 
 "Release" 1 (L 14, off 0) 
 "Removing" 1 (L 3613, off 0) 
 "Replacement" 1 (L 4801, off 3) 
 "Revenue" 1 (L 4877, off 0) 
 "River" 1 (L 439, off 0) 
 "SEND" 1 (L 4914, off 0) 
 "SERIES" 1 
 "SHOES" 1 (L 2739, off 7) 
 "STICKS" 1 (L 818, off 14) 
 "STRICT" 1 (L 4806, off 59) 
 "SUCH" 1 (L 4811, off 65) 
 "Said" 1 (L 2364, off 16) 
 "Salt" 1 (L 4886, off 21) 
 "Sam" 1 (L 1705, off 57) 
 "Same" 1 (L 4230, off 1) 
 "Samuel" 1 (L 1445, off 40) 
 "Sarsaparilla" 1 (L 2994, off 1) 
 "Scarcely" 1 (L 1046, off 15) 
 "Scared" 1 (L 607, off 1) 
 "Scout" 1 (L 2032, off 50) 
 "Scouts" 1 (L 2005, off 29) 
 "Scrambling" 1 (L 3442, off 0) 
 "Screens" 1 (L 822, off 33) 
 "Second" 1 (L 4180, off 1) 
 "Sections" 1 (L 4867, off 49) 
 "September" 1 (L 213, off 5) 
 "Service" 1 (L 4877, off 8) 
 "Shall" 1 (L 3153, off 41) 
 "Show" 1 (L 2074, off 5) 
 "Society" 1 (L 3655, off 48) 
 "Somebody--or" 1 (L 2249, off 1) 
 "Somehow" 1 (L 2178, off 0) 
 "Someone" 1 (L 2274, off 1) 
 "Someting" 1 (L 3368, off 8) 
 "Sort" 1 (L 2360, off 20) 
 "Sounds" 1 (L 2718, off 1) 
 "Special" 1 (L 4610, off 52) 
 "Spelling" 1 (L 4568, off 0) 
 "Start" 1 (L 1747, off 1) 
 "Stay" 1 (L 956, off 1) 
 "Still" 1 (L 455, off 1) 
 "Stop" 1 (L 2967, off 48) 
 "Stories" 1 (L 68, off 9) 
 "Stretching" 1 (L 1942, off 0) 
 "Summer" 1 (L 442, off 0) 
 "Sundays" 1 (L 2616, off 47) 
 "Suppose" 1 (L 2678, off 1) 
 "Surprise" 1 (L 1962, off 0) 
 "THOSE" 1 (L 4807, off 59) 
 "TODAY" 1 (L 2739, off 23) 
 "TRADEMARK" 1 (L 4809, off 0) 
 "TRUCK" 1 (L 3190, off 27) 
 "Tables" 1 (L 2126, off 30) 
 "Talk" 1 (L 3351, off 42) 
 "Tall" 1 (L 475, off 10) 
 "Teddy--that" 1 (L 571, off 26) 
 "Think" 1 (L 4171, off 29) 
 "Thus" 1 (L 4943, off 40) 
 "Tired" 1 (L 3627, off 0) 
 "Title" 1 (L 10, off 0) 
 "Titles" 1 (L 77, off 7) 
 "Tonight" 1 (L 2582, off 1) 
 "Transcriber" 1 (L 4563, off 0) 
 "Trotting" 1 (L 1824, off 61) 
 "Try" 1 (L 1912, off 1) 
 "UNDER" 1 (L 4809, off 37) 
 "USE" 1 (L 4629, off 42) 
 "UTF-" 1 (L 18, off 24) 
 "Uncle" 1 (L 54, off 17) 
 "Under" 1 (L 2868, off 0) 
 "Updated" 1 (L 4604, off 0) 
 "Very" 1 (L 2287, off 1) 
 "Volunteers" 1 (L 4860, off 0) 
 "WILL" 1 (L 4809, off 58) 
 "WITH" 1 (L 4828, off 57) 
 "WORK" 1 (L 4629, off 51) 
 "Warned" 1 (L 558, off 34) 
 "Was" 1 (L 4021, off 1) 
 "Water" 1 (L 1945, off 66) 
 "Well--er--yes--thanks--I" 1 (L 1908, off 1) 
 "Well--maybe" 1 (L 769, off 1) 
 "Weren" 1 (L 609, off 1) 
 "Western" 1 (L 4487, off 0) 
 "Westerners" 1 (L 2377, off 0) 
 "Whether" 1 (L 848, off 0) 
 "Whoever" 1 (L 2669, off 23) 
 "Wiggily" 1 (L 54, off 23) 
 "Will" 1 (L 2575, off 1) 
 "Wouldn" 1 (L 2571, off 42) 
 "Yet" 1 (L 423, off 36) 
 "a--a" 1 (L 895, off 14) 
 "abide" 1 (L 4645, off 57) 
 "abrupt" 1 (L 3784, off 63) 
 "accepting" 1 (L 4919, off 8) 
 "accessed" 1 (L 4695, off 29) 
 "accessible" 1 (L 4903, off 44) 
 "act" 1 (L 4388, off 34) 
 "activities" 1 (L 248, off 55) 
 "add" 1 (L 1208, off 38) 
 "adding" 1 (L 1535, off 47) 
 "addition" 1 (L 4682, off 28) 
 "additions" 1 (L 4848, off 39) 
 "addresses" 1 (L 4927, off 12) 
 "adjoined" 1 (L 3460, off 5) 
 "adjusted" 1 (L 2854, off 54) 
 "adjustment" 1 (L 209, off 50) 
 "adjustments" 1 (L 247, off 44) 
 "admiringly" 1 (L 3462, off 45) 
 "advance" 1 (L 3717, off 13) 
 "advancing" 1 (L 4347, off 22) 
 "adventure" 1 (L 3593, off 16) 
 "afraid" 1 (L 4518, off 13) 
 "afterward" 1 (L 3473, off 41) 
 "again--" 1 
 "again--of" 1 (L 4357, off 51) 
 "age" 1 (L 130, off 34) 
 "aid" 1 (L 133, off 0) 
 "aided" 1 (L 3855, off 38) 
 "aim" 1 (L 4532, off 58) 
 "alert" 1 (L 3876, off 33) 
 "allow" 1 (L 4832, off 27) 
 "allowance" 1 (L 779, off 21) 
 "alteration" 1 (L 4848, off 10) 
 "alternate" 1 (L 4740, off 11) 
 "amateurs" 1 (L 2088, off 19) 
 "anger" 1 (L 2940, off 3) 
 "angrily" 1 (L 1171, off 31) 
 "anyhow--had" 1 (L 4339, off 35) 
 "anyway" 1 (L 1922, off 0) 
 "appeal" 1 (L 130, off 61) 
 "appearance" 1 (L 650, off 33) 
 "appearing" 1 (L 4708, off 55) 
 "appears" 1 (L 4694, off 27) 
 "apply" 1 (L 4611, off 60) 
 "approach" 1 (L 4920, off 0) 
 "area" 1 (L 478, off 30) 
 "argued" 1 (L 1090, off 36) 
 "arise" 1 (L 4846, off 5) 
 "arm" 1 (L 530, off 31) 
 "arms" 1 (L 3723, off 36) 
 "arose" 1 (L 595, off 13) 
 "arranged" 1 (L 4366, off 0) 
 "arrangement" 1 (L 131, off 29) 
 "array" 1 (L 4904, off 0) 
 "arrival" 1 (L 3957, off 0) 
 "arter" 1 (L 2435, off 60) 
 "ash-strewn" 1 (L 4284, off 0) 
 "ashamed" 1 (L 4465, off 35) 
 "aside" 1 (L 3632, off 8) 
 "asking" 1 (L 1178, off 20) 
 "asserted" 1 (L 3119, off 28) 
 "assistance" 1 (L 4861, off 0) 
 "assumed" 1 (L 1148, off 0) 
 "astonished" 1 (L 1963, off 22) 
 "astronomer" 1 (L 2041, off 44) 
 "attacked" 1 (L 4442, off 43) 
 "authorities" 1 (L 2126, off 0) 
 "awake" 1 (L 4281, off 13) 
 "away--you" 1 (L 4619, off 54) 
 "backs" 1 (L 344, off 31) 
 "bacon" 1 (L 4203, off 7) 
 "balls" 1 (L 2784, off 39) 
 "band" 1 (L 859, off 13) 
 "bang" 1 (L 3208, off 33) 
 "banged" 1 (L 405, off 23) 
 "banks" 1 (L 4194, off 9) 
 "bark" 1 (L 4388, off 25) 
 "barked" 1 (L 578, off 39) 
 "barrage" 1 (L 3803, off 62) 
 "barrels" 1 (L 3175, off 53) 
 "bash" 1 (L 1087, off 61) 
 "bashed" 1 (L 1082, off 41) 
 "basin" 1 (L 1940, off 56) 
 "beach" 1 (L 194, off 31) 
 "beast" 1 (L 4284, off 64) 
 "beat" 1 (L 4083, off 33) 
 "beaten" 1 (L 4084, off 43) 
 "beating" 1 (L 3040, off 31) 
 "bedroom" 1 (L 3657, off 51) 
 "begged" 1 (L 1329, off 29) 
 "begin" 1 (L 177, off 35) 
 "bein" 1 (L 1730, off 34) 
 "belonging" 1 (L 1823, off 52) 
 "belt" 1 (L 4380, off 4) 
 "benches" 1 (L 2126, off 41) 
 "bend" 1 (L 2881, off 12) 
 "berry-picking" 1 (L 3398, off 47) 
 "bid" 1 (L 4533, off 65) 
 "big-hearted" 1 (L 4211, off 50) 
 "binary" 1 (L 4731, off 59) 
 "bite" 1 (L 4313, off 3) 
 "biting" 1 (L 4304, off 3) 
 "blade" 1 (L 695, off 15) 
 "blades" 1 (L 175, off 27) 
 "blank" 1 (L 3509, off 20) 
 "bleated" 1 (L 582, off 50) 
 "boards" 1 (L 3264, off 34) 
 "bobbed" 1 (L 1301, off 0) 
 "bobcat" 1 (L 613, off 17) 
 "bobcats" 1 (L 2559, off 53) 
 "boiling" 1 (L 4203, off 26) 
 "books" 1 (L 129, off 57) 
 "bore" 1 (L 2826, off 55) 
 "boss" 1 (L 4494, off 44) 
 "bothered" 1 (L 3307, off 5) 
 "bottle" 1 (L 2140, off 40) 
 "bottles" 1 (L 1553, off 35) 
 "boxes" 1 (L 3175, off 43) 
 "branches" 1 (L 3767, off 20) 
 "branching" 1 (L 4398, off 15) 
 "breakfasts" 1 (L 1683, off 56) 
 "brief" 1 (L 4074, off 8) 
 "brightened" 1 (L 3504, off 38) 
 "brightly" 1 (L 4263, off 26) 
 "broiled" 1 (L 2128, off 30) 
 "brothers" 1 (L 947, off 57) 
 "brush" 1 (L 477, off 56) 
 "bubbled" 1 (L 1940, off 11) 
 "build" 1 (L 449, off 11) 
 "burning" 1 (L 4202, off 4) 
 "bushy" 1 (L 2456, off 0) 
 "bustling" 1 (L 1470, off 18) 
 "buts" 1 (L 4167, off 15) 
 "buttermilk" 1 (L 2117, off 44) 
 "buyer" 1 (L 2380, off 19) 
 "buzz" 1 (L 505, off 0) 
 "cage" 1 (L 3232, off 44) 
 "calculate" 1 (L 4753, off 24) 
 "calculated" 1 (L 4752, off 43) 
 "calling" 1 (L 742, off 61) 
 "calm" 1 (L 3246, off 21) 
 "calmly" 1 (L 202, off 58) 
 "candy--" 1 
 "card" 1 (L 4928, off 50) 
 "carpet" 1 (L 508, off 35) 
 "cash" 1 (L 1490, off 20) 
 "cat" 1 (L 436, off 18) 
 "catches" 1 (L 1390, off 12) 
 "cats" 1 (L 1510, off 48) 
 "cattle" 1 (L 1938, off 63) 
 "causing" 1 (L 1476, off 9) 
 "cautioned" 1 (L 2015, off 29) 
 "cease" 1 (L 4646, off 38) 
 "celebrating" 1 (L 1711, off 22) 
 "cement" 1 (L 2531, off 7) 
 "centered" 1 (L 249, off 13) 
 "chalk" 1 (L 2404, off 25) 
 "challenged" 1 (L 3621, off 41) 
 "change" 1 (L 4681, off 20) 
 "changes" 1 (L 4569, off 36) 
 "chap" 1 (L 4211, off 62) 
 "characters" 1 (L 2404, off 11) 
 "charges" 1 (L 4707, off 3) 
 "charitable" 1 (L 4909, off 14) 
 "charities" 1 (L 4909, off 0) 
 "checks" 1 (L 4928, off 15) 
 "cheeks" 1 (L 308, off 43) 
 "child" 1 (L 1511, off 22) 
 "chimed" 1 (L 1117, off 16) 
 "chipped" 1 (L 695, off 24) 
 "choice" 1 (L 2994, off 27) 
 "choked" 1 (L 4446, off 39) 
 "choose" 1 (L 4822, off 24) 
 "chuckle" 1 (L 4247, off 7) 
 "church" 1 (L 1637, off 48) 
 "churned" 1 (L 2116, off 5) 
 "circles" 1 (L 4423, off 46) 
 "circling" 1 (L 1950, off 18) 
 "circuses" 1 (L 2307, off 15) 
 "city" 1 (L 438, off 39) 
 "claim" 1 (L 4668, off 40) 
 "clamp" 1 (L 184, off 22) 
 "class" 1 (L 452, off 14) 
 "clear" 1 (L 1942, off 63) 
 "cleared" 1 (L 4411, off 60) 
 "clearest" 1 (L 178, off 26) 
 "climber" 1 (L 495, off 16) 
 "closet" 1 (L 3671, off 31) 
 "clothes" 1 (L 596, off 4) 
 "clover" 1 (L 962, off 9) 
 "clubs" 1 (L 1326, off 58) 
 "clumsy--but" 1 (L 4338, off 0) 
 "clutched" 1 (L 530, off 14) 
 "coals" 1 (L 4201, off 56) 
 "codes" 1 (L 4797, off 28) 
 "coiling" 1 (L 2093, off 57) 
 "color" 1 (L 3280, off 22) 
 "coma" 1 (L 3367, off 34) 
 "combination" 1 (L 2776, off 3) 
 "combined" 1 (L 4283, off 4) 
 "comforted" 1 (L 455, off 57) 
 "commercial" 1 (L 4621, off 45) 
 "committed" 1 (L 4908, off 18) 
 "compared" 1 (L 3592, off 63) 
 "compilation" 1 (L 4664, off 18) 
 "compressed" 1 (L 4732, off 0) 
 "confidence" 1 (L 2468, off 17) 
 "confirmation" 1 (L 4913, off 35) 
 "confirmed" 1 (L 4942, off 27) 
 "conform" 1 (L 129, off 23) 
 "confront" 1 (L 3442, off 57) 
 "confuse" 1 (L 2784, off 13) 
 "confused" 1 (L 1669, off 0) 
 "conniption" 1 (L 3314, off 44) 
 "consented" 1 (L 2868, off 25) 
 "consequences" 1 (L 3802, off 19) 
 "considering" 1 (L 871, off 18) 
 "constant" 1 (L 4681, off 2) 
 "construction" 1 (L 132, off 12) 
 "contained" 1 (L 4071, off 9) 
 "contest" 1 (L 212, off 63) 
 "contributions" 1 (L 4917, off 35) 
 "conversation" 1 (L 1761, off 57) 
 "convert" 1 (L 4731, off 16) 
 "cooked" 1 (L 4378, off 25) 
 "cooking" 1 (L 4188, off 31) 
 "cords" 1 (L 264, off 46) 
 "cornfields" 1 (L 1460, off 17) 
 "corporation" 1 (L 4875, off 22) 
 "corrupt" 1 (L 4795, off 0) 
 "counted" 1 (L 3509, off 39) 
 "counter" 1 (L 2417, off 38) 
 "counting" 1 (L 2877, off 38) 
 "countries" 1 (L 4680, off 56) 
 "counts" 1 (L 488, off 26) 
 "cover" 1 (L 3163, off 62) 
 "cow--or" 1 (L 905, off 0) 
 "cowboys" 1 (L 2073, off 45) 
 "crack" 1 (L 3113, off 60) 
 "crack-up" 1 (L 502, off 27) 
 "cracking" 1 (L 3767, off 4) 
 "crash" 1 (L 3208, off 49) 
 "crawled" 1 (L 951, off 0) 
 "crawling" 1 (L 947, off 8) 
 "crazy" 1 (L 3367, off 49) 
 "creams" 1 (L 2783, off 10) 
 "creation" 1 (L 4618, off 8) 
 "credit" 1 (L 4928, off 43) 
 "cries" 1 (L 971, off 56) 
 "critical" 1 (L 4861, off 26) 
 "critters" 1 (L 3064, off 52) 
 "cropping" 1 (L 4397, off 34) 
 "cross-country" 1 (L 3929, off 0) 
 "crossly" 1 (L 1589, off 52) 
 "crumbs" 1 (L 2244, off 5) 
 "crying" 1 (L 909, off 0) 
 "curious" 1 (L 1714, off 17) 
 "curled" 1 (L 4348, off 56) 
 "curly" 1 (L 1846, off 47) 
 "current" 1 (L 4926, off 49) 
 "dad" 1 (L 1775, off 0) 
 "damp" 1 (L 1846, off 38) 
 "dank" 1 (L 3795, off 2) 
 "dare" 1 (L 2446, off 0) 
 "darkened" 1 (L 2939, off 61) 
 "data" 1 (L 4795, off 8) 
 "days--don" 1 (L 675, off 32) 
 "deadly" 1 (L 3804, off 41) 
 "deafness" 1 (L 1476, off 0) 
 "dears" 1 (L 2289, off 3) 
 "deductible" 1 (L 4880, off 36) 
 "deer--as" 1 (L 1644, off 29) 
 "deer--horns" 1 (L 3621, off 14) 
 "deer--just" 1 (L 3806, off 18) 
 "deer--maybe" 1 (L 4339, off 0) 
 "deer-trappers" 1 (L 2914, off 9) 
 "deers" 1 (L 1754, off 50) 
 "defiant" 1 (L 3878, off 2) 
 "deletions" 1 (L 4848, off 52) 
 "delight" 1 (L 538, off 37) 
 "delighted" 1 (L 2593, off 14) 
 "deliver" 1 (L 4512, off 4) 
 "demand" 1 (L 4824, off 27) 
 "demonstrated" 1 (L 2754, off 7) 
 "departed" 1 (L 1714, off 34) 
 "depend" 1 (L 3391, off 45) 
 "depends" 1 (L 4900, off 21) 
 "derive" 1 (L 4751, off 56) 
 "derived" 1 (L 4703, off 65) 
 "descend" 1 (L 357, off 14) 
 "described" 1 (L 4801, off 26) 
 "designed" 1 (L 129, off 11) 
 "detach" 1 (L 4721, off 25) 
 "detect" 1 (L 2028, off 35) 
 "detectives" 1 (L 2482, off 33) 
 "determined" 1 (L 3591, off 5) 
 "determinedly" 1 (L 726, off 58) 
 "did--sort" 1 (L 311, off 10) 
 "die" 1 (L 318, off 66) 
 "different--branching" 1 (L 600, off 11) 
 "dimly" 1 (L 3723, off 19) 
 "directed" 1 (L 1076, off 28) 
 "direction" 1 (L 4504, off 36) 
 "dirt" 1 (L 3603, off 46) 
 "disappear" 1 (L 1107, off 6) 
 "disappointed" 1 (L 4547, off 47) 
 "disclaim" 1 (L 4804, off 51) 
 "disclaimers" 1 (L 4832, off 33) 
 "discontinue" 1 (L 4769, off 9) 
 "discover" 1 (L 4814, off 56) 
 "discovered" 1 (L 4774, off 24) 
 "discussion" 1 (L 1331, off 14) 
 "dish" 1 (L 837, off 52) 
 "disk" 1 (L 4796, off 46) 
 "display" 1 (L 4725, off 21) 
 "displayed" 1 (L 4695, off 39) 
 "disposing" 1 (L 3614, off 36) 
 "disputed" 1 (L 4259, off 32) 
 "distant" 1 (L 4115, off 33) 
 "disturbed" 1 (L 4377, off 16) 
 "ditch" 1 (L 3704, off 13) 
 "divide" 1 (L 2688, off 31) 
 "dog--I" 1 (L 4340, off 55) 
 "dog--licking" 1 (L 4273, off 3) 
 "dogs" 1 (L 2310, off 4) 
 "dollar" 1 (L 1026, off 28) 
 "donation" 1 (L 4926, off 57) 
 "donors" 1 (L 4919, off 45) 
 "dotted" 1 (L 1821, off 26) 
 "double" 1 (L 989, off 17) 
 "doubt" 1 (L 424, off 57) 
 "doubtfully" 1 (L 2795, off 35) 
 "doubtless" 1 (L 2819, off 25) 
