 "'AS-IS'" 1 
 "--bootlegging" 1 (L 378, off 50) 
 "Its" 1 (L 1698, off 11) 
 "Jake--I've" 1 (L 206, off 50) 
 "Jake--and" 1 (L 556, off 29) 
 "Jake--give" 1 (L 432, off 7) 
 "Jake--losing" 1 (L 545, off 43) 
 "Johannesburg" 1 (L 1033, off 35) 
 "John" 1 (L 394, off 4) 
 "Joseph" 1 (L 55, off 65) 
 "Jurors" 1 (L 1083, off 0) 
 "Justice" 1 (L 583, off 57) 
 "KIND" 1 (L 1643, off 24) 
 "LAWYER" 1 (L 257, off 32) 
 "LIABILITY" 1 (L 1621, off 0) 
 "LIABLE" 1 (L 1624, off 0) 
 "LLC" 1 (L 1598, off 28) 
 "Ladies" 1 (L 1365, off 1) 
 "Lake" 1 (L 1699, off 0) 
 "Land" 1 (L 56, off 0) 
 "Language" 1 (L 19, off 0) 
 "Late" 1 (L 856, off 0) 
 "Law" 1 (L 586, off 59) 
 "Less" 1 (L 863, off 0) 
 "Likewise" 1 (L 1325, off 1) 
 "Lincoln" 1 (L 496, off 45) 
 "London" 1 (L 1033, off 21) 
 "Look" 1 (L 535, off 1) 
 "Los" 1 (L 503, off 41) 
 "MERCHANTABILITY" 1 (L 1644, off 25) 
 "MYSTERY" 1 (L 257, off 42) 
 "Malthus" 1 (L 1066, off 0) 
 "Man's" 1 (L 1065, off 47) 
 "Manhattan's" 1 (L 295, off 15) 
 "Marge's" 1 (L 435, off 36) 
 "Massive" 1 (L 753, off 64) 
 "Maybe" 1 (L 692, off 16) 
 "Michael" 1 (L 1745, off 10) 
 "Mirror" 1 (L 329, off 0) 
 "Mission" 1 (L 1667, off 33) 
 "Mississippi" 1 (L 1689, off 9) 
 "Most" 1 (L 1757, off 0) 
 "Murrow's" 1 (L 1373, off 51) 
 "NEGLIGENCE" 1 (L 1620, off 46) 
 "NOTICE" 1 (L 1625, off 36) 
 "Naturally" 1 (L 756, off 6) 
 "Nearly" 1 (L 1474, off 42) 
 "New" 1 (L 506, off 33) 
 "Newby" 1 (L 1705, off 19) 
 "News" 1 
 "No--I'm" 1 (L 312, off 1) 
 "Nobody" 1 (L 422, off 1) 
 "Nope" 1 (L 325, off 1) 
 "North" 1 (L 1698, off 49) 
 "Nothing" 1 (L 238, off 1) 
 "OTHER" 1 (L 1643, off 0) 
 "OWNER" 1 (L 1623, off 10) 
 "Obviously" 1 (L 1015, off 1) 
 "Older" 1 (L 153, off 27) 
 "Oldtimers" 1 (L 1333, off 0) 
 "One" 1 (L 979, off 1) 
 "Only" 1 (L 1292, off 0) 
 "PARAGRAPH" 1 (L 1622, off 12) 
 "PGLAF" 1 (L 1473, off 15) 
 "PLEASE" 1 (L 1438, off 0) 
 "POSSIBILITY" 1 (L 1625, off 50) 
 "PROVIDED" 1 (L 1622, off 0) 
 "PUNITIVE" 1 (L 1624, off 59) 
 "PURPOSE" 1 (L 1644, off 60) 
 "Parkway" 1 (L 179, off 13) 
 "Part" 1 (L 871, off 0) 
 "Patiently" 1 (L 836, off 57) 
 "Peiping" 1 (L 373, off 0) 
 "Pennsylvania" 1 (L 841, off 0) 
 "People's" 1 (L 612, off 20) 
 "Philadelphia" 1 (L 1033, off 49) 
 "Plastic" 1 (L 905, off 1) 
 "Please" 1 (L 1738, off 0) 
 "Point" 1 (L 1282, off 0) 
 "Precisely" 1 (L 364, off 11) 
 "Professor" 1 (L 1745, off 0) 
 "Promptly" 1 (L 467, off 0) 
 "Publicity" 1 (L 260, off 34) 
 "Putnam" 1 (L 504, off 31) 
 "Quite" 1 (L 886, off 1) 
 "READ" 1 (L 1438, off 7) 
 "REFUND" 1 (L 1628, off 39) 
 "REMEDIES" 1 (L 1620, off 33) 
 "REPLACEMENT" 1 (L 1628, off 24) 
 "RIGHT" 1 (L 1628, off 15) 
 "RILEY" 1 (L 40, off 37) 
 "Receiving" 1 (L 931, off 0) 
 "Red" 1 (L 372, off 10) 
 "Red-faced" 1 (L 741, off 0) 
 "Redistributing" 1 (L 1447, off 36) 
 "Redistribution" 1 (L 1432, off 37) 
 "Refund" 1 (L 1615, off 18) 
 "Release" 1 (L 17, off 0) 
 "Released" 1 (L 1119, off 1) 
 "Replacement" 1 (L 1615, off 3) 
 "Reporters" 1 (L 1040, off 58) 
 "Research" 1 (L 494, off 14) 
 "Revenue" 1 (L 1690, off 0) 
 "Robin" 1 (L 387, off 0) 
 "Rome" 1 (L 1033, off 29) 
 "SEND" 1 (L 1725, off 66) 
 "STRICT" 1 (L 1620, off 58) 
 "SUCH" 1 (L 1625, off 65) 
 "Salt" 1 (L 1698, off 66) 
 "Schopenhauer" 1 (L 1007, off 22) 
 "Scripps" 1 (L 836, off 18) 
 "Sections" 1 (L 1683, off 0) 
 "Selection" 1 (L 476, off 0) 
 "Service" 1 (L 1690, off 8) 
 "Sets" 1 (L 1087, off 66) 
 "Sheriff's" 1 (L 463, off 9) 
 "Show" 1 (L 649, off 46) 
 "Side" 1 (L 1203, off 39) 
 "Silently" 1 (L 131, off 0) 
 "Sir" 1 (L 724, off 6) 
 "Someday" 1 (L 445, off 32) 
 "Sometimes" 1 (L 486, off 48) 
 "Sorry" 1 (L 279, off 1) 
 "South" 1 (L 55, off 42) 
 "Speaking" 1 (L 1124, off 62) 
 "Special" 1 (L 1422, off 11) 
 "Spencer" 1 (L 1066, off 20) 
 "Staff" 1 (L 881, off 0) 
 "Stretz" 1 (L 450, off 9) 
 "Subsequently" 1 (L 1114, off 1) 
 "Suddenly" 1 (L 1208, off 0) 
 "Sunday" 1 (L 391, off 59) 
 "Superior" 1 (L 470, off 36) 
 "Suppose" 1 (L 661, off 1) 
 "Supreme" 1 (L 583, off 43) 
 "Sure" 1 (L 432, off 1) 
 "Swiftly" 1 (L 902, off 0) 
 "Syndicate--or" 1 (L 424, off 10) 
 "THOSE" 1 (L 1621, off 59) 
 "TRADEMARK" 1 (L 1623, off 0) 
 "Tamassia" 1 (L 847, off 17) 
 "Tapping" 1 (L 893, off 0) 
 "Tell" 1 (L 944, off 1) 
 "Thanks" 1 (L 428, off 1) 
 "Theft" 1 (L 719, off 25) 
 "Theodore" 1 (L 880, off 40) 
 "Things" 1 (L 259, off 63) 
 "Those" 1 (L 499, off 0) 
 "Thousands" 1 (L 459, off 46) 
 "Through" 1 (L 1042, off 18) 
 "Times" 1 (L 321, off 15) 
 "Title" 1 (L 13, off 0) 
 "Today" 1 (L 1336, off 55) 
 "Tokyo" 1 (L 1033, off 63) 
 "Tomorrow" 1 (L 1377, off 62) 
 "Tony--what" 1 (L 331, off 1) 
 "Trademark" 1 (L 1598, off 18) 
 "Transcriber's" 1 (L 46, off 12) 
 "Tribune" 1 
 "Twilight" 1 (L 1369, off 0) 
 "UNDER" 1 (L 1623, off 37) 
 "USE" 1 (L 1438, off 42) 
 "Undoubtedly" 1 (L 126, off 5) 
 "Unless" 1 (L 1499, off 5) 
 "Until" 1 (L 1072, off 38) 
 "Updated" 1 (L 1415, off 0) 
 "Usually" 1 (L 1334, off 45) 
 "Vanguard" 1 (L 864, off 43) 
 "Vera" 1 (L 450, off 4) 
 "Vianny" 1 (L 848, off 60) 
 "Virginia" 1 (L 68, off 38) 
 "Virtually" 1 (L 917, off 1) 
 "Vogt" 1 (L 1066, off 43) 
 "Volunteers" 1 (L 1675, off 0) 
 "WILL" 1 (L 1623, off 58) 
 "WITH" 1 (L 1642, off 58) 
 "WORK" 1 (L 1438, off 51) 
 "Was" 1 (L 371, off 24) 
 "We'll" 1 (L 359, off 1) 
 "Were" 1 (L 629, off 1) 
 "What's" 1 (L 187, off 6) 
 "Whenever" 1 (L 502, off 0) 
 "Where's" 1 (L 499, off 52) 
 "While" 1 (L 1729, off 0) 
 "Who" 1 (L 102, off 17) 
 "Who's" 1 (L 420, off 1) 
 "Why--he--he" 1 (L 673, off 1) 
 "Window" 1 (L 635, off 17) 
 "Witness" 1 (L 1282, off 51) 
 "Worlds" 1 (L 47, off 15) 
 "Yes--of" 1 (L 669, off 1) 
 "Yes--yes" 1 (L 657, off 1) 
 "York" 1 (L 506, off 37) 
 "abide" 1 (L 1453, off 56) 
 "ability" 1 (L 1054, off 19) 
 "able" 1 (L 696, off 46) 
 "abrupt" 1 (L 329, off 19) 
 "absolute" 1 (L 1341, off 25) 
 "absolutely" 1 (L 738, off 14) 
 "absorbed" 1 (L 200, off 13) 
 "accentuated" 1 (L 70, off 54) 
 "accept" 1 (L 1452, off 4) 
 "accessed" 1 (L 1505, off 45) 
 "accessible" 1 (L 1715, off 44) 
 "accessory" 1 (L 838, off 13) 
 "achieve" 1 (L 1300, off 13) 
 "actors" 1 (L 1075, off 14) 
 "actually" 1 (L 1360, off 62) 
 "added" 1 (L 272, off 64) 
 "addition" 1 (L 1492, off 34) 
 "additions" 1 (L 1664, off 0) 
 "addressed" 1 (L 131, off 13) 
 "addresses" 1 (L 1739, off 12) 
 "adequately" 1 (L 374, off 26) 
 "adhesion" 1 (L 784, off 51) 
 "adjusting" 1 (L 783, off 31) 
 "admit" 1 (L 346, off 10) 
 "admitted" 1 (L 1297, off 44) 
 "adult" 1 (L 1087, off 48) 
 "advance" 1 (L 163, off 0) 
 "advanced" 1 (L 645, off 25) 
 "advancement" 1 (L 1382, off 32) 
 "advances" 1 (L 1063, off 12) 
 "afternoon" 1 (L 856, off 10) 
 "against" 1 (L 1731, off 0) 
 "agent" 1 (L 1656, off 21) 
 "ages" 1 (L 1329, off 17) 
 "agglutination" 1 (L 781, off 45) 
 "aggressively" 1 (L 989, off 0) 
 "agreed" 1 (L 1569, off 2) 
 "ahead" 1 (L 186, off 8) 
 "aid" 1 (L 1154, off 60) 
 "aided" 1 (L 1115, off 19) 
 "ain't--I'm" 1 (L 1203, off 3) 
 "air-check" 1 (L 513, off 60) 
 "alertly" 1 (L 1238, off 10) 
 "allow" 1 (L 1646, off 26) 
 "aloof" 1 (L 1191, off 0) 
 "alteration" 1 (L 1663, off 38) 
 "alternate" 1 (L 1554, off 34) 
 "alternately" 1 (L 1032, off 10) 
 "among" 1 (L 465, off 6) 
 "an'" 1 
 "and--since" 1 (L 378, off 0) 
 "angled" 1 (L 873, off 0) 
 "anguished" 1 (L 1245, off 33) 
 "anniversary" 1 (L 436, off 19) 
 "anti-social" 1 (L 1099, off 45) 
 "anticipation" 1 (L 647, off 30) 
 "anymore" 1 (L 530, off 11) 
 "anythin'" 1 
 "anyway" 1 (L 500, off 35) 
 "apartment" 1 (L 254, off 13) 
 "apparent" 1 (L 1053, off 24) 
 "appeals" 1 (L 1335, off 52) 
 "appearance" 1 (L 61, off 50) 
 "appearing" 1 (L 1522, off 30) 
 "apple" 1 (L 110, off 64) 
 "appliance" 1 (L 78, off 31) 
 "apply" 1 (L 1423, off 17) 
 "appreciation" 1 (L 465, off 39) 
 "apprehension" 1 (L 1287, off 43) 
 "apprehensively" 1 (L 646, off 18) 
 "approached" 1 (L 1352, off 37) 
 "area" 1 (L 942, off 4) 
 "arise" 1 (L 1661, off 27) 
 "armed" 1 (L 377, off 56) 
 "array" 1 (L 1716, off 0) 
 "arrest" 1 (L 718, off 39) 
 "art" 1 (L 394, off 49) 
 "artfully" 1 (L 578, off 17) 
 "artificial" 1 (L 889, off 6) 
 "assembled" 1 (L 1235, off 51) 
 "assistance" 1 (L 1676, off 0) 
 "assured" 1 (L 1389, off 15) 
 "astounded" 1 (L 745, off 62) 
 "athletic" 1 (L 398, off 39) 
 "attained" 1 (L 1079, off 45) 
 "attitude" 1 (L 487, off 14) 
 "audible" 1 (L 999, off 11) 
 "authority" 1 (L 704, off 53) 
 "automatic" 1 (L 445, off 61) 
 "automobile" 1 (L 854, off 26) 
 "await" 1 (L 1365, off 38) 
 "awake" 1 (L 118, off 56) 
 "away--you" 1 (L 1431, off 0) 
 "awhile" 1 (L 527, off 43) 
 "babble" 1 (L 461, off 5) 
 "baby" 1 (L 497, off 57) 
 "baffled" 1 (L 253, off 20) 
 "balance" 1 (L 1119, off 50) 
 "ballast" 1 (L 369, off 42) 
 "banged" 1 (L 205, off 8) 
 "bank--then" 1 (L 1230, off 44) 
 "bargain" 1 (L 149, off 38) 
 "barn" 1 (L 473, off 2) 
 "barrel" 1 (L 1026, off 0) 
 "basic" 1 (L 986, off 30) 
 "baton" 1 (L 827, off 22) 
 "beaded" 1 (L 1155, off 2) 
 "bearing" 1 (L 875, off 28) 
 "bears" 1 (L 818, off 60) 
 "because--at" 1 (L 1330, off 17) 
 "bedlam" 1 (L 610, off 28) 
 "beg" 1 (L 81, off 6) 
 "behind" 1 (L 392, off 9) 
 "believing" 1 (L 971, off 54) 
 "beneath" 1 (L 202, off 7) 
 "besides" 1 (L 448, off 15) 
 "bewildering" 1 (L 828, off 2) 
 "big--bigger" 1 (L 213, off 37) 
 "binary" 1 (L 1545, off 58) 
 "biology" 1 (L 1064, off 58) 
 "bite" 1 (L 748, off 30) 
 "bleeding" 1 (L 571, off 0) 
 "blending" 1 (L 1078, off 9) 
 "blinked" 1 (L 690, off 9) 
 "blithely" 1 (L 1306, off 31) 
 "blood-pressure" 1 (L 1155, off 24) 
 "bloodshot" 1 (L 1185, off 49) 
 "blue-veined" 1 (L 578, off 52) 
 "boat" 1 (L 560, off 16) 
 "bold" 1 (L 1328, off 27) 
 "boomed" 1 (L 344, off 38) 
 "bowl" 1 (L 497, off 49) 
 "boxer" 1 (L 617, off 53) 
 "brains" 1 (L 446, off 40) 
 "breast" 1 (L 907, off 31) 
 "breathed" 1 (L 185, off 37) 
 "breathing" 1 (L 1164, off 0) 
 "breathing--all" 1 (L 1250, off 29) 
 "breathlessness" 1 (L 574, off 25) 
 "bridge" 1 (L 1262, off 29) 
 "bringing" 1 (L 1030, off 34) 
 "brink" 1 (L 695, off 29) 
 "broadcast" 1 (L 514, off 14) 
 "broader" 1 (L 1279, off 39) 
 "broke" 1 (L 327, off 12) 
 "broken" 1 (L 1012, off 40) 
 "bronchial" 1 (L 160, off 7) 
 "brows" 1 (L 124, off 22) 
 "brusquely" 1 (L 106, off 46) 
 "brutally" 1 (L 566, off 31) 
 "build" 1 (L 473, off 42) 
 "bulldog" 1 (L 879, off 45) 
 "bunched" 1 (L 988, off 16) 
 "bungling" 1 (L 103, off 21) 
 "burn" 1 (L 556, off 60) 
 "burned" 1 (L 333, off 59) 
 "burning" 1 (L 854, off 18) 
 "burns" 1 (L 754, off 0) 
 "burst" 1 (L 1245, off 19) 
 "bush-league" 1 (L 1040, off 37) 
 "busy" 1 (L 401, off 35) 
 "buy" 1 (L 445, off 54) 
 "buzzed" 1 (L 465, off 27) 
 "bystanders" 1 (L 103, off 57) 
 "cadaver" 1 (L 587, off 0) 
 "cadence" 1 (L 857, off 0) 
 "cajole" 1 (L 149, off 62) 
 "calculate" 1 (L 1567, off 21) 
 "caller" 1 (L 426, off 29) 
 "calling" 1 (L 826, off 39) 
 "cameo-smooth" 1 (L 128, off 0) 
 "cameramen" 1 (L 296, off 3) 
 "capacity" 1 (L 1342, off 57) 
 "capital" 1 (L 483, off 0) 
 "captain" 1 (L 863, off 42) 
 "capture" 1 (L 753, off 55) 
 "card" 1 (L 1740, off 50) 
 "carpenter" 1 (L 473, off 29) 
 "carrying" 1 (L 1074, off 19) 
 "case--I" 1 (L 136, off 17) 
 "case--one" 1 (L 1351, off 42) 
 "cash" 1 (L 1035, off 65) 
 "cashier's" 1 (L 162, off 48) 
 "casual" 1 (L 1260, off 43) 
 "casually" 1 (L 1197, off 49) 
 "catalogue" 1 (L 1190, off 42) 
 "catch" 1 (L 1349, off 53) 
 "cautiously" 1 (L 482, off 4) 
 "cease" 1 (L 1454, off 38) 
 "ceased" 1 (L 1041, off 0) 
 "cell-blocks" 1 (L 295, off 0) 
 "cereal" 1 (L 497, off 62) 
 "certainly" 1 (L 761, off 52) 
 "certified" 1 (L 717, off 27) 
 "chain" 1 (L 1155, off 9) 
 "chairs" 1 (L 297, off 42) 
 "chambers" 1 (L 467, off 50) 
 "changing" 1 (L 1208, off 9) 
 "charges" 1 (L 1520, off 45) 
 "charitable" 1 (L 1721, off 14) 
 "charities" 1 (L 1721, off 0) 
 "chase" 1 (L 451, off 3) 
 "chauffeur" 1 (L 532, off 55) 
 "checks" 1 (L 1740, off 15) 
 "chess" 1 (L 170, off 13) 
 "child" 1 (L 1063, off 50) 
 "child--or" 1 (L 118, off 0) 
 "choose" 1 (L 1636, off 34) 
 "chortled" 1 (L 269, off 19) 
 "chuckle" 1 (L 189, off 4) 
 "chuckled" 1 (L 141, off 19) 
 "chuckling" 1 (L 254, off 52) 
 "cigarette" 1 (L 409, off 31) 
 "circle" 1 (L 198, off 22) 
 "circulatory" 1 (L 1116, off 30) 
 "city" 1 (L 1369, off 59) 
 "city's" 1 (L 296, off 63) 
 "claim" 1 (L 1478, off 0) 
 "clash" 1 (L 478, off 30) 
 "clean" 1 (L 412, off 12) 
 "clearly" 1 (L 1573, off 21) 
 "clerk" 1 (L 721, off 54) 
 "cliches" 1 (L 1038, off 45) 
 "client's" 1 (L 183, off 11) 
 "clients" 1 (L 1178, off 32) 
 "climbed" 1 (L 1250, off 44) 
 "clog" 1 (L 588, off 0) 
 "closed" 1 (L 88, off 55) 
 "closely" 1 (L 629, off 39) 
 "clothing" 1 (L 792, off 11) (L 792, off 49) 
 "clothing--as" 1 (L 792, off 11) 
 "clucked" 1 (L 1174, off 5) 
 "codes" 1 (L 1611, off 44) 
 "cold" 1 (L 359, off 45) 
 "colleagues" 1 (L 100, off 0) 
 "collective" 1 (L 360, off 61) 
 "combination" 1 (L 619, off 9) 
 "comfort" 1 (L 264, off 8) 
 "commanded" 1 (L 349, off 55) 
 "commented" 1 (L 856, off 31) 
 "commercial" 1 (L 1433, off 30) 
 "communist" 1 (L 370, off 35) 
 "company" 1 (L 1007, off 4) 
 "compelling" 1 (L 581, off 42) 
 "compilation" 1 (L 1473, off 30) 
 "complete" 1 (L 696, off 54) 
 "completely" 1 (L 1172, off 19) 
 "comprehend" 1 (L 1054, off 30) 
 "compressed" 1 (L 1546, off 0) 
 "conceded" 1 (L 824, off 34) 
 "conceived" 1 (L 385, off 9) 
 "concepts" 1 (L 1086, off 0) 
 "concerned" 1 (L 1191, off 20) 
 "conclude" 1 (L 1143, off 30) 
 "concluding" 1 (L 1292, off 12) 
 "conclusion" 1 (L 1296, off 50) 
 "concrete" 1 (L 1370, off 15) 
 "conductor" 1 (L 826, off 29) 
 "confirmation" 1 (L 1725, off 35) 
 "confirmed" 1 (L 1752, off 27) 
 "confused" 1 (L 117, off 57) 
 "confusion" 1 (L 678, off 57) 
 "connoisseur" 1 (L 394, off 53) 
 "consideration" 1 (L 1319, off 28) 
 "considered" 1 (L 1317, off 30) 
 "consisting" 1 (L 784, off 26) 
 "constantly" 1 (L 1192, off 7) 
 "constructed" 1 (L 1159, off 0) 
 "construction" 1 (L 972, off 4) 
 "consulting" 1 (L 1105, off 36) 
 "contacts" 1 (L 1051, off 50) 
 "containing" 1 (L 1536, off 43) 
 "contemplatively" 1 (L 1140, off 30) 
 "contemptible" 1 (L 833, off 9) 
 "content" 1 (L 125, off 0) 
 "continuing" 1 (L 591, off 37) 
 "contributions" 1 (L 1729, off 35) 
 "convalescent" 1 (L 1105, off 12) 
 "conversationally" 1 (L 912, off 35) 
 "conversion" 1 (L 995, off 27) 
 "convert" 1 (L 1545, off 15) 
 "conveying" 1 (L 1121, off 34) 
 "conviction" 1 (L 718, off 50) 
 "cop" 1 (L 540, off 29) 
 "corporation" 1 (L 1688, off 22) 
 "corpuscles" 1 (L 785, off 0) 
 "correctional" 1 (L 840, off 32) 
 "corrupt" 1 (L 1609, off 3) 
 "corsage" 1 (L 435, off 9) 
 "cotton" 1 (L 801, off 18) 
 "countries" 1 (L 1490, off 55) 
 "courtesy" 1 (L 640, off 15) 
 "courtrooms" 1 (L 576, off 50) 
 "covered" 1 (L 874, off 59) 
 "cracked" 1 (L 443, off 0) 
 "crackling" 1 (L 121, off 61) 
 "craftsmanship" 1 (L 1279, off 0) 
 "craned" 1 (L 727, off 11) 
 "creation" 1 (L 1429, off 31) 
 "creeping" 1 (L 476, off 37) 
 "crimes" 1 (L 353, off 9) 
 "critical" 1 (L 1676, off 25) 
 "cross-examine" 1 (L 642, off 50) 
 "cross-examine--had" 1 (L 1185, off 0) 
 "crossroad" 1 (L 1330, off 34) 
 "crossroads" 1 (L 1051, off 36) 
 "crosswalk" 1 (L 520, off 0) 
 "crumbs" 1 (L 318, off 61) 
 "crushed" 1 (L 853, off 14) 
 "cuff" 1 (L 1155, off 39) 
 "culture--all" 1 (L 1039, off 40) 
 "cupped" 1 (L 65, off 54) 
 "curiously" 1 (L 727, off 26) 
 "current" 1 (L 1738, off 49) 
 "curt" 1 (L 605, off 64) 
 "curve" 1 (L 179, off 0) 
 "custody" 1 (L 1287, off 12) 
 "customary" 1 (L 518, off 58) 
 "damning" 1 (L 1251, off 16) 
 "damp" 1 (L 1191, off 56) 
 "danger" 1 (L 290, off 44) 
 "dark" 1 (L 1396, off 51) 
 "dating" 1 (L 392, off 53) 
 "day" 1 (L 516, off 27) 
 "days--sitting" 1 (L 1183, off 52) 
 "deal--You" 1 (L 540, off 19) 
 "dealers" 1 (L 88, off 25) 
 "death" 1 (L 436, off 38) 
 "decade" 1 (L 1131, off 0) 
 "decades" 1 (L 1087, off 5) 
 "deception" 1 (L 745, off 0) 
 "decision--men" 1 (L 1330, off 47) 
 "decreed" 1 (L 484, off 51) 
 "deductible" 1 (L 1692, off 27) 
 "defending" 1 (L 245, off 31) 
