 "'AS-IS'"
 "--bootlegging"(L 378, off 50) 
 "Earth"(L 55, off 11) 
 "Edward"(L 60, off 53) 
 "Email"(L 1699, off 37) 
 "Emspak--I'm"(L 951, off 5) 
 "Emspak--Well"(L 1393, off 56) 
 "End"(L 1403, off 0) 
 "English"(L 19, off 10) 
 "Ethical"(L 1078, off 59) 
 "Every"(L 52, off 0) 
 "Executive"(L 1706, off 10) 
 "Extensive"(L 48, off 9) 
 "FAMED"(L 257, off 17) 
 "FITNESS"(L 1644, off 44) 
 "FOUNDATION"(L 1622, off 48) 
 "FRANK"(L 40, off 31) 
 "Feuerbach"(L 1066, off 32) 
 "Fiction"(L 47, off 36) 
 "Finally"(L 91, off 0) 
 "First"(L 597, off 1) 
 "Frankly"(L 745, off 48) 
 "Franz"(L 55, off 59) 
 "Full"(L 1443, off 59) 
 "Furthermore"(L 771, off 52) 
 "GIVE"(L 1625, off 31) 
 "GUTENBERG-tm"(L 1424, off 53) 
 "George"(L 504, off 24) 
 "Get"(L 525, off 1) 
 "Ghosts"(L 576, off 29) 
 "God"(L 1061, off 39) 
 "Grand"(L 719, off 19) 
 "Greetings"(L 398, off 1) 
 "Gregory"(L 1705, off 8) 
 "Gutenberg-tm's"(L 1676, off 54) 
 "HAVE"(L 1620, off 25) 
 "Haeckel"(L 1067, off 0) 
 "Hart"(L 1745, off 21) 
 "Have"(L 1210, off 1) 
 "He's"(L 170, off 39) 
 "Hell"(L 179, off 25) 
 "Hello"(L 401, off 1) 
 "Here"(L 384, off 0) 
 "Hood"(L 387, off 6) 
 "I'd"(L 957, off 1) 
 "I--I"(L 81, off 1) 
 "IMPLIED"(L 1643, off 41) 
 "INCIDENTAL"(L 1625, off 0) 
 "INCLUDING"(L 1643, off 50) 
 "INDEMNITY"(L 1655, off 7) 
 "INDIRECT"(L 1624, off 34) 
 "IRS"(L 1718, off 16) 
 "Impeccably"(L 577, off 45) 
 "Imperturbably"(L 835, off 0) 
 "In--in"(L 635, off 1) 
 "Inquiries"(L 381, off 26) 
 "Institute"(L 836, off 26) 
 "Internal"(L 1689, off 58) 
 "International"(L 1734, off 0) 
 "Its"(L 1698, off 11) 
 "Jake--I've"(L 206, off 50) 
 "Jake--and"(L 556, off 29) 
 "Jake--give"(L 432, off 7) 
 "Jake--losing"(L 545, off 43) 
 "Johannesburg"(L 1033, off 35) 
 "John"(L 394, off 4) 
 "Joseph"(L 55, off 65) 
 "Jurors"(L 1083, off 0) 
 "Justice"(L 583, off 57) 
 "KIND"(L 1643, off 24) 
 "LAWYER"(L 257, off 32) 
 "LIABILITY"(L 1621, off 0) 
 "LIABLE"(L 1624, off 0) 
 "LLC"(L 1598, off 28) 
 "Ladies"(L 1365, off 1) 
 "Lake"(L 1699, off 0) 
 "Land"(L 56, off 0) 
 "Language"(L 19, off 0) 
 "Late"(L 856, off 0) 
 "Law"(L 586, off 59) 
 "Less"(L 863, off 0) 
 "Likewise"(L 1325, off 1) 
 "Lincoln"(L 496, off 45) 
 "London"(L 1033, off 21) 
 "Look"(L 535, off 1) 
 "Los"(L 503, off 41) 
 "MERCHANTABILITY"(L 1644, off 25) 
 "MYSTERY"(L 257, off 42) 
 "Malthus"(L 1066, off 0) 
 "Man's"(L 1065, off 47) 
 "Manhattan's"(L 295, off 15) 
 "Marge's"(L 435, off 36) 
 "Massive"(L 753, off 64) 
 "Maybe"(L 692, off 16) 
 "Michael"(L 1745, off 10) 
 "Mirror"(L 329, off 0) 
 "Mission"(L 1667, off 33) 
 "Mississippi"(L 1689, off 9) 
 "Most"(L 1757, off 0) 
 "Murrow's"(L 1373, off 51) 
 "NEGLIGENCE"(L 1620, off 46) 
 "NOTICE"(L 1625, off 36) 
 "Naturally"(L 756, off 6) 
 "Nearly"(L 1474, off 42) 
 "New"(L 506, off 33) 
 "Newby"(L 1705, off 19) 
 "News"
 "No--I'm"(L 312, off 1) 
 "Nobody"(L 422, off 1) 
 "Nope"(L 325, off 1) 
 "North"(L 1698, off 49) 
 "Nothing"(L 238, off 1) 
 "OTHER"(L 1643, off 0) 
 "OWNER"(L 1623, off 10) 
 "Obviously"(L 1015, off 1) 
 "Older"(L 153, off 27) 
 "Oldtimers"(L 1333, off 0) 
 "One"(L 979, off 1) 
 "Only"(L 1292, off 0) 
 "PARAGRAPH"(L 1622, off 12) 
 "PGLAF"(L 1473, off 15) 
 "PLEASE"(L 1438, off 0) 
 "POSSIBILITY"(L 1625, off 50) 
 "PROVIDED"(L 1622, off 0) 
 "PUNITIVE"(L 1624, off 59) 
 "PURPOSE"(L 1644, off 60) 
 "Parkway"(L 179, off 13) 
 "Part"(L 871, off 0) 
 "Patiently"(L 836, off 57) 
 "Peiping"(L 373, off 0) 
 "Pennsylvania"(L 841, off 0) 
 "People's"(L 612, off 20) 
 "Philadelphia"(L 1033, off 49) 
 "Plastic"(L 905, off 1) 
 "Please"(L 1738, off 0) 
 "Point"(L 1282, off 0) 
 "Precisely"(L 364, off 11) 
 "Professor"(L 1745, off 0) 
 "Promptly"(L 467, off 0) 
 "Publicity"(L 260, off 34) 
 "Putnam"(L 504, off 31) 
 "Quite"(L 886, off 1) 
 "READ"(L 1438, off 7) 
 "REFUND"(L 1628, off 39) 
 "REMEDIES"(L 1620, off 33) 
 "REPLACEMENT"(L 1628, off 24) 
 "RIGHT"(L 1628, off 15) 
 "RILEY"(L 40, off 37) 
 "Receiving"(L 931, off 0) 
 "Red"(L 372, off 10) 
 "Red-faced"(L 741, off 0) 
 "Redistributing"(L 1447, off 36) 
 "Redistribution"(L 1432, off 37) 
 "Refund"(L 1615, off 18) 
 "Release"(L 17, off 0) 
 "Released"(L 1119, off 1) 
 "Replacement"(L 1615, off 3) 
 "Reporters"(L 1040, off 58) 
 "Research"(L 494, off 14) 
 "Revenue"(L 1690, off 0) 
 "Robin"(L 387, off 0) 
 "Rome"(L 1033, off 29) 
 "SEND"(L 1725, off 66) 
 "STRICT"(L 1620, off 58) 
 "SUCH"(L 1625, off 65) 
 "Salt"(L 1698, off 66) 
 "Schopenhauer"(L 1007, off 22) 
 "Scripps"(L 836, off 18) 
 "Sections"(L 1683, off 0) 
 "Selection"(L 476, off 0) 
 "Service"(L 1690, off 8) 
 "Sets"(L 1087, off 66) 
 "Sheriff's"(L 463, off 9) 
 "Show"(L 649, off 46) 
 "Side"(L 1203, off 39) 
 "Silently"(L 131, off 0) 
 "Sir"(L 724, off 6) 
 "Someday"(L 445, off 32) 
 "Sometimes"(L 486, off 48) 
 "Sorry"(L 279, off 1) 
 "South"(L 55, off 42) 
 "Speaking"(L 1124, off 62) 
 "Special"(L 1422, off 11) 
 "Spencer"(L 1066, off 20) 
 "Staff"(L 881, off 0) 
 "Stretz"(L 450, off 9) 
 "Subsequently"(L 1114, off 1) 
 "Suddenly"(L 1208, off 0) 
 "Sunday"(L 391, off 59) 
 "Superior"(L 470, off 36) 
 "Suppose"(L 661, off 1) 
 "Supreme"(L 583, off 43) 
 "Sure"(L 432, off 1) 
 "Swiftly"(L 902, off 0) 
 "Syndicate--or"(L 424, off 10) 
 "THOSE"(L 1621, off 59) 
 "TRADEMARK"(L 1623, off 0) 
 "Tamassia"(L 847, off 17) 
 "Tapping"(L 893, off 0) 
 "Tell"(L 944, off 1) 
 "Thanks"(L 428, off 1) 
 "Theft"(L 719, off 25) 
 "Theodore"(L 880, off 40) 
 "Things"(L 259, off 63) 
 "Those"(L 499, off 0) 
 "Thousands"(L 459, off 46) 
 "Through"(L 1042, off 18) 
 "Times"(L 321, off 15) 
 "Title"(L 13, off 0) 
 "Today"(L 1336, off 55) 
 "Tokyo"(L 1033, off 63) 
 "Tomorrow"(L 1377, off 62) 
 "Tony--what"(L 331, off 1) 
 "Trademark"(L 1598, off 18) 
 "Transcriber's"(L 46, off 12) 
 "Tribune"
 "Twilight"(L 1369, off 0) 
 "UNDER"(L 1623, off 37) 
 "USE"(L 1438, off 42) 
 "Undoubtedly"(L 126, off 5) 
 "Unless"(L 1499, off 5) 
 "Until"(L 1072, off 38) 
 "Updated"(L 1415, off 0) 
 "Usually"(L 1334, off 45) 
 "Vanguard"(L 864, off 43) 
 "Vera"(L 450, off 4) 
 "Vianny"(L 848, off 60) 
 "Virginia"(L 68, off 38) 
 "Virtually"(L 917, off 1) 
 "Vogt"(L 1066, off 43) 
 "Volunteers"(L 1675, off 0) 
 "WILL"(L 1623, off 58) 
 "WITH"(L 1642, off 58) 
 "WORK"(L 1438, off 51) 
 "Was"(L 371, off 24) 
 "We'll"(L 359, off 1) 
 "Were"(L 629, off 1) 
 "What's"(L 187, off 6) 
 "Whenever"(L 502, off 0) 
 "Where's"(L 499, off 52) 
 "While"(L 1729, off 0) 
 "Who"(L 102, off 17) 
 "Who's"(L 420, off 1) 
 "Why--he--he"(L 673, off 1) 
 "Window"(L 635, off 17) 
 "Witness"(L 1282, off 51) 
 "Worlds"(L 47, off 15) 
 "Yes--of"(L 669, off 1) 
 "Yes--yes"(L 657, off 1) 
 "York"(L 506, off 37) 
 "abide"(L 1453, off 56) 
 "ability"(L 1054, off 19) 
 "able"(L 696, off 46) 
 "abrupt"(L 329, off 19) 
 "absolute"(L 1341, off 25) 
 "absolutely"(L 738, off 14) 
 "absorbed"(L 200, off 13) 
 "accentuated"(L 70, off 54) 
 "accept"(L 1452, off 4) 
 "accessed"(L 1505, off 45) 
 "accessible"(L 1715, off 44) 
 "accessory"(L 838, off 13) 
 "achieve"(L 1300, off 13) 
 "actors"(L 1075, off 14) 
 "actually"(L 1360, off 62) 
 "added"(L 272, off 64) 
 "addition"(L 1492, off 34) 
 "additions"(L 1664, off 0) 
 "addressed"(L 131, off 13) 
 "addresses"(L 1739, off 12) 
 "adequately"(L 374, off 26) 
 "adhesion"(L 784, off 51) 
 "adjusting"(L 783, off 31) 
 "admit"(L 346, off 10) 
 "admitted"(L 1297, off 44) 
 "adult"(L 1087, off 48) 
 "advance"(L 163, off 0) 
 "advanced"(L 645, off 25) 
 "advancement"(L 1382, off 32) 
 "advances"(L 1063, off 12) 
 "afternoon"(L 856, off 10) 
 "against"(L 1731, off 0) 
 "agent"(L 1656, off 21) 
 "ages"(L 1329, off 17) 
 "agglutination"(L 781, off 45) 
 "aggressively"(L 989, off 0) 
 "agreed"(L 1569, off 2) 
 "ahead"(L 186, off 8) 
 "aid"(L 1154, off 60) 
 "aided"(L 1115, off 19) 
 "ain't--I'm"(L 1203, off 3) 
 "air-check"(L 513, off 60) 
 "alertly"(L 1238, off 10) 
 "allow"(L 1646, off 26) 
 "aloof"(L 1191, off 0) 
 "alteration"(L 1663, off 38) 
 "alternate"(L 1554, off 34) 
 "alternately"(L 1032, off 10) 
 "among"(L 465, off 6) 
 "an'"
 "and--since"(L 378, off 0) 
 "angled"(L 873, off 0) 
 "anguished"(L 1245, off 33) 
 "anniversary"(L 436, off 19) 
 "anti-social"(L 1099, off 45) 
 "anticipation"(L 647, off 30) 
 "anymore"(L 530, off 11) 
 "anythin'"
 "anyway"(L 500, off 35) 
 "apartment"(L 254, off 13) 
 "apparent"(L 1053, off 24) 
 "appeals"(L 1335, off 52) 
 "appearance"(L 61, off 50) 
 "appearing"(L 1522, off 30) 
 "apple"(L 110, off 64) 
 "appliance"(L 78, off 31) 
 "apply"(L 1423, off 17) 
 "appreciation"(L 465, off 39) 
 "apprehension"(L 1287, off 43) 
 "apprehensively"(L 646, off 18) 
 "approached"(L 1352, off 37) 
 "area"(L 942, off 4) 
 "arise"(L 1661, off 27) 
 "armed"(L 377, off 56) 
 "array"(L 1716, off 0) 
 "arrest"(L 718, off 39) 
 "art"(L 394, off 49) 
 "artfully"(L 578, off 17) 
 "artificial"(L 889, off 6) 
 "assembled"(L 1235, off 51) 
 "assistance"(L 1676, off 0) 
 "assured"(L 1389, off 15) 
 "astounded"(L 745, off 62) 
 "athletic"(L 398, off 39) 
 "attained"(L 1079, off 45) 
 "attitude"(L 487, off 14) 
 "audible"(L 999, off 11) 
 "authority"(L 704, off 53) 
 "automatic"(L 445, off 61) 
 "automobile"(L 854, off 26) 
 "await"(L 1365, off 38) 
 "awake"(L 118, off 56) 
 "away--you"(L 1431, off 0) 
 "awhile"(L 527, off 43) 
 "babble"(L 461, off 5) 
 "baby"(L 497, off 57) 
 "baffled"(L 253, off 20) 
 "balance"(L 1119, off 50) 
 "ballast"(L 369, off 42) 
 "banged"(L 205, off 8) 
 "bank--then"(L 1230, off 44) 
 "bargain"(L 149, off 38) 
 "barn"(L 473, off 2) 
 "barrel"(L 1026, off 0) 
 "basic"(L 986, off 30) 
 "baton"(L 827, off 22) 
 "beaded"(L 1155, off 2) 
 "bearing"(L 875, off 28) 
 "bears"(L 818, off 60) 
 "because--at"(L 1330, off 17) 
 "bedlam"(L 610, off 28) 
 "beg"(L 81, off 6) 
 "behind"(L 392, off 9) 
 "believing"(L 971, off 54) 
 "beneath"(L 202, off 7) 
 "besides"(L 448, off 15) 
 "bewildering"(L 828, off 2) 
 "big--bigger"(L 213, off 37) 
 "binary"(L 1545, off 58) 
 "biology"(L 1064, off 58) 
 "bite"(L 748, off 30) 
 "bleeding"(L 571, off 0) 
 "blending"(L 1078, off 9) 
 "blinked"(L 690, off 9) 
 "blithely"(L 1306, off 31) 
 "blood-pressure"(L 1155, off 24) 
 "bloodshot"(L 1185, off 49) 
 "blue-veined"(L 578, off 52) 
 "boat"(L 560, off 16) 
 "bold"(L 1328, off 27) 
 "boomed"(L 344, off 38) 
 "bowl"(L 497, off 49) 
 "boxer"(L 617, off 53) 
 "brains"(L 446, off 40) 
 "breast"(L 907, off 31) 
 "breathed"(L 185, off 37) 
 "breathing"(L 1164, off 0) 
 "breathing--all"(L 1250, off 29) 
 "breathlessness"(L 574, off 25) 
 "bridge"(L 1262, off 29) 
 "bringing"(L 1030, off 34) 
 "brink"(L 695, off 29) 
 "broadcast"(L 514, off 14) 
 "broader"(L 1279, off 39) 
 "broke"(L 327, off 12) 
 "broken"(L 1012, off 40) 
 "bronchial"(L 160, off 7) 
 "brows"(L 124, off 22) 
 "brusquely"(L 106, off 46) 
 "brutally"(L 566, off 31) 
 "build"(L 473, off 42) 
 "bulldog"(L 879, off 45) 
 "bunched"(L 988, off 16) 
 "bungling"(L 103, off 21) 
 "burn"(L 556, off 60) 
 "burned"(L 333, off 59) 
 "burning"(L 854, off 18) 
 "burns"(L 754, off 0) 
 "burst"(L 1245, off 19) 
 "bush-league"(L 1040, off 37) 
 "busy"(L 401, off 35) 
 "buy"(L 445, off 54) 
 "buzzed"(L 465, off 27) 
 "bystanders"(L 103, off 57) 
 "cadaver"(L 587, off 0) 
 "cadence"(L 857, off 0) 
 "cajole"(L 149, off 62) 
 "calculate"(L 1567, off 21) 
 "caller"(L 426, off 29) 
 "calling"(L 826, off 39) 
 "cameo-smooth"(L 128, off 0) 
 "cameramen"(L 296, off 3) 
 "capacity"(L 1342, off 57) 
 "capital"(L 483, off 0) 
 "captain"(L 863, off 42) 
 "capture"(L 753, off 55) 
 "card"(L 1740, off 50) 
 "carpenter"(L 473, off 29) 
 "carrying"(L 1074, off 19) 
 "case--I"(L 136, off 17) 
 "case--one"(L 1351, off 42) 
 "cash"(L 1035, off 65) 
 "cashier's"(L 162, off 48) 
 "casual"(L 1260, off 43) 
 "casually"(L 1197, off 49) 
 "catalogue"(L 1190, off 42) 
 "catch"(L 1349, off 53) 
 "cautiously"(L 482, off 4) 
 "cease"(L 1454, off 38) 
 "ceased"(L 1041, off 0) 
 "cell-blocks"(L 295, off 0) 
 "cereal"(L 497, off 62) 
 "certainly"(L 761, off 52) 
 "certified"(L 717, off 27) 
 "chain"(L 1155, off 9) 
 "chairs"(L 297, off 42) 
 "chambers"(L 467, off 50) 
 "changing"(L 1208, off 9) 
 "charges"(L 1520, off 45) 
 "charitable"(L 1721, off 14) 
 "charities"(L 1721, off 0) 
 "chase"(L 451, off 3) 
 "chauffeur"(L 532, off 55) 
 "checks"(L 1740, off 15) 
 "chess"(L 170, off 13) 
 "child"(L 1063, off 50) 
 "child--or"(L 118, off 0) 
 "choose"(L 1636, off 34) 
 "chortled"(L 269, off 19) 
 "chuckle"(L 189, off 4) 
 "chuckled"(L 141, off 19) 
 "chuckling"(L 254, off 52) 
 "cigarette"(L 409, off 31) 
 "circle"(L 198, off 22) 
 "circulatory"(L 1116, off 30) 
 "city"(L 1369, off 59) 
 "city's"(L 296, off 63) 
 "claim"(L 1478, off 0) 
 "clash"(L 478, off 30) 
 "clean"(L 412, off 12) 
 "clearly"(L 1573, off 21) 
 "clerk"(L 721, off 54) 
 "cliches"(L 1038, off 45) 
 "client's"(L 183, off 11) 
 "clients"(L 1178, off 32) 
 "climbed"(L 1250, off 44) 
 "clog"(L 588, off 0) 
 "closed"(L 88, off 55) 
 "closely"(L 629, off 39) 
 "clothing"(L 792, off 11) (L 792, off 49) 
 "clothing--as"(L 792, off 11) 
 "clucked"(L 1174, off 5) 
 "codes"(L 1611, off 44) 
 "cold"(L 359, off 45) 
 "colleagues"(L 100, off 0) 
 "collective"(L 360, off 61) 
 "combination"(L 619, off 9) 
 "comfort"(L 264, off 8) 
 "commanded"(L 349, off 55) 
 "commented"(L 856, off 31) 
 "commercial"(L 1433, off 30) 
 "communist"(L 370, off 35) 
 "company"(L 1007, off 4) 
 "compelling"(L 581, off 42) 
 "compilation"(L 1473, off 30) 
 "complete"(L 696, off 54) 
 "completely"(L 1172, off 19) 
 "comprehend"(L 1054, off 30) 
 "compressed"(L 1546, off 0) 
 "conceded"(L 824, off 34) 
 "conceived"(L 385, off 9) 
 "concepts"(L 1086, off 0) 
 "concerned"(L 1191, off 20) 
 "conclude"(L 1143, off 30) 
 "concluding"(L 1292, off 12) 
 "conclusion"(L 1296, off 50) 
 "concrete"(L 1370, off 15) 
 "conductor"(L 826, off 29) 
 "confirmation"(L 1725, off 35) 
 "confirmed"(L 1752, off 27) 
 "confused"(L 117, off 57) 
 "confusion"(L 678, off 57) 
 "connoisseur"(L 394, off 53) 
 "consideration"(L 1319, off 28) 
 "considered"(L 1317, off 30) 
 "consisting"(L 784, off 26) 
 "constantly"(L 1192, off 7) 
 "constructed"(L 1159, off 0) 
 "construction"(L 972, off 4) 
 "consulting"(L 1105, off 36) 
 "contacts"(L 1051, off 50) 
 "containing"(L 1536, off 43) 
 "contemplatively"(L 1140, off 30) 
 "contemptible"(L 833, off 9) 
 "content"(L 125, off 0) 
 "continuing"(L 591, off 37) 
 "contributions"(L 1729, off 35) 
 "convalescent"(L 1105, off 12) 
 "conversationally"(L 912, off 35) 
 "conversion"(L 995, off 27) 
 "convert"(L 1545, off 15) 
 "conveying"(L 1121, off 34) 
 "conviction"(L 718, off 50) 
 "cop"(L 540, off 29) 
 "corporation"(L 1688, off 22) 
 "corpuscles"(L 785, off 0) 
 "correctional"(L 840, off 32) 
 "corrupt"(L 1609, off 3) 
 "corsage"(L 435, off 9) 
 "cotton"(L 801, off 18) 
 "countries"(L 1490, off 55) 
 "courtesy"(L 640, off 15) 
 "courtrooms"(L 576, off 50) 
 "covered"(L 874, off 59) 
 "cracked"(L 443, off 0) 
 "crackling"(L 121, off 61) 
 "craftsmanship"(L 1279, off 0) 
 "craned"(L 727, off 11) 
 "creation"(L 1429, off 31) 
 "creeping"(L 476, off 37) 
 "crimes"(L 353, off 9) 
 "critical"(L 1676, off 25) 
 "cross-examine"(L 642, off 50) 
 "cross-examine--had"(L 1185, off 0) 
 "crossroad"(L 1330, off 34) 
 "crossroads"(L 1051, off 36) 
 "crosswalk"(L 520, off 0) 
 "crumbs"(L 318, off 61) 
 "crushed"(L 853, off 14) 
 "cuff"(L 1155, off 39) 
 "culture--all"(L 1039, off 40) 
 "cupped"(L 65, off 54) 
 "curiously"(L 727, off 26) 
 "current"(L 1738, off 49) 
 "curt"(L 605, off 64) 
 "curve"(L 179, off 0) 
 "custody"(L 1287, off 12) 
 "customary"(L 518, off 58) 
 "damning"(L 1251, off 16) 
 "damp"(L 1191, off 56) 
 "danger"(L 290, off 44) 
 "dark"(L 1396, off 51) 
 "dating"(L 392, off 53) 
 "day"(L 516, off 27) 
 "days--sitting"(L 1183, off 52) 
 "deal--You"(L 540, off 19) 
 "dealers"(L 88, off 25) 
 "death"(L 436, off 38) 
 "decade"(L 1131, off 0) 
 "decades"(L 1087, off 5) 
 "deception"(L 745, off 0) 
 "decision--men"(L 1330, off 47) 
 "decreed"(L 484, off 51) 
 "deductible"(L 1692, off 27) 
 "defending"(L 245, off 31) 
 "definitely"(L 1170, off 28) 
 "deftly"(L 1042, off 52) 
 "dejectedly"(L 1183, off 0) 
 "delay"(L 480, off 54) 
 "deletions"(L 1664, off 13) 
 "deliberately"(L 58, off 3) 
 "deliberation"(L 1125, off 11) 
 "delinquency"(L 376, off 55) 
 "demand"(L 1638, off 43) 
 "demanded"(L 730, off 28) 
 "denies"(L 352, off 35) 
 "dentures"(L 905, off 56) 
 "depart"(L 1331, off 19) 
 "depositions"(L 495, off 0) 
 "derive"(L 1565, off 56) 
 "derived"(L 1517, off 0) 
 "describe"(L 1255, off 19) 
 "description"(L 837, off 29) 
 "deserve"(L 1270, off 26) 
 "desire"(L 642, off 40) 
 "despair--and"(L 1088, off 28) 
 "destined"(L 1045, off 18) 
 "detach"(L 1535, off 24) 
 "detail"(L 1297, off 33) 
 "details"(L 829, off 0) 
 "determination"(L 1320, off 14) 
 "determine"(L 1726, off 13) 
 "determined"(L 1059, off 20) 
 "developed"(L 382, off 11) 
 "developing"(L 1064, off 23) 
 "did--to"(L 1296, off 12) 
 "difference"(L 843, off 0) 
 "differing"(L 993, off 46) 
 "difficult"(L 1190, off 29) 
 "digest"(L 1087, off 41) 
 "dignity"(L 1330, off 9) 
 "dilantin"(L 1106, off 53) 
 "dimension"(L 1351, off 24) 
 "directly"(L 1661, off 33) 
 "disappointed"(L 460, off 0) 
 "disappointedly"(L 692, off 0) 
 "disclaim"(L 1618, off 51) 
 "disclaimers"(L 1646, off 32) 
 "disclosed"(L 381, off 48) 
 "disconcerting"(L 74, off 0) 
 "discontinue"(L 1582, off 57) 
 "discover"(L 1628, off 55) 
 "discovered"(L 1588, off 21) 
 "disgustedly"(L 443, off 21) 
 "disheveled"(L 578, off 26) 
 "disk"(L 1610, off 59) 
 "dispassionate"(L 1334, off 13) 
 "displayed"(L 1505, off 55) 
 "disregarding"(L 1279, off 22) 
 "dissimilarities"(L 849, off 56) 
 "distance"(L 154, off 38) 
 "distortion"(L 375, off 27) 
 "diverse"(L 826, off 56) 
 "dizzy"(L 370, off 11) 
 "doctor's"(L 1004, off 4) 
 "doggedly"(L 1087, off 20) 
 "doll"(L 128, off 59) 
 "dome"(L 821, off 65) 
 "donation"(L 1738, off 57) 
 "done"(L 1394, off 0) 
 "donors"(L 1731, off 45) 
 "door"(L 523, off 4) 
 "doors"(L 459, off 16) 
 "dope"(L 377, off 41) 
 "dorsal"(L 1157, off 31) 
 "double"(L 340, off 45) 
 "downloading"(L 1493, off 17) 
 "dozen"(L 177, off 57) 
 "dramatist's"(L 576, off 0) 
 "drawn"(L 1084, off 14) 
 "dreaming"(L 119, off 0) 
 "drew"(L 1024, off 14) 
 "dried"(L 110, off 58) 
 "drifted"(L 521, off 27) 
 "drill"(L 748, off 44) 
 "drily"(L 141, off 28) 
 "drip"(L 571, off 20) 
 "drive"(L 1382, off 8) 
 "driving"(L 336, off 15) 
 "drops"(L 1149, off 0) 
 "drove"(L 558, off 29) 
 "duct"(L 905, off 14) 
 "during"(L 841, off 47) 
 "dwelling"(L 1360, off 30) 
 "dying"(L 145, off 63) 
 "e-mail"(L 1579, off 24) 
 "earthbound"(L 1038, off 34) 
 "easing"(L 398, off 28) 
 "east"(L 496, off 4) 
 "eastern"(L 840, off 60) 
 "easy"(L 1428, off 40) 
 "eating"(L 497, off 40) 
 "ebullient"(L 503, off 58) 
 "edition"(L 1755, off 0) 
 "educational"(L 1688, off 10) 
 "educators"(L 1031, off 10) 
 "efficient"(L 615, off 47) 
 "elaborate"(L 640, off 5) 
 "elbow"(L 909, off 19) 
 "elect"(L 1634, off 28) 
 "electrocardiagram"(L 852, off 37) 
 "electrodes"(L 1156, off 57) 
 "electroencephalograph"(L 1108, off 0) 
 "electroshock"(L 1107, off 0) 
 "element"(L 1233, off 36) 
 "elementary"(L 924, off 59) 
 "eloquence"(L 73, off 21) 
 "else"(L 236, off 6) 
 "email"(L 1763, off 17) 
 "emergent"(L 1068, off 44) 
 "emphasis"(L 937, off 30) 
 "empiricists"(L 1057, off 7) 
