 "'AS-IS'" 1 
 "--Accident" 1 (L 9294, off 6) 
 "--Tony" 1 (L 9399, off 4) 
 "--Too" 1 (L 8974, off 5) 
 "--Tracked" 1 (L 9002, off 5) 
 "--True" 1 (L 9476, off 5) 
 "--Twelve" 1 (L 8984, off 5) 
 "--Wait" 1 (L 9445, off 4) 
 "--Walter" 1 (L 9459, off 4) 
 "--Wanted" 1 (L 9056, off 5) 
 "--Weaving" 1 (L 9142, off 6) 
 "--Where" 1 (L 8971, off 5) 
 "--Wildfire" 1 (L 9087, off 6) 
 "--With" 1 (L 9225, off 6) 
 "--Without" 1 (L 9162, off 6) 
 "--Won" 1 (L 9021, off 5) 
 "--Work" 1 (L 9511, off 5) 
 "--and" 1 
 "ACCUSED" 1 (L 7366, off 16) 
 "ACTUAL" 1 (L 9826, off 18) 
 "AGREEMENT" 1 (L 9825, off 48) 
 "ALGER" 1 (L 9393, off 11) 
 "ANYTHING" 1 (L 9633, off 29) 
 "ATTACK" 1 (L 3929, off 22) 
 "AWAY" 1 (L 4541, off 18) 
 "Abner" 1 (L 2445, off 27) 
 "Aboard" 1 (L 9537, off 11) 
 "Abroad" 1 (L 84, off 22) 
 "Accidental" 1 (L 9036, off 10) 
 "Acrobat" 1 (L 9426, off 16) 
 "Adder" 1 (L 9007, off 11) 
 "Adrift" 1 (L 120, off 22) 
 "Adventurer" 1 (L 9419, off 16) 
 "Adventures" 1 (L 9424, off 10) 
 "Aero" 1 (L 155, off 24) 
 "Ah--by" 1 (L 7548, off 1) 
 "Ah--certainly" 1 (L 7403, off 1) 
 "Ah--quite" 1 (L 7453, off 1) 
 "Aid" 1 (L 186, off 38) 
 "Airship" 1 (L 9558, off 20) 
 "Alamo" 1 (L 3946, off 31) 
 "Aloud" 1 (L 3866, off 0) 
 "Alstine" 1 (L 9057, off 15) 
 "Amazing" 1 (L 9110, off 11) 
 "Americanism" 1 (L 9381, off 23) 
 "Amid" 1 (L 3114, off 60) 
 "Among" 1 (L 840, off 0) 
 "Amphitheater" 1 (L 9041, off 11) 
 "Ankle" 1 (L 1789, off 22) 
 "Annapolis" 1 (L 3724, off 7) 
 "Anxious" 1 (L 6083, off 11) 
 "Anybody" 1 (L 4763, off 1) 
 "Apple" 1 (L 9084, off 21) 
 "Approaching" 1 (L 4747, off 0) 
 "Apt" 1 (L 8975, off 15) 
 "Arlington" 1 (L 223, off 31) 
 "Arrive" 1 (L 1790, off 2) 
 "Artful" 1 (L 9280, off 11) 
 "Assurance" 1 (L 75, off 24) 
 "Ath-l-letics" 1 (L 2307, off 43) 
 "Athletic" 1 (L 201, off 31) 
 "Athletics" 1 (L 50, off 23) 
 "Atlantic" 1 (L 9002, off 26) 
 "Auctioneer" 1 (L 9480, off 17) 
 "Australian" 1 (L 9026, off 10) 
 "Away" 1 (L 9531, off 16) 
 "BALL" 1 (L 8098, off 24) 
 "BEATEN" 1 (L 3167, off 14) 
 "BET" 1 (L 2174, off 35) 
 "BILLY" 1 (L 474, off 16) 
 "BUT" 1 (L 9845, off 60) 
 "Back" 1 (L 9023, off 25) 
 "Backers" 1 (L 115, off 24) 
 "Badge" 1 (L 9268, off 22) 
 "Baffled" 1 (L 9241, off 10) 
 "Ball--one" 1 (L 2965, off 1) 
 "Bandmaster" 1 (L 9494, off 17) 
 "Bargain" 1 (L 9107, off 10) 
 "Barrel" 1 (L 9269, off 12) 
 "Bars" 1 (L 9019, off 14) 
 "Bathing" 1 (L 4352, off 34) 
 "Battle" 1 (L 9063, off 10) 
 "Beach" 1 (L 9078, off 21) 
 "Bearing" 1 (L 1426, off 37) 
 "Beaten" 1 (L 9296, off 25) 
 "Beckons" 1 (L 8971, off 19) 
 "Bet" 1 (L 6041, off 50) 
 "Betting" 1 (L 7792, off 7) 
 "Between" 1 (L 5957, off 34) 
 "Big" 1 (L 7327, off 1) 
 "Bill" 1 (L 2154, off 48) 
 "Billy--it" 1 (L 633, off 14) 
 "Birdman" 1 (L 207, off 29) 
 "Bite" 1 (L 9084, off 10) 
 "Bitter" 1 (L 6565, off 0) 
 "Blackmailer" 1 (L 9132, off 10) 
 "Blay" 1 (L 7868, off 1) 
 "Blindfold" 1 (L 9299, off 10) 
 "Blood-red" 1 (L 9268, off 12) 
 "Bloodstone" 1 (L 9221, off 12) 
 "Blue" 1 (L 9015, off 22) 
 "Bluff" 1 (L 9132, off 24) 
 "Boat" 1 (L 9536, off 11) 
 "Boatman" 1 (L 9407, off 22) 
 "Bogus" 1 (L 9081, off 10) 
 "Bond" 1 (L 9067, off 17) 
 "Bonded" 1 (L 9152, off 10) 
 "Book" 1 (L 8938, off 12) 
 "Bootblack" 1 (L 9439, off 15) 
 "Border" 1 (L 217, off 36) 
 "Bottle" 1 (L 9264, off 12) 
 "Boulevard" 1 (L 9289, off 12) 
 "Bout" 1 (L 4704, off 41) 
 "Boxes" 1 (L 9046, off 22) 
 "Brain" 1 (L 8992, off 18) 
 "Brains" 1 (L 9317, off 17) 
 "Brand" 1 (L 8967, off 18) 
 "Brave" 1 (L 8969, off 12) 
 "Break" 1 (L 9534, off 15) 
 "Bridge" 1 (L 4846, off 0) 
 "Bright" 1 (L 9478, off 14) 
 "Bringing" 1 (L 1789, off 34) 
 "Britty" 1 (L 8133, off 17) 
 "Broadway" 1 (L 9233, off 12) 
 "Brood" 1 (L 9007, off 19) 
 "Brooklyn" 1 (L 4845, off 62) 
 "Buffalo" 1 (L 8785, off 60) 
 "Bul-ly" 1 (L 1025, off 33) 
 "Bundle" 1 (L 9210, off 10) 
 "Bunt" 1 (L 8140, off 42) 
 "Bunting" 1 (L 1212, off 1) 
 "Burden" 1 (L 8991, off 11) 
 "Buried" 1 (L 8902, off 1) 
 "Burton" 1 (L 9418, off 10) 
 "But--and" 1 (L 632, off 17) 
 "But--what" 1 (L 7328, off 18) 
 "CAPTAIN" 1 (L 5946, off 14) 
 "CARSONVILLE" 1 (L 260, off 30) 
 "CASH" 1 (L 6432, off 36) 
 "CAUGHT" 1 (L 8578, off 17) 
 "CHEERS" 1 (L 3480, off 18) 
 "CLANCY" 1 (L 1792, off 7) 
 "CLIPPING" 1 (L 2935, off 13) 
 "CONCLUSION" 1 (L 8820, off 15) 
 "CONSEQUENTIAL" 1 (L 9826, off 44) 
 "CONTRACT" 1 (L 9823, off 43) 
 "CORPORATION" 1 (L 238, off 17) 
 "CRIMINAL" 1 (L 6653, off 13) 
 "Cab" 1 (L 9250, off 12) 
 "Caf" 1 
 "Calling" 1 (L 2135, off 0) 
 "Camera" 1 (L 9172, off 25) 
 "Camp" 1 (L 106, off 31) 
 "Canoe" 1 (L 9559, off 16) 
 "Cap" 1 (L 8920, off 60) 
 "Card" 1 (L 71, off 31) 
 "Carnival" 1 (L 9220, off 10) 
 "Carrot-top" 1 (L 8920, off 0) 
 "Carson----" 1 
 "Cashier" 1 (L 9135, off 12) 
 "Castaway" 1 (L 9562, off 18) 
 "Castle" 1 (L 9314, off 23) 
 "Catalog" 1 (L 9584, off 32) 
 "Cause" 1 (L 4442, off 2) 
 "Cave" 1 (L 9514, off 28) 
 "Celestial" 1 (L 9040, off 18) 
 "Cell" 1 (L 9184, off 22) 
 "Cellar" 1 (L 9178, off 20) 
 "Certified" 1 (L 9141, off 12) 
 "Chairs" 1 (L 5660, off 37) 
 "Challengers" 1 (L 88, off 25) 
 "Change" 1 (L 8180, off 1) 
 "Character" 1 (L 19, off 0) 
 "Charles" 1 (L 9376, off 30) 
 "Charms" 1 (L 9345, off 24) 
 "Checkmated" 1 (L 9134, off 10) 
 "Chicago" 1 (L 6543, off 9) 
 "Chief" 1 (L 9911, off 4) 
 "Chinese" 1 (L 9131, off 22) 
 "Chip----" 1 
 "Chiswick" 1 (L 9515, off 13) 
 "Chittendens" 1 (L 9308, off 17) 
 "Christmas" 1 (L 528, off 48) 
 "Cicero" 1 (L 7026, off 48) 
 "Cigarette" 1 (L 9197, off 10) 
 "Circle" 1 (L 9212, off 18) 
 "Circumstances" 1 (L 9093, off 20) 
 "Cl-l-lippings--wow" 1 (L 1777, off 51) 
 "Claim" 1 (L 8987, off 18) 
 "Claimant" 1 (L 9191, off 18) 
 "Clancy----" 1 
 "Clean" 1 (L 9369, off 0) 
 "Clear" 1 (L 1509, off 48) 
 "Cleverness" 1 (L 90, off 24) 
 "Client" 1 (L 9334, off 30) 
 "Clients" 1 (L 9056, off 21) 
 "Climb" 1 (L 5569, off 1) 
 "Clippings--the" 1 (L 3251, off 0) 
 "Cloak" 1 (L 9137, off 12) 
 "Clue" 1 (L 9355, off 20) 
 "Colors" 1 (L 9265, off 20) 
 "Commencement" 1 (L 166, off 24) 
 "Complete" 1 (L 9371, off 9) 
 "Compliance" 1 (L 9927, off 8) 
 "Confidence" 1 (L 9319, off 12) 
 "Confounded" 1 (L 3721, off 1) 
 "Conquests" 1 (L 180, off 31) 
 "Conscience" 1 (L 9234, off 26) 
 "Conspire" 1 (L 8983, off 19) 
 "Contact" 1 (L 9801, off 11) 
 "Continent" 1 (L 9414, off 24) 
 "Contributions" 1 (L 9896, off 22) 
 "Convict" 1 (L 9334, off 22) 
 "Cool" 1 (L 2925, off 19) 
 "Coolness" 1 (L 168, off 24) 
 "Corporation" 1 (L 9586, off 15) 
 "Cotton" 1 (L 9122, off 20) 
 "Couldn" 1 (L 8300, off 40) 
 "Council" 1 (L 9163, off 12) 
 "Counsel" 1 (L 174, off 24) 
 "Counterfeiter" 1 (L 8993, off 16) 
 "Counterfeiters" 1 (L 9074, off 18) 
 "Countess" 1 (L 9004, off 22) 
 "Country" 1 (L 9491, off 15) 
 "County" 1 (L 145, off 29) 
 "Cover" 1 (L 9145, off 20) 
 "Crack" 1 (L 7884, off 0) 
 "Craft" 1 (L 9064, off 18) 
 "Creating" 1 (L 9620, off 0) 
 "Crescent" 1 (L 9053, off 11) 
 "Cross" 1 (L 9233, off 21) 
 "Cry" 1 (L 9104, off 10) 
 "Crystal" 1 (L 9309, off 12) 
 "Cue" 1 (L 9147, off 26) 
 "Cursed" 1 (L 9295, off 24) 
 "Cut" 1 (L 5110, off 1) 
 "Cycle" 1 (L 9552, off 17) 
 "DAMAGE" 1 (L 9828, off 0) 
 "DEGREE" 1 (L 5250, off 25) 
 "DESPERATE" 1 (L 8346, off 18) 
 "DICK" 1 (L 4683, off 8) 
 "DIRECT" 1 (L 9826, off 26) 
 "DISCLAIMER" 1 (L 9816, off 25) 
 "DISTRIBUTE" 1 (L 9640, off 28) 
 "DISTRIBUTOR" 1 (L 9825, off 25) 
 "DOLLARS" 1 (L 6432, off 25) 
 "DONATIONS" 1 (L 9931, off 0) 
 "DOWN" 1 (L 1934, off 22) 
 "Dad" 1 (L 4090, off 56) 
 "Dagger" 1 (L 9173, off 24) 
 "Dandy" 1 
 "Dash" 1 (L 155, off 29) 
 "Date" 1 (L 15, off 8) 
 "Daylight" 1 (L 9524, off 18) 
 "Debt" 1 (L 118, off 24) 
 "Deceit" 1 (L 9224, off 20) 
 "Decision" 1 (L 167, off 24) 
 "Defeat" 1 (L 3950, off 0) 
 "Defect" 1 (L 9867, off 0) 
 "Defects" 1 (L 9810, off 9) 
 "Demon" 1 (L 9298, off 12) 
 "Demons" 1 (L 9101, off 12) 
 "Deposit" 1 (L 9052, off 9) 
 "Depths" 1 (L 9282, off 23) 
 "Desert" 1 (L 187, off 36) 
 "Deviltry" 1 (L 9235, off 20) 
 "Dey" 1 (L 3517, off 1) 
 "Diagram" 1 (L 9187, off 19) 
 "Dick--you" 1 (L 3961, off 49) 
 "Dickens" 1 (L 9376, off 38) 
 "Directly" 1 (L 2506, off 61) 
 "Director" 1 (L 9911, off 24) 
 "Dirty" 1 (L 3064, off 1) 
 "Disappearance" 1 (L 9075, off 20) 
 "Disappearing" 1 (L 9307, off 12) 
 "Disaster" 1 (L 314, off 59) 
 "Disciple" 1 (L 9275, off 10) 
 "Disguise" 1 (L 69, off 24) 
 "Distrust" 1 (L 117, off 24) 
 "Dobb" 1 (L 3759, off 15) 
 "Doctor" 1 (L 9201, off 12) 
 "Does" 1 (L 2875, off 1) 
 "Dollar" 1 (L 9400, off 23) 
 "Doom" 1 (L 9312, off 12) 
 "Double-Handed" 1 (L 9273, off 10) 
 "Doubted" 1 (L 130, off 22) 
 "Downstairs" 1 (L 4579, off 0) 
 "Draft" 1 (L 9203, off 17) 
 "Drexel" 1 (L 9042, off 14) 
 "Driver" 1 (L 9250, off 16) 
 "Dull" 1 (L 8938, off 7) 
 "Dunham" 1 (L 9412, off 11) 
 "Dunstable" 1 (L 9505, off 18) 
 "Dust" 1 (L 9266, off 18) 
 "Dynamite" 1 (L 9095, off 12) 
 "EBook" 1 (L 15, off 31) 
 "EDWARD" 1 (L 9472, off 3) 
 "EIN" 1 (L 9895, off 34) 
 "EVEN" 1 (L 9827, off 19) 
 "EXCEPT" 1 (L 9823, off 52) 
 "EXPRESS" 1 (L 9845, off 30) 
 "East" 1 (L 9091, off 25) 
 "Eat" 1 (L 4249, off 1) 
 "Eden" 1 (L 8968, off 24) 
 "Edge" 1 (L 8996, off 16) 
 "Electrician" 1 (L 9481, off 22) 
 "Elevated" 1 (L 9261, off 12) 
 "Email" 1 (L 9904, off 37) 
 "Emerald" 1 (L 9351, off 22) 
 "Empire" 1 (L 9324, off 22) 
 "Encouragement" 1 (L 138, off 25) 
 "End" 1 (L 9606, off 0) 
 "Ends" 1 (L 8965, off 14) 
 "Endurance" 1 (L 89, off 25) 
 "Enemy" 1 (L 212, off 41) 
 "English" 1 (L 17, off 10) 
 "Enigma" 1 (L 8990, off 17) 
 "Everything" 1 (L 6927, off 10) 
 "Example" 1 (L 132, off 24) 
 "Excuse" 1 (L 7447, off 1) 
 "Executive" 1 (L 9911, off 10) 
 "Explorers" 1 (L 9487, off 17) 
 "Express" 1 (L 9525, off 17) 
 "Eye" 1 (L 9298, off 20) 
 "FARDALE" 1 (L 7632, off 2) 
 "FIGHT" 1 (L 7847, off 18) 
 "FINISH" 1 (L 8346, off 28) 
 "FITNESS" 1 (L 9846, off 44) 
 "FOUNDATION" 1 (L 9824, off 48) 
 "Faces" 1 (L 8989, off 23) 
 "Facing" 1 (L 126, off 23) 
 "Fade" 1 (L 5972, off 40) 
 "Fahdale" 1 (L 6695, off 19) 
 "Failed" 1 (L 9252, off 22) 
 "Fall" 1 (L 9291, off 22) 
 "Fan" 1 (L 3139, off 46) 
 "Fardale--fear" 1 (L 7176, off 15) 
 "Fardale--or" 1 (L 479, off 58) 
 "Fardale-Franklin" 1 (L 4423, off 35) 
 "Fardales" 1 (L 7963, off 41) 
 "Fascinating" 1 (L 50, off 0) 
 "Fatal" 1 (L 9108, off 12) 
 "Fear" 1 (L 8979, off 19) 
 "Feared" 1 (L 9301, off 20) 
 "Feast" 1 (L 9285, off 21) 
 "Fiddler" 1 (L 9454, off 16) 
 "Field" 1 (L 9490, off 24) 
 "Fifteen" 1 (L 4995, off 1) 
 "Fighting" 1 (L 158, off 24) 
 "Finding" 1 (L 4769, off 0) 
 "Finger" 1 (L 9089, off 12) 
 "Fingered" 1 (L 9231, off 17) 
 "Fire" 1 (L 9247, off 22) 
 "Flag" 1 (L 9530, off 19) 
 "Flaming" 1 (L 4203, off 58) 
 "Flash" 1 (L 9360, off 20) 
 "Flinging" 1 (L 7891, off 0) 
 "Foe" 1 (L 9194, off 21) 
 "Following" 1 (L 8953, off 0) 
 "Folly" 1 (L 8977, off 21) 
 "Forbear" 1 (L 9529, off 16) 
 "Force" 1 (L 6828, off 1) 
 "Forcing" 1 (L 6991, off 53) 
 "Form" 1 (L 150, off 29) 
 "Formula" 1 (L 8988, off 16) 
 "Fortunately" 1 (L 6729, off 0) 
 "Fox" 1 (L 9055, off 15) 
 "Frederick" 1 (L 9561, off 36) 
 "Freedom" 1 (L 9274, off 21) 
 "French" 1 (L 9068, off 25) 
 "Freshman" 1 (L 108, off 23) 
 "Friday" 1 (L 2177, off 3) 
 "Fugitives" 1 (L 9565, off 17) 
 "Full" 1 (L 9645, off 59) 
 "Funny" 1 (L 5158, off 1) 
 "GET" 1 (L 2671, off 26) 
 "GETS" 1 (L 1689, off 18) 
 "GETTING" 1 (L 1934, off 14) 
 "GIVE" 1 (L 9827, off 31) 
 "GOODS" 1 (L 8578, off 33) 
 "GOT" 1 (L 7127, off 19) 
 "GRAPES" 1 (L 3256, off 19) 
 "GREEN" 1 (L 1195, off 23) 
 "GROW" 1 (L 9365, off 17) 
 "GUTENBERG-tm" 1 (L 9626, off 53) 
 "Gale" 1 (L 9550, off 36) 
 "Gamble" 1 (L 9161, off 21) 
 "Gamblers" 1 (L 9072, off 10) 
 "Gargoni" 1 (L 8972, off 11) 
 "Gear" 1 (L 9555, off 15) 
 "Geisha" 1 (L 9311, off 20) 
 "Generally" 1 (L 3378, off 1) 
 "Gentlemen" 1 (L 8740, off 41) 
 "George" 1 (L 9594, off 43) 
 "Gettin" 1 (L 4464, off 1) 
 "Giants" 1 (L 6503, off 0) 
 "Gibson" 1 (L 9561, off 46) 
 "Gilbert" 1 (L 9594, off 51) 
 "Girdle" 1 (L 8972, off 19) 
 "Glancing" 1 (L 8564, off 55) 
 "Glaring" 1 (L 851, off 0) 
 "Gloom" 1 (L 9208, off 15) 
 "Glove" 1 (L 9231, off 26) 
 "Go-ahead" 1 (L 9550, off 11) 
 "Gone" 1 (L 2782, off 1) 
 "Good-by" 1 (L 2904, off 1) 
 "Goods" 1 (L 9000, off 33) 
 "Gordon" 1 (L 9398, off 11) 
 "Governor" 1 (L 9167, off 19) 
 "Graft" 1 (L 9219, off 21) 
 "Grand" 1 (L 8351, off 0) 
 "Grant" 1 (L 9465, off 11) 
 "Granted" 1 (L 5093, off 43) 
 "Grave" 1 (L 8984, off 19) 
 "Green--or" 1 (L 8865, off 13) 
 "Green--the" 1 (L 7740, off 46) 
 "Green-Diggs" 1 (L 8306, off 0) 
 "Gregory" 1 (L 9910, off 8) 
 "Grimly" 1 (L 7917, off 9) 
 "Grogett" 1 (L 3516, off 1) 
 "Grouped" 1 (L 8622, off 52) 
 "Guardian" 1 (L 9199, off 19) 
 "Guilt" 1 (L 9137, off 21) 
 "Guilty" 1 (L 9167, off 12) 
 "Gutenberg-tm's" 1 (L 9878, off 54) 
 "HAT" 1 (L 4083, off 35) 
 "HAVE" 1 (L 9822, off 25) 
 "HORATIO" 1 (L 9393, off 3) 
 "HOW" 1 (L 2420, off 11) 
 "Ha--Merriwell" 1 (L 8627, off 1) 
 "Hadn" 1 (L 562, off 61) 
 "Half" 1 (L 6876, off 0) 
 "Hammer" 1 (L 9262, off 22) 
 "Hang" 1 (L 5707, off 43) 
 "Happy" 1 (L 106, off 25) 
 "Harlow" 1 (L 3756, off 38) 
 "Haul" 1 (L 9008, off 21) 
 "Haven" 1 (L 7044, off 1) 
 "Heiress" 1 (L 9361, off 22) 
 "Hel-l-lup" 1 (L 706, off 1) 
 "Held" 1 (L 9023, off 20) 
 "Help" 1 (L 9104, off 18) 
 "Helper" 1 (L 9504, off 15) 
 "Helping" 1 (L 182, off 31) 
 "Hendrix" 1 (L 1223, off 0) 
 "Herald" 1 
 "Hermit" 1 (L 9517, off 17) 
 "Heroic" 1 (L 177, off 24) 
 "Heroism" 1 (L 9520, off 19) 
 "High" 1 (L 9555, off 10) 
 "Hill" 1 (L 9120, off 19) 
 "Him" 1 (L 6171, off 1) 
 "Hit" 1 (L 2785, off 1) 
 "Holdup" 1 (L 9176, off 20) 
 "Hole" 1 (L 9164, off 12) 
 "Hoodoo" 1 (L 9345, off 17) 
 "Hostetter--durned" 1 (L 8691, off 54) 
 "How----" 1 
 "Howdy" 1 (L 1248, off 1) 
 "Humble" 1 (L 9509, off 16) 
 "Hundred" 1 (L 9400, off 15) 
 "Hunter" 1 (L 9288, off 10) 
 "Hunters" 1 (L 9493, off 23) 
 "Hurry" 1 (L 5502, off 25) 
 "I----" 1 
 "III" 1 (L 703, off 8) 
 "IMPLIED" 1 (L 9845, off 41) 
 "INCIDENTAL" 1 (L 9827, off 0) 
 "INCLUDING" 1 (L 9845, off 50) 
 "INDEMNITY" 1 (L 9857, off 7) 
 "INDIRECT" 1 (L 9826, off 34) 
 "INITIALS" 1 (L 4083, off 19) 
 "INVESTIGATING" 1 (L 5025, off 14) 
 "IRS" 1 (L 9923, off 16) 
 "Ice" 1 (L 9496, off 27) 
 "Ice-boat" 1 (L 185, off 31) 
 "Identities" 1 (L 9051, off 15) 
 "Illustration" 1 (L 236, off 3) 
 "Impress" 1 (L 2095, off 9) 
 "Inch" 1 (L 9506, off 13) 
 "Influence" 1 (L 107, off 24) 
 "Ingenious" 1 (L 9159, off 11) 
 "Inheritance" 1 (L 9428, off 15) 
 "Inning" 1 (L 5722, off 25) 
 "Internal" 1 (L 9894, off 58) 
 "International" 1 (L 9939, off 0) 
 "Intuition" 1 (L 156, off 24) 
 "Iron" 1 (L 9109, off 19) 
 "Island" 1 (L 9562, off 11) 
 "Its" 1 (L 9903, off 11) 
 "JUMP" 1 (L 8098, off 19) 
 "Jesty" 1 (L 3517, off 38) 
 "Jeweled" 1 (L 9350, off 12) 
 "Joke" 1 (L 110, off 24) 
 "Jove" 1 (L 2262, off 0) 
 "Jumping" 1 (L 4799, off 1) 
 "June" 1 (L 223, off 26) 
 "Jungle" 1 (L 9017, off 20) 
 "Jupiter" 1 (L 4792, off 10) 
 "KIND" 1 (L 9845, off 24) 
 "Key" 1 (L 9227, off 12) 
 "Kills" 1 (L 9011, off 21) 
 "Kings" 1 (L 9521, off 26) 
 "Kit" 1 (L 9505, off 14) 
 "Knave" 1 (L 9232, off 18) 
 "Knife" 1 (L 9103, off 15) 
 "Knives" 1 (L 9061, off 31) 
 "Knock" 1 (L 8232, off 29) 
 "L-l-l-lam" 1 (L 747, off 48) 
 "L-l-lambaste" 1 (L 1495, off 46) 
 "L-l-let" 1 (L 1771, off 12) 
 "L-l-light" 1 (L 799, off 1) 
 "L-l-line" 1 (L 2327, off 31) 
 "L-l-listen" 1 (L 787, off 0) 
 "L-l-lot" 1 (L 1047, off 50) 
 "LAYING" 1 (L 6206, off 16) 
 "LEFT" 1 (L 474, off 22) 
 "LETTER" 1 (L 1689, off 25) 
 "LIABILITY" 1 (L 9823, off 0) 
 "LIABLE" 1 (L 9826, off 0) 
 "LIFE" 1 (L 7847, off 31) 
 "LLC" 1 (L 9800, off 28) 
 "LURED" 1 (L 4541, off 12) 
 "Lace" 1 (L 9096, off 25) 
 "Lads" 1 (L 171, off 25) 
 "Lang" 1 (L 7641, off 2) 
 "Language" 1 (L 17, off 0) 
 "Lap" 1 (L 9255, off 15) 
 "Lay" 1 (L 2985, off 1) 
 "Leaguers" 1 (L 105, off 25) 
 "Leaping" 1 (L 5208, off 0) 
 "Lecture" 1 (L 3938, off 1) 
 "Led" 1 (L 8058, off 1) 
 "Legacy" 1 (L 9098, off 10) 
 "Lesson" 1 (L 136, off 25) 
 "Letters" 1 (L 9247, off 11) 
 "Liars" 1 (L 9124, off 22) 
 "Life" 1 (L 9043, off 16) 
 "Likely" 1 (L 8787, off 1) 
 "Limited" 1 (L 9176, off 12) 
 "Links" 1 (L 9225, off 13) 
 "Lionhearted" 1 (L 162, off 28) 
 "Live" 1 (L 9355, off 10) 
 "Living" 1 (L 9192, off 12) 
 "Lizzie" 1 (L 9579, off 54) 
