 "'AS-IS'" 1 
 "ACTUAL" 1 (L 5115, off 18) 
 "Grass" 1 (L 2649, off 31) 
 "Great" 1 (L 3272, off 27) 
 "Green" 1 (L 3472, off 46) 
 "Gregory" 1 (L 5197, off 9) 
 "Ground" 1 (L 775, off 29) 
 "Grunting" 1 (L 4173, off 47) 
 "Gutenberg's" 1 (L 1, off 9) 
 "Gutenberg-tm's" 1 (L 5166, off 55) 
 "HAVE" 1 (L 5111, off 26) 
 "Habit" 1 (L 2679, off 47) 
 "Hammock" 1 (L 79, off 12) 
 "Head" 1 (L 1361, off 22) 
 "Heading" 1 (L 4123, off 32) 
 "Hello" 1 (L 4419, off 1) 
 "Helped" 1 (L 3237, off 41) 
 "Horses" 1 (L 923, off 53) 
 "House" 1 (L 60, off 11) 
 "How" 1 (L 4015, off 1) 
 "However" 1 (L 5038, off 36) 
 "Humping" 1 (L 3927, off 19) 
 "Hunger" 1 (L 2438, off 8) 
 "Hunting" 1 (L 1768, off 50) 
 "IMPLIED" 1 (L 5134, off 35) 
 "INCIDENTAL" 1 (L 5116, off 0) 
 "INCLUDING" 1 (L 5134, off 44) 
 "INDEMNITY" 1 (L 5145, off 8) 
 "INDIRECT" 1 (L 5115, off 34) 
 "IRS" 1 (L 5211, off 16) 
 "Illustration" 1 (L 140, off 1) 
 "Illustrations" 1 (L 90, off 51) 
 "Instead" 1 (L 2579, off 48) 
 "Instinct" 1 (L 4133, off 34) 
 "Internal" 1 (L 5181, off 58) 
 "International" 1 (L 5227, off 0) 
 "KIND" 1 (L 5134, off 18) 
 "Keep" 1 (L 3887, off 48) 
 "Keeping" 1 (L 161, off 64) 
 "Kildee" 1 (L 60, off 4) 
 "LIABILITY" 1 (L 5112, off 0) 
 "LIABLE" 1 (L 5115, off 0) 
 "Language" 1 (L 15, off 0) 
 "Lank" 1 (L 1835, off 42) 
 "Lastly" 1 (L 472, off 52) 
 "Laying" 1 (L 291, off 48) 
 "Leaning" 1 (L 4638, off 32) 
 "Leaping" 1 (L 3056, off 32) 
 "Left" 1 (L 767, off 51) 
 "Lifting" 1 (L 2822, off 37) 
 "Long" 1 (L 1707, off 65) 
 "Los" 1 (L 49, off 31) 
 "MERCHANTABILITY" 1 (L 5135, off 14) 
 "MONTGOMERY" 1 (L 71, off 15) 
 "Magazines" 1 (L 92, off 51) 
 "Make" 1 (L 3888, off 44) 
 "Makes" 1 (L 342, off 12) 
 "Mares" 1 (L 3961, off 13) 
 "McGonigle" 1 (L 58, off 4) 
 "Melan" 1 (L 5188, off 53) 
 "Mention" 1 (L 4489, off 30) 
 "Methodically" 1 (L 4555, off 0) 
 "Mexican" 1 (L 4562, off 13) 
 "Midsummer" 1 (L 3018, off 0) 
 "Might" 1 (L 808, off 47) 
 "Mission" 1 (L 5157, off 35) 
 "Mississippi" 1 (L 5181, off 9) 
 "Morning" 1 (L 301, off 1) 
 "Mothers" 1 (L 3942, off 31) 
 "Mountaineer" 1 (L 57, off 10) 
 "Mountains" 1 (L 160, off 32) 
 "Mounted" 1 (L 1306, off 0) 
 "NEGLIGENCE" 1 (L 5111, off 47) 
 "NOTICE" 1 (L 5116, off 36) 
 "Nature" 1 (L 197, off 49) 
 "Nearly" 1 (L 4970, off 32) 
 "Neither" 1 (L 4253, off 41) 
 "Newby" 1 (L 5197, off 20) 
 "Nobody" 1 (L 1204, off 51) 
 "Not" 1 (L 4440, off 1) 
 "Note" 1 (L 4875, off 14) 
 "November" 1 (L 95, off 22) 
 "Nowhere" 1 (L 1441, off 64) 
 "OTHER" 1 (L 5133, off 65) 
 "OWNER" 1 (L 5114, off 10) 
 "Occasionally" 1 (L 3764, off 38) 
 "October" 1 (L 13, off 14) 
 "Ontario" 1 (L 4870, off 45) 
 "Other" 1 (L 53, off 0) 
 "Outside" 1 (L 4608, off 36) 
 "Over" 1 (L 1720, off 8) 
 "PAGE" 1 (L 105, off 40) 
 "PARAGRAPH" 1 (L 5113, off 12) 
 "PGLAF" 1 (L 4969, off 3) 
 "PLEASE" 1 (L 4934, off 0) 
 "POSSIBILITY" 1 (L 5116, off 50) 
 "PROVIDED" 1 (L 5113, off 0) 
 "PUNITIVE" 1 (L 5115, off 59) 
 "PURPOSE" 1 (L 5135, off 49) 
 "Painted" 1 (L 4739, off 22) 
 "Please" 1 (L 5231, off 0) 
 "Plunging" 1 (L 3619, off 47) 
 "Pocket" 1 (L 91, off 18) 
 "Presently" 1 (L 2388, off 21) 
 "Printed" 1 (L 97, off 4) 
 "Printing" 1 (L 95, off 8) 
 "Professor" 1 (L 5240, off 0) 
 "Public" 1 (L 5247, off 40) 
 "Purty" 1 (L 237, off 1) 
 "Quickly" 1 (L 2728, off 32) 
 "READ" 1 (L 4934, off 7) 
 "REFUND" 1 (L 5119, off 40) 
 "REMEDIES" 1 (L 5111, off 34) 
 "REPLACEMENT" 1 (L 5119, off 25) 
 "RIGHT" 1 (L 5119, off 16) 
 "RUTHERFORD" 1 (L 71, off 4) 
 "Racing" 1 (L 4456, off 60) 
 "Rain" 1 (L 4581, off 48) 
 "Really" 1 (L 1850, off 0) 
 "Red" 1 (L 662, off 47) 
 "Redistributing" 1 (L 4944, off 37) 
 "Redistribution" 1 (L 4925, off 49) 
 "Reeking" 1 (L 1791, off 22) 
 "Refund" 1 (L 5106, off 18) 
 "Release" 1 (L 13, off 0) 
 "Relief" 1 (L 4736, off 0) 
 "Replacement" 1 (L 5106, off 3) 
 "Revenue" 1 (L 5182, off 0) 
 "Richmond" 1 (L 4870, off 30) 
 "Rifles" 1 (L 490, off 8) 
 "Right" 1 (L 5105, off 66) 
 "Rolling" 1 (L 2594, off 47) 
 "SEND" 1 (L 5219, off 0) 
 "STRICT" 1 (L 5111, off 59) 
 "SUCH" 1 (L 5116, off 65) 
 "Salt" 1 (L 5191, off 21) 
 "Saluting" 1 (L 4773, off 7) 
 "Sections" 1 (L 5172, off 49) 
 "Seeing" 1 (L 567, off 0) 
 "Service" 1 (L 5182, off 8) 
 "Setting" 1 (L 368, off 53) 
 "Sleepy" 1 (L 4702, off 50) 
 "Slides" 1 (L 2201, off 51) 
 "Slow" 1 (L 1825, off 38) 
 "Soft" 1 (L 3430, off 0) 
 "Softly" 1 (L 1856, off 14) 
 "Something" 1 (L 1475, off 0) 
 "Son" 1 (L 4862, off 0) 
 "Spears" 1 (L 3878, off 36) 
 "Special" 1 (L 4915, off 52) 
 "Spelling" 1 (L 4877, off 0) 
 "Squealing" 1 (L 3139, off 10) 
 "Staggering" 1 (L 4344, off 25) 
 "Stallion" 1 (L 4450, off 1) 
 "Stamping" 1 (L 3630, off 33) 
 "Sticks" 1 (L 2169, off 0) 
 "Streams" 1 (L 1124, off 36) 
 "Sunset" 1 (L 1516, off 0) 
 "Swallowing" 1 (L 2550, off 12) 
 "Swerving" 1 (L 3097, off 51) 
 "Sydney" 1 (L 74, off 41) 
 "THOSE" 1 (L 5112, off 59) 
 "TRADEMARK" 1 (L 5114, off 0) 
 "Taking" 1 (L 4088, off 30) 
 "Tarnation" 1 (L 290, off 1) 
 "Teeth" 1 (L 3737, off 14) 
 "Ten" 1 (L 4020, off 1) 
 "Thanks" 1 (L 355, off 1) 
 "Theirs" 1 (L 2226, off 13) 
 "Thet" 1 (L 294, off 1) 
 "Think" 1 (L 243, off 49) 
 "Thirty" 1 (L 3852, off 30) 
 "Tipped" 1 (L 148, off 20) 
 "Title" 1 (L 9, off 0) 
 "Tomorrow" 1 (L 1175, off 1) 
 "Too" 1 (L 3618, off 66) 
 "Topping" 1 (L 1357, off 0) 
 "Toronto" 1 (L 74, off 14) 
 "Towering" 1 (L 3863, off 31) 
 "Town" 1 (L 62, off 10) 
 "Transcriber" 1 (L 4875, off 0) 
 "Twisting" 1 (L 4839, off 5) 
 "UNDER" 1 (L 5114, off 37) 
 "USE" 1 (L 4934, off 42) 
 "UTF-" 1 (L 17, off 24) 
 "Unless" 1 (L 4994, off 6) 
 "Updated" 1 (L 4909, off 0) 
 "Vaguely" 1 (L 1655, off 0) 
 "Volunteers" 1 (L 5165, off 0) 
 "WILL" 1 (L 5114, off 58) 
 "WITH" 1 (L 5133, off 57) 
 "WORK" 1 (L 4934, off 51) 
 "War" 1 (L 48, off 9) 
 "Watching" 1 (L 4806, off 55) 
 "Weakened" 1 (L 3388, off 22) 
 "Well" 1 (L 3834, off 1) 
 "West" 1 (L 5191, off 15) 
 "Western" 1 (L 4867, off 52) 
 "Whatever" 1 (L 1679, off 26) 
 "White" 1 (L 57, off 4) 
 "Why" 1 (L 3804, off 1) 
 "Wild-Horse" 1 (L 115, off 8) 
 "Wolf" 1 (L 56, off 9) 
 "Woodpecker" 1 (L 4644, off 0) 
 "World" 1 (L 48, off 3) 
 "Wyoming" 1 (L 46, off 13) 
 "Yuh" 1 (L 779, off 1) 
 "abide" 1 (L 4950, off 57) 
 "abounded" 1 (L 1957, off 0) 
 "absence" 1 (L 1203, off 36) 
 "absent-mindedly" 1 (L 370, off 25) 
 "absently" 1 (L 4457, off 41) 
 "abundance" 1 (L 1062, off 61) 
 "accepting" 1 (L 5224, off 8) 
 "accessed" 1 (L 5000, off 29) 
 "accessible" 1 (L 5208, off 44) 
 "accomplish" 1 (L 3941, off 3) 
 "according" 1 (L 844, off 0) 
 "account" 1 (L 752, off 8) 
 "accumulated" 1 (L 4107, off 4) 
 "accustomed" 1 (L 3646, off 58) 
 "acreage" 1 (L 2787, off 39) 
 "acted" 1 (L 3921, off 5) 
 "actions" 1 (L 1572, off 25) 
 "adding" 1 (L 2583, off 60) 
 "addition" 1 (L 4987, off 28) 
 "additions" 1 (L 5153, off 39) 
 "address" 1 (L 5066, off 5) 
 "addresses" 1 (L 5232, off 12) 
 "adjust" 1 (L 2708, off 48) 
 "admit" 1 (L 4559, off 39) 
 "admitted" 1 (L 4067, off 62) 
 "advancing" 1 (L 2712, off 50) 
 "adventurous" 1 (L 612, off 50) 
 "affectionately" 1 (L 243, off 32) 
 "affording" 1 (L 4143, off 53) 
 "aflame" 1 (L 640, off 62) 
 "after-thought" 1 (L 3798, off 12) 
 "again--the" 1 (L 4176, off 0) 
 "age-old" 1 (L 1034, off 46) 
 "agent" 1 (L 5146, off 21) 
 "aggressively" 1 (L 1971, off 0) 
 "ail" 1 (L 4616, off 12) 
 "ails" 1 (L 4614, off 6) 
 "aiming" 1 (L 1288, off 32) 
 "alertness" 1 (L 3401, off 39) 
 "alighted" 1 (L 1550, off 44) 
 "alignment" 1 (L 4083, off 23) 
 "all-clear" 1 (L 789, off 14) 
 "alteration" 1 (L 5153, off 10) 
 "alternate" 1 (L 5045, off 11) 
 "amber" 1 (L 2531, off 46) 
 "ambling" 1 (L 3478, off 15) 
 "ambushes" 1 (L 500, off 31) 
 "amid" 1 (L 2805, off 54) 
 "amusement" 1 (L 361, off 21) 
 "angels" 1 (L 4007, off 49) 
 "angle" 1 (L 3086, off 28) 
 "announce" 1 (L 189, off 63) 
 "announced" 1 (L 2652, off 22) 
 "ant" 1 (L 1552, off 37) 
 "anxious" 1 (L 1402, off 60) 
 "anybody" 1 (L 1211, off 48) 
 "anyway" 1 (L 3242, off 0) 
 "apartments" 1 (L 1012, off 11) 
 "appearance" 1 (L 177, off 50) 
 "appearing" 1 (L 5013, off 55) 
 "appears" 1 (L 4999, off 27) 
 "appetite" 1 (L 4425, off 25) 
 "apply" 1 (L 4916, off 60) 
 "appreciate" 1 (L 3041, off 26) 
 "arching" 1 (L 1889, off 25) 
 "arise" 1 (L 5151, off 5) 
 "armed" 1 (L 608, off 51) 
 "arrangement" 1 (L 93, off 0) 
 "array" 1 (L 5209, off 0) 
 "arrest" 1 (L 836, off 8) 
 "arrest--charge" 1 (L 837, off 52) 
 "arroyos" 1 (L 1123, off 53) 
 "articles" 1 (L 380, off 10) 
 "askin" 1 (L 294, off 23) 
 "asking" 1 (L 4817, off 15) 
 "asleep" 1 (L 1577, off 13) 
 "assailant" 1 (L 1719, off 0) 
 "assert" 1 (L 3645, off 61) 
 "assistance" 1 (L 5166, off 0) 
 "assurance" 1 (L 4471, off 17) 
 "attached" 1 (L 4981, off 46) 
 "attacker" 1 (L 2591, off 54) 
 "attacking" 1 (L 695, off 13) 
 "attraction" 1 (L 4403, off 0) 
 "avalanche" 1 (L 3618, off 55) 
 "avenues" 1 (L 496, off 0) 
 "avidly" 1 (L 977, off 13) 
 "avoided" 1 (L 2672, off 3) 
 "awakening" 1 (L 3493, off 0) 
 "away--you" 1 (L 4924, off 54) 
 "awful" 1 (L 821, off 39) 
 "awoke" 1 (L 2653, off 0) 
 "babied" 1 (L 279, off 64) 
 "babies" 1 (L 1648, off 38) 
 "bachelors" 1 (L 2367, off 27) 
 "backbone" 1 (L 4241, off 63) 
 "backward" 1 (L 3605, off 11) 
 "badger" 1 (L 835, off 26) 
 "bald" 1 (L 1588, off 8) 
 "baled" 1 (L 4843, off 33) 
 "banished" 1 (L 1903, off 41) 
 "bank" 1 (L 752, off 3) 
 "banked" 1 (L 1592, off 52) 
 "banks" 1 (L 1502, off 22) 
 "banquet" 1 (L 2398, off 62) 
 "bar" 1 (L 3305, off 11) 
 "barely" 1 (L 813, off 30) 
 "bargains" 1 (L 307, off 25) 
 "barked" 1 (L 2673, off 30) 
 "barn" 1 (L 2166, off 17) 
 "barrel" 1 (L 455, off 10) 
 "battled" 1 (L 3464, off 9) 
 "beautiful" 1 (L 4862, off 9) 
 "become" 1 (L 486, off 9) 
 "becoming" 1 (L 1975, off 38) 
 "bedground" 1 (L 3264, off 59) 
 "begin" 1 (L 2394, off 11) 
 "believed" 1 (L 4666, off 42) 
 "bells" 1 (L 2918, off 0) 
 "belong" 1 (L 1172, off 39) 
 "berry" 1 (L 2727, off 38) 
 "bet" 1 (L 4037, off 6) 
 "betting" 1 (L 4107, off 56) 
 "biddie" 1 (L 3882, off 4) 
 "big-eared" 1 (L 1969, off 20) 
 "bigger" 1 (L 1704, off 14) 
 "binary" 1 (L 5036, off 59) 
 "binding" 1 (L 85, off 37) 
 "bird" 1 (L 341, off 36) 
 "birth" 1 (L 4243, off 57) 
 "bite" 1 (L 252, off 8) 
 "bites" 1 (L 4074, off 61) 
 "bitten" 1 (L 2309, off 38) 
 "black-eyed" 1 (L 1423, off 60) 
 "black-faced" 1 (L 2843, off 9) 
 "black-tipped" 1 (L 3684, off 6) 
 "blackened" 1 (L 4508, off 19) 
 "blades" 1 (L 2867, off 59) 
 "blamed" 1 (L 885, off 30) 
 "blazoned" 1 (L 2187, off 56) 
 "bleating" 1 (L 696, off 14) 
 "blended" 1 (L 1846, off 38) 
 "blending" 1 (L 2036, off 41) 
 "blind" 1 (L 3612, off 33) 
 "blink" 1 (L 2653, off 36) 
 "blood-filled" 1 (L 2684, off 23) 
 "blotting" 1 (L 2192, off 53) 
 "blue-and-purple" 1 (L 2050, off 50) 
 "blue-black" 1 (L 1658, off 52) 
 "blueprints" 1 (L 198, off 0) 
 "bluffs" 1 (L 1516, off 65) 
 "blur" 1 (L 4258, off 55) 
 "blustery" 1 (L 2639, off 20) 
 "boards" 1 (L 3499, off 10) 
 "bobbed" 1 (L 522, off 12) 
 "bobbed-off" 1 (L 1689, off 46) 
 "bobtail" 1 (L 1678, off 36) 
 "body--h-mmm" 1 (L 4457, off 4) 
 "bolt" 1 (L 1616, off 46) 
 "bonanza" 1 (L 744, off 39) 
 "bond" 1 (L 2607, off 15) 
 "boned" 1 (L 4306, off 8) 
 "book" 1 (L 84, off 5) 
 "books" 1 (L 39, off 19) 
 "boot" 1 (L 866, off 19) 
 "boots" 1 (L 1199, off 21) 
 "border" 1 (L 4562, off 21) 
 "bottoms" 1 (L 2205, off 45) 
 "bought" 1 (L 3817, off 0) 
 "boulder" 1 (L 1312, off 0) 
 "bounce" 1 (L 1646, off 56) 
 "bouncing" 1 (L 1895, off 4) 
 "bounding" 1 (L 515, off 18) 
 "bout" 1 (L 389, off 9) 
 "bowl" 1 (L 282, off 25) 
 "boxers" 1 (L 3574, off 19) 
 "branch-covered" 1 (L 918, off 37) 
 "branching" 1 (L 1970, off 42) 
 "brand" 1 (L 274, off 4) 
 "braved" 1 (L 3732, off 4) 
 "breathe" 1 (L 1379, off 22) 
 "breathing" 1 (L 2137, off 11) 
 "breezes" 1 (L 3430, off 5) 
 "bridles" 1 (L 1158, off 62) 
 "briefly" 1 (L 2930, off 43) 
 "brightened" 1 (L 1518, off 9) 
 "brightest" 1 (L 2037, off 14) 
 "brittle" 1 (L 2246, off 54) 
 "broad-chested" 1 (L 1461, off 51) 
 "broadside" 1 (L 4031, off 8) 
 "brooding" 1 (L 620, off 45) 
 "broom" 1 (L 4047, off 34) 
 "brown-faced" 1 (L 1157, off 42) 
 "browsed" 1 (L 2220, off 19) 
 "bruises" 1 (L 1910, off 59) 
 "brush-matted" 1 (L 4043, off 0) 
 "brush-padded" 1 (L 3595, off 0) 
 "brutes" 1 (L 4311, off 41) 
 "bubbled" 1 (L 1501, off 47) 
 "bubbling" 1 (L 1422, off 8) 
 "buck-hide" 1 (L 755, off 12) 
 "bucks" 1 (L 2145, off 6) 
 "bud" 1 (L 2108, off 17) 
 "budging" 1 (L 4111, off 17) 
 "build" 1 (L 1009, off 0) 
 "building" 1 (L 1624, off 11) 
 "bulbs" 1 (L 3256, off 4) 
 "bulk" 1 (L 4111, off 34) 
 "bullet" 1 (L 3952, off 58) 
 "bulls" 1 (L 4271, off 10) 
 "bumping" 1 (L 1604, off 39) 
 "bunched" 1 (L 996, off 23) 
 "bunnies" 1 (L 1733, off 51) 
 "bunny" 1 (L 2760, off 22) 
 "burdened" 1 (L 4611, off 23) 
 "buried" 1 (L 755, off 42) 
 "burned" 1 (L 3953, off 43) 
 "burning" 1 (L 2894, off 33) 
 "bursting" 1 (L 2785, off 10) 
 "butted" 1 (L 1527, off 41) 
 "buttes" 1 (L 724, off 14) 
 "butting" 1 (L 1843, off 44) 
 "buttons" 1 (L 1767, off 0) 
 "buzzing" 1 (L 1567, off 12) 
 "cabins" 1 (L 4405, off 0) 
 "cache" 1 (L 1204, off 28) 
 "cached" 1 (L 4648, off 50) 
 "caches" 1 (L 2049, off 54) 
 "cadence" 1 (L 4706, off 50) 
 "caking" 1 (L 1297, off 57) 
 "calculate" 1 (L 5058, off 24) 
 "calculated" 1 (L 5057, off 43) 
 "calendars" 1 (L 374, off 5) 
 "campaign" 1 (L 4503, off 19) 
 "candy" 1 (L 2249, off 5) 
 "canter" 1 (L 621, off 6) 
 "canvas" 1 (L 967, off 6) 
 "captive" 1 (L 2003, off 8) 
 "capturing" 1 (L 925, off 56) 
 "carbines" 1 (L 3843, off 0) 
 "card" 1 (L 5233, off 50) 
 "career" 1 (L 3580, off 13) 
 "careless" 1 (L 3843, off 39) 
 "caress" 1 (L 2831, off 22) 
 "caresses" 1 (L 263, off 13) 
 "carved" 1 (L 1126, off 0) 
 "cascaded" 1 (L 2205, off 21) 
 "cash" 1 (L 2953, off 51) 
 "casing" 1 (L 4781, off 59) 
 "cast" 1 (L 548, off 13) 
 "casting" 1 (L 1675, off 60) 
 "castles" 1 (L 2655, off 0) 
 "cat-of-the-mountain" 1 (L 1660, off 26) 
 "cataract" 1 (L 3294, off 43) 
 "catching" 1 (L 4204, off 11) 
 "cathedral" 1 (L 983, off 0) 
 "cathedrals" 1 (L 2182, off 48) 
 "cattin" 1 (L 785, off 13) 
 "causing" 1 (L 2135, off 45) 
 "caution" 1 (L 548, off 18) 
 "cautious" 1 (L 2475, off 47) 
 "cavorted" 1 (L 1552, off 63) 
 "cease" 1 (L 4951, off 38) 
 "ceiling" 1 (L 1006, off 0) 
 "celebrating" 1 (L 3495, off 12) 
 "cells" 1 (L 4617, off 0) 
 "centuries" 1 (L 1002, off 43) 
 "cerainly" 1 (L 4881, off 9) 
 "ceremonial" 1 (L 1013, off 4) 
 "ceremonies" 1 (L 1181, off 39) 
 "chaff" 1 (L 249, off 60) 
 "chalked" 1 (L 2010, off 52) 
 "champing" 1 (L 1985, off 0) 
 "chances" 1 (L 1749, off 8) 
 "chants" 1 (L 1180, off 46) 
 "chaps" 1 (L 4654, off 0) 
 "charitable" 1 (L 5214, off 14) 
 "charities" 1 (L 5214, off 0) 
 "chattered" 1 (L 2096, off 22) 
 "chawin" 1 (L 353, off 0) 
 "checks" 1 (L 5233, off 15) 
 "cheeks" 1 (L 2047, off 50) 
 "cherished" 1 (L 912, off 57) 
 "chewed" 1 (L 2549, off 65) 
 "chewing" 1 (L 2296, off 12) 
 "chickaree" 1 (L 2094, off 0) 
 "chief" 1 (L 189, off 14) 
 "child" 1 (L 1643, off 60) 
 "chill" 1 (L 1805, off 9) 
 "chillness" 1 (L 722, off 41) 
 "chins" 1 (L 2136, off 20) 
 "chip" 1 (L 194, off 26) 
 "chock-chock" 1 (L 3492, off 27) 
 "chocking" 1 (L 2660, off 31) 
 "choice" 1 (L 1701, off 49) 
 "choking" 1 (L 1327, off 30) 
 "choose" 1 (L 5127, off 24) 
 "chuckling" 1 (L 1558, off 8) 
 "cinch" 1 (L 4661, off 57) 
 "circuit" 1 (L 626, off 54) 
 "circulated" 1 (L 85, off 19) 
 "claimed" 1 (L 1770, off 63) 
 "clamped" 1 (L 161, off 21) 
 "clattering" 1 (L 3066, off 26) 
 "clawing" 1 (L 1899, off 25) 
 "clearings" 1 (L 4514, off 26) 
 "clinch" 1 (L 2977, off 10) 
 "clods" 1 (L 2070, off 59) 
 "closed-in" 1 (L 1194, off 61) 
 "closely" 1 (L 1051, off 49) 
 "cloudings" 1 (L 1687, off 49) 
 "cloudy" 1 (L 2528, off 4) 
 "clumsy" 1 (L 2484, off 59) 
 "cluster" 1 (L 2181, off 3) 
 "coarse" 1 (L 746, off 33) 
 "coating" 1 (L 3461, off 64) 
 "coax" 1 (L 481, off 59) 
 "cocky" 1 (L 761, off 46) 
 "codes" 1 (L 5102, off 28) 
 "codger" 1 (L 4612, off 4) 
 "collapsed" 1 (L 3961, off 19) 
 "colors" 1 (L 2037, off 24) 
 "colt--so" 1 (L 1535, off 61) 
 "colthood" 1 (L 4244, off 6) 
 "coltish" 1 (L 3235, off 37) 
 "comb" 1 (L 2200, off 49) 
 "combat" 1 (L 4329, off 31) 
 "combatants" 1 (L 4324, off 4) 
 "combined" 1 (L 3019, off 33) 
 "comfort" 1 (L 4412, off 63) 
 "comin" 1 (L 4836, off 5) 
 "command" 1 (L 3920, off 37) 
 "commercial" 1 (L 4926, off 45) 
 "committed" 1 (L 5213, off 18) 
 "commotion" 1 (L 2723, off 47) 
 "companion" 1 (L 1329, off 34) 
 "company" 1 (L 4598, off 41) 
 "compared" 1 (L 3111, off 57) 
 "compilation" 1 (L 4969, off 18) 
 "compressed" 1 (L 5037, off 0) 
 "comrades" 1 (L 2563, off 15) 
 "comradeship" 1 (L 2226, off 0) 
 "concern" 1 (L 3774, off 61) 
 "condemned" 1 (L 1667, off 4) 
 "conditions" 1 (L 885, off 15) 
 "confidential" 1 (L 385, off 17) 
 "confirmation" 1 (L 5218, off 35) 
