 "'AS-IS'" 1 
 "'Deev'" 1 
 "'Power" 1 
 "'deevs" 1 
 "'sarge'" 1 
 "'topkick" 1 
 "--Remember" 1 
 "ACTUAL" 1 (L 1072, off 18) 
 "agent" 1 (L 1104, off 21) 
 "ahead" 1 (L 680, off 6) 
 "aides" 1 (L 743, off 47) 
 "air" 1 (L 633, off 45) 
 "alight" 1 (L 354, off 51) 
 "allied" 1 (L 638, off 40) 
 "allow" 1 (L 1094, off 26) 
 "alone" 1 (L 1187, off 37) 
 "already" 1 (L 1015, off 6) 
 "alteration" 1 (L 1111, off 38) 
 "alternate" 1 (L 1002, off 34) 
 "although" 1 (L 406, off 7) 
 "amazement" 1 (L 728, off 40) 
 "among" 1 (L 739, off 27) 
 "amplified" 1 (L 99, off 28) 
 "angrily" 1 (L 540, off 63) 
 "anomaly" 1 (L 235, off 23) 
 "anticipate" 1 (L 172, off 27) 
 "anticipated" 1 (L 568, off 26) 
 "anxious" 1 (L 500, off 0) 
 "anybody" 1 (L 100, off 44) 
 "anyhow" 1 (L 267, off 17) 
 "apologized" 1 (L 65, off 60) 
 "apparently" 1 (L 714, off 25) 
 "appear" 1 (L 950, off 64) 
 "appearing" 1 (L 970, off 30) 
 "appears" 1 (L 952, off 40) 
 "apply" 1 (L 871, off 17) 
 "archives" 1 (L 504, off 29) 
 "area" 1 (L 303, off 39) 
 "aren't" 1 (L 414, off 46) 
 "arise" 1 (L 1109, off 27) 
 "aristocracy" 1 (L 595, off 9) 
 "arose" 1 (L 341, off 40) 
 "aroused" 1 (L 457, off 55) 
 "array" 1 (L 1167, off 0) 
 "arrest" 1 (L 560, off 32) 
 "arrows" 1 (L 176, off 26) 
 "ashes" 1 (L 595, off 28) 
 "aside" 1 (L 467, off 30) 
 "ask" 1 (L 581, off 13) 
 "aspace" 1 (L 258, off 62) 
 "asperity" 1 (L 487, off 52) 
 "assistance" 1 (L 1124, off 0) 
 "association" 1 (L 258, off 44) 
 "assured" 1 (L 335, off 63) 
 "astonishment" 1 (L 356, off 3) 
 "atom" 1 (L 762, off 45) 
 "atomic-powered" 1 (L 765, off 17) 
 "attached" 1 (L 934, off 21) 
 "attack" 1 (L 277, off 20) 
 "attended" 1 (L 710, off 33) 
 "attorney" 1 (L 634, off 0) 
 "authority" 1 (L 483, off 0) 
 "avenged" 1 (L 707, off 32) 
 "awake" 1 (L 393, off 55) 
 "away--you" 1 (L 879, off 0) 
 "awe" 1 (L 370, off 26) 
 "baggy" 1 (L 139, off 13) 
 "barked" 1 (L 743, off 33) 
 "barred" 1 (L 443, off 2) 
 "barring" 1 (L 124, off 0) 
 "base" 1 (L 639, off 28) 
 "basic" 1 (L 788, off 8) 
 "basis" 1 (L 160, off 20) 
 "baths" 1 (L 241, off 44) 
 "battery" 1 (L 394, off 7) 
 "bearers" 1 (L 175, off 33) 
 "bearing" 1 (L 198, off 52) 
 "bed" 1 (L 267, off 45) 
 "bedroom" 1 (L 522, off 33) 
 "beds" 1 (L 247, off 9) 
 "beginning" 1 (L 981, off 0) 
 "benefit" 1 (L 558, off 47) 
 "bespoke" 1 (L 186, off 17) 
 "best" 1 (L 251, off 35) 
 "binary" 1 (L 993, off 58) 
 "binding" 1 (L 248, off 28) 
 "binoculars" 1 (L 84, off 43) 
 "black-haired" 1 (L 254, off 45) 
 "blackout" 1 (L 163, off 16) 
 "blasted" 1 (L 602, off 3) 
 "blazed" 1 (L 523, off 12) 
 "blonde" 1 (L 270, off 46) 
 "body" 1 (L 85, off 27) 
 "bombardment" 1 (L 591, off 44) 
 "booby-trapped" 1 (L 113, off 29) 
 "bookcase" 1 (L 247, off 52) 
 "boomed" 1 (L 99, off 44) 
 "bracing" 1 (L 720, off 35) 
 "brick" 1 (L 183, off 14) 
 "bricks" 1 (L 185, off 34) 
 "briefing" 1 (L 77, off 16) 
 "bright-tiled" 1 (L 241, off 57) 
 "brittle" 1 (L 293, off 6) 
 "broad" 1 (L 191, off 52) 
 "broadcast" 1 (L 621, off 6) 
 "broken" 1 (L 119, off 44) 
 "brush" 1 (L 735, off 25) 
 "brushed" 1 (L 245, off 30) 
 "buckets" 1 (L 241, off 8) 
 "build" 1 (L 781, off 37) 
 "bulb" 1 (L 818, off 6) 
 "burned" 1 (L 808, off 64) 
 "business" 1 (L 1149, off 15) 
 "cables" 1 (L 185, off 52) 
 "calculate" 1 (L 1015, off 21) 
 "calculated" 1 (L 1014, off 40) 
 "calculator" 1 (L 573, off 38) 
 "call" 1 (L 331, off 0) 
 "candelabra" 1 (L 325, off 26) 
 "candle-light" 1 (L 534, off 0) 
 "captain" 1 (L 310, off 4) 
 "card" 1 (L 1191, off 50) 
 "careful" 1 (L 70, off 34) 
 "carry" 1 (L 1164, off 39) 
 "carrying" 1 (L 773, off 59) 
 "cast" 1 (L 369, off 44) 
 "casual" 1 (L 702, off 55) 
 "caught" 1 (L 406, off 21) 
 "cavalry" 1 (L 193, off 41) 
 "cavalrymen" 1 (L 173, off 44) 
 "cease" 1 (L 902, off 38) 
 "cent" 1 (L 788, off 56) 
 "central" 1 (L 444, off 20) 
 "centuries" 1 (L 691, off 30) 
 "chairs" 1 (L 326, off 16) 
 "challenging" 1 (L 259, off 40) 
 "chances" 1 (L 390, off 0) 
 "change" 1 (L 939, off 23) 
 "charged" 1 (L 627, off 9) 
 "charitable" 1 (L 1172, off 14) 
 "charities" 1 (L 1172, off 0) 
 "checked" 1 (L 753, off 56) 
 "checks" 1 (L 1191, off 15) 
 "choose" 1 (L 1084, off 34) 
 "cigar" 1 (L 711, off 32) 
 "cigars" 1 (L 327, off 8) 
 "circumstances" 1 (L 789, off 27) 
 "claimed" 1 (L 666, off 12) 
 "clashed" 1 (L 257, off 13) 
 "classic" 1 (L 282, off 5) 
 "clearly" 1 (L 1021, off 21) 
 "climb" 1 (L 201, off 27) 
 "clinked" 1 (L 341, off 59) 
 "close-cropped" 1 (L 59, off 36) 
 "close-mouthed" 1 (L 499, off 43) 
 "closely" 1 (L 352, off 42) 
 "co-operating" 1 (L 306, off 0) 
 "cocktail" 1 (L 457, off 10) 
 "codes" 1 (L 1059, off 44) 
 "coils" 1 (L 185, off 60) 
 "cold" 1 (L 249, off 18) 
 "cold-loving" 1 (L 288, off 0) 
 "coldly" 1 (L 360, off 56) 
 "colonial" 1 (L 805, off 39) 
 "colonization" 1 (L 678, off 57) 
 "colors" 1 (L 628, off 35) 
 "comfortable" 1 (L 325, off 54) 
 "commercial" 1 (L 881, off 30) 
 "committed" 1 (L 1171, off 18) 
 "commotion" 1 (L 458, off 2) 
 "companion" 1 (L 255, off 7) 
 "comparatively" 1 (L 118, off 53) 
 "competent" 1 (L 692, off 0) 
 "compilation" 1 (L 921, off 30) 
 "compressed" 1 (L 994, off 0) 
 "concealed" 1 (L 811, off 47) 
 "concealing" 1 (L 743, off 9) 
 "conception" 1 (L 129, off 53) 
 "conditions" 1 (L 72, off 0) 
 "confer" 1 (L 423, off 0) 
 "conferred" 1 (L 55, off 21) 
 "confess" 1 (L 568, off 2) 
 "confessed" 1 (L 499, off 15) 
 "confines" 1 (L 257, off 57) 
 "confirmation" 1 (L 1176, off 35) 
 "confirmed" 1 (L 1203, off 27) 
 "consequently" 1 (L 258, off 17) 
 "considered" 1 (L 691, off 54) 
 "constant" 1 (L 939, off 5) 
 "consultation" 1 (L 157, off 42) 
 "containing" 1 (L 984, off 43) 
 "contributions" 1 (L 1180, off 35) 
 "convenience" 1 (L 230, off 23) 
 "convert" 1 (L 993, off 15) 
 "cordial" 1 (L 405, off 46) 
 "corner" 1 (L 411, off 63) 
 "corporation" 1 (L 1139, off 22) 
 "corpse" 1 (L 740, off 19) 
 "corresponds" 1 (L 690, off 54) 
 "corrupt" 1 (L 1057, off 3) 
 "councils" 1 (L 786, off 16) 
 "couple" 1 (L 466, off 0) 
 "course" 1 (L 928, off 52) 
 "courtesy" 1 (L 227, off 13) 
 "courtroom" 1 (L 618, off 0) 
 "courts" 1 (L 687, off 8) 
 "crashing" 1 (L 351, off 29) 
 "crazy" 1 (L 571, off 43) 
 "creation" 1 (L 877, off 31) 
 "credentials" 1 (L 463, off 10) 
 "credit" 1 (L 1191, off 43) 
 "crewman" 1 (L 729, off 40) 
 "cried" 1 (L 728, off 26) 
 "critical" 1 (L 1124, off 25) 
 "crowding" 1 (L 835, off 54) 
 "crucial" 1 (L 278, off 7) 
 "cubes" 1 (L 184, off 16) 
 "curb" 1 (L 473, off 10) 
 "curious" 1 (L 414, off 15) 
 "curiously" 1 (L 290, off 50) 
 "current" 1 (L 1189, off 49) 
 "daily" 1 (L 335, off 0) 
 "damage" 1 (L 1059, off 55) 
 "damaged" 1 (L 1058, off 51) 
 "dangerous" 1 (L 42, off 39) 
 "dangling" 1 (L 718, off 0) 
 "dark" 1 (L 270, off 62) 
 "dawn" 1 (L 598, off 41) 
 "day" 1 (L 404, off 58) 
 "deaths" 1 (L 707, off 17) 
 "decadent" 1 (L 376, off 26) 
 "decide" 1 (L 578, off 23) 
 "decision" 1 (L 625, off 27) 
 "deductible" 1 (L 1143, off 27) 
 "deev" 1 (L 840, off 7) 
 "deletions" 1 (L 1112, off 13) 
 "demand" 1 (L 1086, off 43) 
 "democratic" 1 (L 160, off 9) 
 "deny" 1 (L 554, off 10) 
 "departed" 1 (L 663, off 7) 
 "departure" 1 (L 504, off 12) 
 "depends" 1 (L 1163, off 21) 
 "depopulated" 1 (L 58, off 15) 
 "derive" 1 (L 1013, off 56) 
 "derived" 1 (L 965, off 0) 
 "descendents" 1 (L 217, off 13) 
 "described" 1 (L 1063, off 26) 
 "descriptions" 1 (L 286, off 50) 
 "desert" 1 (L 118, off 41) 
 "designations" 1 (L 309, off 59) 
 "desires" 1 (L 422, off 55) 
 "desk" 1 (L 199, off 48) 
 "destruction" 1 (L 818, off 16) 
 "detach" 1 (L 983, off 24) 
 "detail" 1 (L 506, off 0) 
 "deteriorates" 1 (L 824, off 31) 
 "determine" 1 (L 1177, off 13) 
 "determined" 1 (L 557, off 33) 
 "developments" 1 (L 335, off 9) 
 "diagram" 1 (L 762, off 31) 
 "dials" 1 (L 56, off 51) 
 "died" 1 (L 533, off 39) 
 "different" 1 (L 1043, off 50) 
 "direct" 1 (L 711, off 42) 
 "directed" 1 (L 406, off 51) 
 "direction" 1 (L 51, off 6) 
 "disappearing" 1 (L 416, off 10) 
 "disappointing" 1 (L 77, off 54) 
 "discipline" 1 (L 540, off 37) 
 "disclaim" 1 (L 1066, off 51) 
 "disclaimers" 1 (L 1094, off 32) 
 "discontinue" 1 (L 1030, off 57) 
 "discover" 1 (L 1076, off 55) 
 "discreetly" 1 (L 320, off 61) 
 "discussion" 1 (L 468, off 0) 
 "disk" 1 (L 1058, off 59) 
 "display" 1 (L 987, off 20) 
 "displayed" 1 (L 953, off 55) 
 "distance" 1 (L 126, off 0) 
 "distinct" 1 (L 399, off 48) 
 "dog-eared" 1 (L 293, off 18) 
 "doing" 1 (L 296, off 65) 
 "domes" 1 (L 184, off 26) 
 "donation" 1 (L 1189, off 57) 
 "donors" 1 (L 1182, off 45) 
 "doubtfully" 1 (L 439, off 37) 
 "downloading" 1 (L 941, off 17) 
 "downpour" 1 (L 513, off 34) 
 "drab" 1 (L 139, off 7) 
 "dragged" 1 (L 465, off 52) 
 "drained" 1 (L 347, off 41) 
 "drawn" 1 (L 465, off 38) 
 "dressed" 1 (L 138, off 62) 
 "drew" 1 (L 88, off 46) 
 "drink" 1 (L 338, off 54) 
 "drinking" 1 (L 659, off 43) 
 "drinks" 1 (L 478, off 49) 
 "dripping" 1 (L 536, off 0) 
 "driven" 1 (L 590, off 53) 
 "driver's" 1 (L 144, off 53) 
 "driving" 1 (L 483, off 14) 
 "drop" 1 (L 249, off 43) 
 "due" 1 (L 41, off 16) 
 "dust" 1 (L 246, off 7) 
 "duties" 1 (L 194, off 27) 
 "duty" 1 (L 65, off 11) 
 "e-mail" 1 (L 1027, off 24) 
 "each" 1 (L 1019, off 27) 
 "eager" 1 (L 496, off 19) 
 "earlier" 1 (L 595, off 40) 
 "earth" 1 (L 138, off 0) 
 "ease" 1 (L 711, off 9) 
 "easy" 1 (L 876, off 40) 
 "echelon" 1 (L 305, off 52) 
 "edition" 1 (L 1206, off 0) 
 "educational" 1 (L 1139, off 10) 
 "elaborate" 1 (L 320, off 19) 
 "elect" 1 (L 1082, off 28) 
 "electrical" 1 (L 656, off 24) 
 "elevators" 1 (L 200, off 37) 
 "email" 1 (L 1214, off 17) 
 "emerge" 1 (L 594, off 9) 
 "emergency" 1 (L 166, off 56) 
 "emotion" 1 (L 705, off 60) 
 "employee" 1 (L 1104, off 30) 
 "end" 1 (L 579, off 53) 
 "enemies" 1 (L 627, off 28) 
 "enfortressed" 1 (L 653, off 32) 
 "engine" 1 (L 474, off 4) 
 "enjoyed" 1 (L 326, off 35) 
 "enlisted" 1 (L 307, off 21) 
 "enmity" 1 (L 319, off 13) 
 "ensuring" 1 (L 1125, off 10) 
 "entrance" 1 (L 107, off 54) 
 "equipped" 1 (L 172, off 51) 
 "errors" 1 (L 1057, off 31) 
 "escape" 1 (L 796, off 20) 
 "especially" 1 (L 881, off 19) 
 "establish" 1 (L 130, off 14) 
 "established" 1 (L 213, off 60) 
 "etext" 1 (L 44, off 37) 
 "evening" 1 (L 510, off 26) 
 "ever" 1 (L 375, off 33) 
 "everybody" 1 (L 285, off 11) 
 "everything" 1 (L 576, off 21) 
 "evidently" 1 (L 234, off 13) 
 "excitement" 1 (L 739, off 16) 
 "exclusion" 1 (L 1095, off 18) 
 "existence" 1 (L 695, off 40) 
 "exists" 1 (L 1120, off 0) 
 "expanse" 1 (L 83, off 0) 
 "expect" 1 (L 492, off 53) 
 "expend" 1 (L 1051, off 50) 
 "expendable" 1 (L 134, off 0) 
 "expense" 1 (L 999, off 61) 
 "experience" 1 (L 285, off 51) 
 "experienced" 1 (L 633, off 55) 
 "exploded" 1 (L 728, off 15) 
 "exploited" 1 (L 805, off 62) 
 "explorers" 1 (L 119, off 26) 
 "explosion" 1 (L 724, off 37) 
 "exporting" 1 (L 1000, off 40) 
 "extension" 1 (L 219, off 54) 
 "extent" 1 (L 1143, off 50) 
 "exterminated" 1 (L 808, off 11) 
 "extreme" 1 (L 569, off 0) 
 "faces" 1 (L 356, off 54) 
 "facility" 1 (L 1209, off 0) 
 "faded" 1 (L 533, off 29) 
 "families" 1 (L 251, off 43) 
 "family" 1 (L 589, off 41) 
 "farther" 1 (L 350, off 42) 
 "fathom" 1 (L 571, off 9) 
 "faulty" 1 (L 823, off 18) 
 "feeble" 1 (L 523, off 49) 
 "fell" 1 (L 239, off 23) 
 "fellow" 1 (L 715, off 50) 
 "felt" 1 (L 346, off 47) 
 "fertile" 1 (L 119, off 0) 
 "few" 1 (L 912, off 62) 
 "fifty" 1 (L 331, off 63) 
 "fifty-eight" 1 (L 74, off 17) 
 "figure" 1 (L 137, off 23) 
 "financial" 1 (L 1123, off 15) 
 "fingers" 1 (L 59, off 20) 
 "firing" 1 (L 607, off 43) 
 "first-hand" 1 (L 285, off 40) 
 "fit" 1 (L 572, off 5) 
 "five" 1 (L 547, off 13) 
 "fix" 1 (L 1087, off 33) 
 "fixtures" 1 (L 238, off 29) 
 "flat" 1 (L 802, off 41) 
 "flicked" 1 (L 522, off 49) 
 "flights" 1 (L 201, off 37) 
 "flint" 1 (L 257, off 26) 
 "flowery" 1 (L 589, off 8) 
 "focussed" 1 (L 104, off 12) 
 "fool" 1 (L 111, off 7) 
 "foot" 1 (L 348, off 56) 
 "forces" 1 (L 613, off 11) 
 "forgotten" 1 (L 511, off 0) 
 "formal" 1 (L 557, off 49) 
 "formally" 1 (L 151, off 53) 
 "former" 1 (L 377, off 0) 
 "fortress" 1 (L 182, off 58) 
 "forts" 1 (L 107, off 31) 
 "forty" 1 (L 1198, off 31) 
 "fragile" 1 (L 327, off 61) 
 "friendly" 1 (L 133, off 0) 
 "frowning" 1 (L 62, off 47) 
 "fuel" 1 (L 649, off 47) 
 "full-length" 1 (L 248, off 57) 
 "gambled" 1 (L 607, off 24) 
 "gang" 1 (L 482, off 22) 
 "garage" 1 (L 481, off 23) 
 "garrison" 1 (L 266, off 36) 
 "garrisoned" 1 (L 812, off 49) 
 "gbnewby" 1 (L 1158, off 4) 
 "gears" 1 (L 471, off 42) 
 "general" 1 (L 588, off 54) 
 "genuine" 1 (L 346, off 56) 
 "gesticulating" 1 (L 468, off 22) 
 "gesture" 1 (L 703, off 13) 
 "gingerly" 1 (L 753, off 42) 
 "glance" 1 (L 370, off 10) 
 "glances" 1 (L 406, off 43) 
 "glaring" 1 (L 50, off 45) 
 "gleam" 1 (L 523, off 56) 
 "gleaned" 1 (L 587, off 11) 
 "glittering" 1 (L 301, off 35) 
 "glow" 1 (L 346, off 64) 
 "goals" 1 (L 1125, off 0) 
 "goes" 1 (L 515, off 6) 
 "going" 1 (L 77, off 40) 
 "govern" 1 (L 937, off 64) 
