 "'AS-IS'"
 "ACTUAL"(L 5115, off 18) 
 "Humping"(L 3927, off 19) 
 "Hunger"(L 2438, off 8) 
 "Hunting"(L 1768, off 50) 
 "IMPLIED"(L 5134, off 35) 
 "INCIDENTAL"(L 5116, off 0) 
 "INCLUDING"(L 5134, off 44) 
 "INDEMNITY"(L 5145, off 8) 
 "INDIRECT"(L 5115, off 34) 
 "IRS"(L 5211, off 16) 
 "Illustration"(L 140, off 1) 
 "Illustrations"(L 90, off 51) 
 "Instead"(L 2579, off 48) 
 "Instinct"(L 4133, off 34) 
 "Internal"(L 5181, off 58) 
 "International"(L 5227, off 0) 
 "KIND"(L 5134, off 18) 
 "Keep"(L 3887, off 48) 
 "Keeping"(L 161, off 64) 
 "Kildee"(L 60, off 4) 
 "LIABILITY"(L 5112, off 0) 
 "LIABLE"(L 5115, off 0) 
 "Language"(L 15, off 0) 
 "Lank"(L 1835, off 42) 
 "Lastly"(L 472, off 52) 
 "Laying"(L 291, off 48) 
 "Leaning"(L 4638, off 32) 
 "Leaping"(L 3056, off 32) 
 "Left"(L 767, off 51) 
 "Lifting"(L 2822, off 37) 
 "Long"(L 1707, off 65) 
 "Los"(L 49, off 31) 
 "MERCHANTABILITY"(L 5135, off 14) 
 "MONTGOMERY"(L 71, off 15) 
 "Magazines"(L 92, off 51) 
 "Make"(L 3888, off 44) 
 "Makes"(L 342, off 12) 
 "Mares"(L 3961, off 13) 
 "McGonigle"(L 58, off 4) 
 "Melan"(L 5188, off 53) 
 "Mention"(L 4489, off 30) 
 "Methodically"(L 4555, off 0) 
 "Mexican"(L 4562, off 13) 
 "Midsummer"(L 3018, off 0) 
 "Might"(L 808, off 47) 
 "Mission"(L 5157, off 35) 
 "Mississippi"(L 5181, off 9) 
 "Morning"(L 301, off 1) 
 "Mothers"(L 3942, off 31) 
 "Mountaineer"(L 57, off 10) 
 "Mountains"(L 160, off 32) 
 "Mounted"(L 1306, off 0) 
 "NEGLIGENCE"(L 5111, off 47) 
 "NOTICE"(L 5116, off 36) 
 "Nature"(L 197, off 49) 
 "Nearly"(L 4970, off 32) 
 "Neither"(L 4253, off 41) 
 "Newby"(L 5197, off 20) 
 "Nobody"(L 1204, off 51) 
 "Not"(L 4440, off 1) 
 "Note"(L 4875, off 14) 
 "November"(L 95, off 22) 
 "Nowhere"(L 1441, off 64) 
 "OTHER"(L 5133, off 65) 
 "OWNER"(L 5114, off 10) 
 "Occasionally"(L 3764, off 38) 
 "October"(L 13, off 14) 
 "Ontario"(L 4870, off 45) 
 "Other"(L 53, off 0) 
 "Outside"(L 4608, off 36) 
 "Over"(L 1720, off 8) 
 "PAGE"(L 105, off 40) 
 "PARAGRAPH"(L 5113, off 12) 
 "PGLAF"(L 4969, off 3) 
 "PLEASE"(L 4934, off 0) 
 "POSSIBILITY"(L 5116, off 50) 
 "PROVIDED"(L 5113, off 0) 
 "PUNITIVE"(L 5115, off 59) 
 "PURPOSE"(L 5135, off 49) 
 "Painted"(L 4739, off 22) 
 "Please"(L 5231, off 0) 
 "Plunging"(L 3619, off 47) 
 "Pocket"(L 91, off 18) 
 "Presently"(L 2388, off 21) 
 "Printed"(L 97, off 4) 
 "Printing"(L 95, off 8) 
 "Professor"(L 5240, off 0) 
 "Public"(L 5247, off 40) 
 "Purty"(L 237, off 1) 
 "Quickly"(L 2728, off 32) 
 "READ"(L 4934, off 7) 
 "REFUND"(L 5119, off 40) 
 "REMEDIES"(L 5111, off 34) 
 "REPLACEMENT"(L 5119, off 25) 
 "RIGHT"(L 5119, off 16) 
 "RUTHERFORD"(L 71, off 4) 
 "Racing"(L 4456, off 60) 
 "Rain"(L 4581, off 48) 
 "Really"(L 1850, off 0) 
 "Red"(L 662, off 47) 
 "Redistributing"(L 4944, off 37) 
 "Redistribution"(L 4925, off 49) 
 "Reeking"(L 1791, off 22) 
 "Refund"(L 5106, off 18) 
 "Release"(L 13, off 0) 
 "Relief"(L 4736, off 0) 
 "Replacement"(L 5106, off 3) 
 "Revenue"(L 5182, off 0) 
 "Richmond"(L 4870, off 30) 
 "Rifles"(L 490, off 8) 
 "Right"(L 5105, off 66) 
 "Rolling"(L 2594, off 47) 
 "SEND"(L 5219, off 0) 
 "STRICT"(L 5111, off 59) 
 "SUCH"(L 5116, off 65) 
 "Salt"(L 5191, off 21) 
 "Saluting"(L 4773, off 7) 
 "Sections"(L 5172, off 49) 
 "Seeing"(L 567, off 0) 
 "Service"(L 5182, off 8) 
 "Setting"(L 368, off 53) 
 "Sleepy"(L 4702, off 50) 
 "Slides"(L 2201, off 51) 
 "Slow"(L 1825, off 38) 
 "Soft"(L 3430, off 0) 
 "Softly"(L 1856, off 14) 
 "Something"(L 1475, off 0) 
 "Son"(L 4862, off 0) 
 "Spears"(L 3878, off 36) 
 "Special"(L 4915, off 52) 
 "Spelling"(L 4877, off 0) 
 "Squealing"(L 3139, off 10) 
 "Staggering"(L 4344, off 25) 
 "Stallion"(L 4450, off 1) 
 "Stamping"(L 3630, off 33) 
 "Sticks"(L 2169, off 0) 
 "Streams"(L 1124, off 36) 
 "Sunset"(L 1516, off 0) 
 "Swallowing"(L 2550, off 12) 
 "Swerving"(L 3097, off 51) 
 "Sydney"(L 74, off 41) 
 "THOSE"(L 5112, off 59) 
 "TRADEMARK"(L 5114, off 0) 
 "Taking"(L 4088, off 30) 
 "Tarnation"(L 290, off 1) 
 "Teeth"(L 3737, off 14) 
 "Ten"(L 4020, off 1) 
 "Thanks"(L 355, off 1) 
 "Theirs"(L 2226, off 13) 
 "Thet"(L 294, off 1) 
 "Think"(L 243, off 49) 
 "Thirty"(L 3852, off 30) 
 "Tipped"(L 148, off 20) 
 "Title"(L 9, off 0) 
 "Tomorrow"(L 1175, off 1) 
 "Too"(L 3618, off 66) 
 "Topping"(L 1357, off 0) 
 "Toronto"(L 74, off 14) 
 "Towering"(L 3863, off 31) 
 "Town"(L 62, off 10) 
 "Transcriber"(L 4875, off 0) 
 "Twisting"(L 4839, off 5) 
 "UNDER"(L 5114, off 37) 
 "USE"(L 4934, off 42) 
 "UTF-"(L 17, off 24) 
 "Unless"(L 4994, off 6) 
 "Updated"(L 4909, off 0) 
 "Vaguely"(L 1655, off 0) 
 "Volunteers"(L 5165, off 0) 
 "WILL"(L 5114, off 58) 
 "WITH"(L 5133, off 57) 
 "WORK"(L 4934, off 51) 
 "War"(L 48, off 9) 
 "Watching"(L 4806, off 55) 
 "Weakened"(L 3388, off 22) 
 "Well"(L 3834, off 1) 
 "West"(L 5191, off 15) 
 "Western"(L 4867, off 52) 
 "Whatever"(L 1679, off 26) 
 "White"(L 57, off 4) 
 "Why"(L 3804, off 1) 
 "Wild-Horse"(L 115, off 8) 
 "Wolf"(L 56, off 9) 
 "Woodpecker"(L 4644, off 0) 
 "World"(L 48, off 3) 
 "Wyoming"(L 46, off 13) 
 "Yuh"(L 779, off 1) 
 "abide"(L 4950, off 57) 
 "abounded"(L 1957, off 0) 
 "absence"(L 1203, off 36) 
 "absent-mindedly"(L 370, off 25) 
 "absently"(L 4457, off 41) 
 "abundance"(L 1062, off 61) 
 "accepting"(L 5224, off 8) 
 "accessed"(L 5000, off 29) 
 "accessible"(L 5208, off 44) 
 "accomplish"(L 3941, off 3) 
 "according"(L 844, off 0) 
 "account"(L 752, off 8) 
 "accumulated"(L 4107, off 4) 
 "accustomed"(L 3646, off 58) 
 "acreage"(L 2787, off 39) 
 "acted"(L 3921, off 5) 
 "actions"(L 1572, off 25) 
 "adding"(L 2583, off 60) 
 "addition"(L 4987, off 28) 
 "additions"(L 5153, off 39) 
 "address"(L 5066, off 5) 
 "addresses"(L 5232, off 12) 
 "adjust"(L 2708, off 48) 
 "admit"(L 4559, off 39) 
 "admitted"(L 4067, off 62) 
 "advancing"(L 2712, off 50) 
 "adventurous"(L 612, off 50) 
 "affectionately"(L 243, off 32) 
 "affording"(L 4143, off 53) 
 "aflame"(L 640, off 62) 
 "after-thought"(L 3798, off 12) 
 "again--the"(L 4176, off 0) 
 "age-old"(L 1034, off 46) 
 "agent"(L 5146, off 21) 
 "aggressively"(L 1971, off 0) 
 "ail"(L 4616, off 12) 
 "ails"(L 4614, off 6) 
 "aiming"(L 1288, off 32) 
 "alertness"(L 3401, off 39) 
 "alighted"(L 1550, off 44) 
 "alignment"(L 4083, off 23) 
 "all-clear"(L 789, off 14) 
 "alteration"(L 5153, off 10) 
 "alternate"(L 5045, off 11) 
 "amber"(L 2531, off 46) 
 "ambling"(L 3478, off 15) 
 "ambushes"(L 500, off 31) 
 "amid"(L 2805, off 54) 
 "amusement"(L 361, off 21) 
 "angels"(L 4007, off 49) 
 "angle"(L 3086, off 28) 
 "announce"(L 189, off 63) 
 "announced"(L 2652, off 22) 
 "ant"(L 1552, off 37) 
 "anxious"(L 1402, off 60) 
 "anybody"(L 1211, off 48) 
 "anyway"(L 3242, off 0) 
 "apartments"(L 1012, off 11) 
 "appearance"(L 177, off 50) 
 "appearing"(L 5013, off 55) 
 "appears"(L 4999, off 27) 
 "appetite"(L 4425, off 25) 
 "apply"(L 4916, off 60) 
 "appreciate"(L 3041, off 26) 
 "arching"(L 1889, off 25) 
 "arise"(L 5151, off 5) 
 "armed"(L 608, off 51) 
 "arrangement"(L 93, off 0) 
 "array"(L 5209, off 0) 
 "arrest"(L 836, off 8) 
 "arrest--charge"(L 837, off 52) 
 "arroyos"(L 1123, off 53) 
 "articles"(L 380, off 10) 
 "askin"(L 294, off 23) 
 "asking"(L 4817, off 15) 
 "asleep"(L 1577, off 13) 
 "assailant"(L 1719, off 0) 
 "assert"(L 3645, off 61) 
 "assistance"(L 5166, off 0) 
 "assurance"(L 4471, off 17) 
 "attached"(L 4981, off 46) 
 "attacker"(L 2591, off 54) 
 "attacking"(L 695, off 13) 
 "attraction"(L 4403, off 0) 
 "avalanche"(L 3618, off 55) 
 "avenues"(L 496, off 0) 
 "avidly"(L 977, off 13) 
 "avoided"(L 2672, off 3) 
 "awakening"(L 3493, off 0) 
 "away--you"(L 4924, off 54) 
 "awful"(L 821, off 39) 
 "awoke"(L 2653, off 0) 
 "babied"(L 279, off 64) 
 "babies"(L 1648, off 38) 
 "bachelors"(L 2367, off 27) 
 "backbone"(L 4241, off 63) 
 "backward"(L 3605, off 11) 
 "badger"(L 835, off 26) 
 "bald"(L 1588, off 8) 
 "baled"(L 4843, off 33) 
 "banished"(L 1903, off 41) 
 "bank"(L 752, off 3) 
 "banked"(L 1592, off 52) 
 "banks"(L 1502, off 22) 
 "banquet"(L 2398, off 62) 
 "bar"(L 3305, off 11) 
 "barely"(L 813, off 30) 
 "bargains"(L 307, off 25) 
 "barked"(L 2673, off 30) 
 "barn"(L 2166, off 17) 
 "barrel"(L 455, off 10) 
 "battled"(L 3464, off 9) 
 "beautiful"(L 4862, off 9) 
 "become"(L 486, off 9) 
 "becoming"(L 1975, off 38) 
 "bedground"(L 3264, off 59) 
 "begin"(L 2394, off 11) 
 "believed"(L 4666, off 42) 
 "bells"(L 2918, off 0) 
 "belong"(L 1172, off 39) 
 "berry"(L 2727, off 38) 
 "bet"(L 4037, off 6) 
 "betting"(L 4107, off 56) 
 "biddie"(L 3882, off 4) 
 "big-eared"(L 1969, off 20) 
 "bigger"(L 1704, off 14) 
 "binary"(L 5036, off 59) 
 "binding"(L 85, off 37) 
 "bird"(L 341, off 36) 
 "birth"(L 4243, off 57) 
 "bite"(L 252, off 8) 
 "bites"(L 4074, off 61) 
 "bitten"(L 2309, off 38) 
 "black-eyed"(L 1423, off 60) 
 "black-faced"(L 2843, off 9) 
 "black-tipped"(L 3684, off 6) 
 "blackened"(L 4508, off 19) 
 "blades"(L 2867, off 59) 
 "blamed"(L 885, off 30) 
 "blazoned"(L 2187, off 56) 
 "bleating"(L 696, off 14) 
 "blended"(L 1846, off 38) 
 "blending"(L 2036, off 41) 
 "blind"(L 3612, off 33) 
 "blink"(L 2653, off 36) 
 "blood-filled"(L 2684, off 23) 
 "blotting"(L 2192, off 53) 
 "blue-and-purple"(L 2050, off 50) 
 "blue-black"(L 1658, off 52) 
 "blueprints"(L 198, off 0) 
 "bluffs"(L 1516, off 65) 
 "blur"(L 4258, off 55) 
 "blustery"(L 2639, off 20) 
 "boards"(L 3499, off 10) 
 "bobbed"(L 522, off 12) 
 "bobbed-off"(L 1689, off 46) 
 "bobtail"(L 1678, off 36) 
 "body--h-mmm"(L 4457, off 4) 
 "bolt"(L 1616, off 46) 
 "bonanza"(L 744, off 39) 
 "bond"(L 2607, off 15) 
 "boned"(L 4306, off 8) 
 "book"(L 84, off 5) 
 "books"(L 39, off 19) 
 "boot"(L 866, off 19) 
 "boots"(L 1199, off 21) 
 "border"(L 4562, off 21) 
 "bottoms"(L 2205, off 45) 
 "bought"(L 3817, off 0) 
 "boulder"(L 1312, off 0) 
 "bounce"(L 1646, off 56) 
 "bouncing"(L 1895, off 4) 
 "bounding"(L 515, off 18) 
 "bout"(L 389, off 9) 
 "bowl"(L 282, off 25) 
 "boxers"(L 3574, off 19) 
 "branch-covered"(L 918, off 37) 
 "branching"(L 1970, off 42) 
 "brand"(L 274, off 4) 
 "braved"(L 3732, off 4) 
 "breathe"(L 1379, off 22) 
 "breathing"(L 2137, off 11) 
 "breezes"(L 3430, off 5) 
 "bridles"(L 1158, off 62) 
 "briefly"(L 2930, off 43) 
 "brightened"(L 1518, off 9) 
 "brightest"(L 2037, off 14) 
 "brittle"(L 2246, off 54) 
 "broad-chested"(L 1461, off 51) 
 "broadside"(L 4031, off 8) 
 "brooding"(L 620, off 45) 
 "broom"(L 4047, off 34) 
 "brown-faced"(L 1157, off 42) 
 "browsed"(L 2220, off 19) 
 "bruises"(L 1910, off 59) 
 "brush-matted"(L 4043, off 0) 
 "brush-padded"(L 3595, off 0) 
 "brutes"(L 4311, off 41) 
 "bubbled"(L 1501, off 47) 
 "bubbling"(L 1422, off 8) 
 "buck-hide"(L 755, off 12) 
 "bucks"(L 2145, off 6) 
 "bud"(L 2108, off 17) 
 "budging"(L 4111, off 17) 
 "build"(L 1009, off 0) 
 "building"(L 1624, off 11) 
 "bulbs"(L 3256, off 4) 
 "bulk"(L 4111, off 34) 
 "bullet"(L 3952, off 58) 
 "bulls"(L 4271, off 10) 
 "bumping"(L 1604, off 39) 
 "bunched"(L 996, off 23) 
 "bunnies"(L 1733, off 51) 
 "bunny"(L 2760, off 22) 
 "burdened"(L 4611, off 23) 
 "buried"(L 755, off 42) 
 "burned"(L 3953, off 43) 
 "burning"(L 2894, off 33) 
 "bursting"(L 2785, off 10) 
 "butted"(L 1527, off 41) 
 "buttes"(L 724, off 14) 
 "butting"(L 1843, off 44) 
 "buttons"(L 1767, off 0) 
 "buzzing"(L 1567, off 12) 
 "cabins"(L 4405, off 0) 
 "cache"(L 1204, off 28) 
 "cached"(L 4648, off 50) 
 "caches"(L 2049, off 54) 
 "cadence"(L 4706, off 50) 
 "caking"(L 1297, off 57) 
 "calculate"(L 5058, off 24) 
 "calculated"(L 5057, off 43) 
 "calendars"(L 374, off 5) 
 "campaign"(L 4503, off 19) 
 "candy"(L 2249, off 5) 
 "canter"(L 621, off 6) 
 "canvas"(L 967, off 6) 
 "captive"(L 2003, off 8) 
 "capturing"(L 925, off 56) 
 "carbines"(L 3843, off 0) 
 "card"(L 5233, off 50) 
 "career"(L 3580, off 13) 
 "careless"(L 3843, off 39) 
 "caress"(L 2831, off 22) 
 "caresses"(L 263, off 13) 
 "carved"(L 1126, off 0) 
 "cascaded"(L 2205, off 21) 
 "cash"(L 2953, off 51) 
 "casing"(L 4781, off 59) 
 "cast"(L 548, off 13) 
 "casting"(L 1675, off 60) 
 "castles"(L 2655, off 0) 
 "cat-of-the-mountain"(L 1660, off 26) 
 "cataract"(L 3294, off 43) 
 "catching"(L 4204, off 11) 
 "cathedral"(L 983, off 0) 
 "cathedrals"(L 2182, off 48) 
 "cattin"(L 785, off 13) 
 "causing"(L 2135, off 45) 
 "caution"(L 548, off 18) 
 "cautious"(L 2475, off 47) 
 "cavorted"(L 1552, off 63) 
 "cease"(L 4951, off 38) 
 "ceiling"(L 1006, off 0) 
 "celebrating"(L 3495, off 12) 
 "cells"(L 4617, off 0) 
 "centuries"(L 1002, off 43) 
 "cerainly"(L 4881, off 9) 
 "ceremonial"(L 1013, off 4) 
 "ceremonies"(L 1181, off 39) 
 "chaff"(L 249, off 60) 
 "chalked"(L 2010, off 52) 
 "champing"(L 1985, off 0) 
 "chances"(L 1749, off 8) 
 "chants"(L 1180, off 46) 
 "chaps"(L 4654, off 0) 
 "charitable"(L 5214, off 14) 
 "charities"(L 5214, off 0) 
 "chattered"(L 2096, off 22) 
 "chawin"(L 353, off 0) 
 "checks"(L 5233, off 15) 
 "cheeks"(L 2047, off 50) 
 "cherished"(L 912, off 57) 
 "chewed"(L 2549, off 65) 
 "chewing"(L 2296, off 12) 
 "chickaree"(L 2094, off 0) 
 "chief"(L 189, off 14) 
 "child"(L 1643, off 60) 
 "chill"(L 1805, off 9) 
 "chillness"(L 722, off 41) 
 "chins"(L 2136, off 20) 
 "chip"(L 194, off 26) 
 "chock-chock"(L 3492, off 27) 
 "chocking"(L 2660, off 31) 
 "choice"(L 1701, off 49) 
 "choking"(L 1327, off 30) 
 "choose"(L 5127, off 24) 
 "chuckling"(L 1558, off 8) 
 "cinch"(L 4661, off 57) 
 "circuit"(L 626, off 54) 
 "circulated"(L 85, off 19) 
 "claimed"(L 1770, off 63) 
 "clamped"(L 161, off 21) 
 "clattering"(L 3066, off 26) 
 "clawing"(L 1899, off 25) 
 "clearings"(L 4514, off 26) 
 "clinch"(L 2977, off 10) 
 "clods"(L 2070, off 59) 
 "closed-in"(L 1194, off 61) 
 "closely"(L 1051, off 49) 
 "cloudings"(L 1687, off 49) 
 "cloudy"(L 2528, off 4) 
 "clumsy"(L 2484, off 59) 
 "cluster"(L 2181, off 3) 
 "coarse"(L 746, off 33) 
 "coating"(L 3461, off 64) 
 "coax"(L 481, off 59) 
 "cocky"(L 761, off 46) 
 "codes"(L 5102, off 28) 
 "codger"(L 4612, off 4) 
 "collapsed"(L 3961, off 19) 
 "colors"(L 2037, off 24) 
 "colt--so"(L 1535, off 61) 
 "colthood"(L 4244, off 6) 
 "coltish"(L 3235, off 37) 
 "comb"(L 2200, off 49) 
 "combat"(L 4329, off 31) 
 "combatants"(L 4324, off 4) 
 "combined"(L 3019, off 33) 
 "comfort"(L 4412, off 63) 
 "comin"(L 4836, off 5) 
 "command"(L 3920, off 37) 
 "commercial"(L 4926, off 45) 
 "committed"(L 5213, off 18) 
 "commotion"(L 2723, off 47) 
 "companion"(L 1329, off 34) 
 "company"(L 4598, off 41) 
 "compared"(L 3111, off 57) 
 "compilation"(L 4969, off 18) 
 "compressed"(L 5037, off 0) 
 "comrades"(L 2563, off 15) 
 "comradeship"(L 2226, off 0) 
 "concern"(L 3774, off 61) 
 "condemned"(L 1667, off 4) 
 "conditions"(L 885, off 15) 
 "confidential"(L 385, off 17) 
 "confirmation"(L 5218, off 35) 
 "confirmed"(L 5247, off 27) 
 "confusing"(L 959, off 60) 
 "confusion"(L 1505, off 27) 
 "conscious"(L 4286, off 9) 
 "contested"(L 1772, off 0) 
 "continental"(L 4242, off 7) 
 "continued"(L 768, off 15) 
 "contrasting"(L 1877, off 26) 
 "contributions"(L 5222, off 35) 
 "controlled"(L 909, off 14) 
 "convert"(L 5036, off 16) 
 "convince"(L 4093, off 62) 
 "cooked"(L 4538, off 40) 
 "cooking"(L 1159, off 53) 
 "copper-red"(L 1245, off 15) 
 "copper-skinned"(L 724, off 52) 
 "corners"(L 3507, off 0) 
 "corporation"(L 5180, off 22) 
 "correct"(L 4095, off 15) 
 "corrupt"(L 5100, off 0) 
 "costly"(L 943, off 0) 
 "cot"(L 4605, off 43) 
 "cotton"(L 151, off 37) 
 "cottontail"(L 1559, off 20) 
 "cottontails"(L 1507, off 48) 
 "council"(L 1008, off 49) 
 "counterblows"(L 3604, off 46) 
 "countless"(L 2159, off 6) 
 "countries"(L 4985, off 56) 
 "county"(L 48, off 32) 
 "courted"(L 182, off 21) 
 "cow-country"(L 2951, off 27) 
 "cow-pony"(L 318, off 57) 
 "cowhands"(L 883, off 52) 
 "cowpunchers"(L 4406, off 0) 
 "crag"(L 1034, off 17) 
 "cramped"(L 1057, off 26) 
 "craters"(L 2182, off 5) 
 "craved"(L 1420, off 4) 
 "crawled"(L 2386, off 51) 
 "crazy"(L 4042, off 38) 
 "creased"(L 327, off 35) 
 "create"(L 1132, off 59) 
 "credit"(L 5233, off 43) 
 "crescendo"(L 2286, off 15) 
 "crest"(L 762, off 51) 
 "crested"(L 3445, off 46) 
 "crisp"(L 2158, off 0) 
 "critical"(L 5166, off 26) 
 "crossbreeding"(L 4448, off 0) 
 "crowd"(L 3671, off 66) 
 "crown"(L 971, off 21) 
 "crowns"(L 977, off 58) 
 "crumbled"(L 4457, off 54) 
 "crumbs"(L 187, off 40) 
 "crumpled"(L 1726, off 4) 
 "crunching"(L 1716, off 0) 
 "crushing"(L 3109, off 6) 
 "crying"(L 1384, off 13) 
 "crystal"(L 949, off 25) 
 "crystals"(L 2247, off 0) 
 "cuffed"(L 2849, off 45) 
 "cup-shaped"(L 2736, off 5) 
 "cupboard"(L 4510, off 16) 
 "current"(L 5231, off 49) 
 "curtain"(L 4842, off 0) 
 "curve"(L 1271, off 10) 
 "customs"(L 921, off 8) 
 "cymbals"(L 628, off 47) 
 "daggers"(L 4342, off 0) 
 "dainty"(L 255, off 0) 
 "damage"(L 5102, off 39) 
 "damaged"(L 5101, off 38) 
 "damaging"(L 2582, off 36) 
 "damp"(L 2893, off 61) 
 "dance"(L 1747, off 32) 
 "dances"(L 1181, off 28) 
 "dangers"(L 2154, off 40) 
 "dare"(L 1035, off 17) 
 "dared"(L 3578, off 23) 
 "dark-brown"(L 178, off 28) 
 "dashing"(L 207, off 16) 
 "data"(L 5100, off 8) 
 "daughters"(L 468, off 15) 
 "deaf"(L 1778, off 0) 
 "dear"(L 2169, off 51) 
 "debris"(L 2205, off 8) 
 "debris-filled"(L 4383, off 24) 
 "decent"(L 2968, off 48) 
 "decide"(L 3746, off 59) 
 "decorated"(L 1020, off 40) 
 "deductible"(L 5185, off 36) 
 "deep-gutted"(L 963, off 57) 
 "defeated"(L 1452, off 18) 
 "defending"(L 4438, off 26) 
 "defenses"(L 4344, off 49) 
 "defiance"(L 3192, off 56) 
 "defied"(L 713, off 12) 
 "deftly"(L 4791, off 51) 
 "degrees"(L 1517, off 63) 
 "delayed"(L 2262, off 6) 
 "deletions"(L 5153, off 52) 
 "delicate"(L 2917, off 55) 
 "demand"(L 5129, off 27) 
 "demanding"(L 3434, off 53) 
 "demon"(L 1710, off 63) 
 "depends"(L 5205, off 21) 
 "depth"(L 2245, off 25) 
 "derive"(L 5056, off 56) 
 "derived"(L 5008, off 65) 
 "descended"(L 3729, off 31) 
 "described"(L 5106, off 26) 
 "deserved"(L 4043, off 19) 
 "design"(L 2036, off 30) 
