 "'----" 1 
 "'AS-IS'" 1 
 "'Come" 1 
 "'Do" 1 
 "'Don't" 1 
 "'He" 1 
 "'Here" 1 
 "'It" 1 
 "'My" 1 
 "'Sides" 1 
 "'Take" 1 
 "'There" 1 
 "'We've" 1 
 "'Why" 1 
 "'bout" 1 
 "'em" 1 
 "'just" 1 
 "'so" 1 
 "--These" 1 
 "--amounting" 1 
 "--caused" 1 (L 3447, off 34) 
 "Breckenridge" 1 (L 1985, off 0) 
 "Bride" 1 (L 163, off 21) 
 "Brothers" 1 (L 253, off 30) 
 "Bud" 1 (L 1451, off 56) 
 "Built" 1 (L 3381, off 5) 
 "Bunker's" 1 (L 2252, off 23) 
 "Burbank" 1 (L 1573, off 29) 
 "Business" 1 (L 2486, off 29) 
 "CASH-BOX" 1 (L 1339, off 15) 
 "CATTLE" 1 (L 1759, off 35) 
 "CHANGES" 1 (L 829, off 29) 
 "CHARACTERISTICS" 1 (L 2806, off 9) 
 "CHARLIE--I" 1 (L 3689, off 5) 
 "COLORED" 1 (L 76, off 36) 
 "COMBAT" 1 (L 1240, off 27) 
 "COMPANY" 1 (L 80, off 22) 
 "COMPILED" 1 (L 64, off 0) 
 "CONDUCTOR" 1 (L 3646, off 24) 
 "CONFESSION" 1 (L 3439, off 10) 
 "CONSEQUENTIAL" 1 (L 4057, off 44) 
 "CONTAINING" 1 (L 64, off 40) 
 "CONTENTS" 1 (L 178, off 0) 
 "CONTRACT" 1 (L 4054, off 43) 
 "COUNTY" 1 (L 1105, off 39) 
 "COW-BOYS" 1 (L 1759, off 10) 
 "CUT" 1 (L 2112, off 10) 
 "Calhoun" 1 (L 2764, off 27) 
 "California" 1 (L 293, off 3) 
 "Callaway" 1 (L 1879, off 16) 
 "Camargo" 1 (L 1781, off 9) 
 "Camden" 1 (L 644, off 0) 
 "Camp" 1 (L 1791, off 57) 
 "Captain's" 1 (L 664, off 56) 
 "Careful" 1 (L 705, off 44) 
 "Cash" 1 (L 213, off 12) 
 "Catholic" 1 (L 1404, off 17) 
 "Cattle" 1 (L 225, off 35) 
 "Changes" 1 (L 195, off 29) 
 "Changing" 1 (L 1680, off 0) 
 "Characteristics" 1 (L 249, off 9) 
 "Charley" 1 (L 2278, off 21) 
 "Chief" 1 (L 4142, off 4) 
 "Circumstances" 1 (L 2518, off 9) 
 "Claude" 1 (L 2826, off 3) 
 "Cleary's" 1 (L 2524, off 0) 
 "Clinton" 1 (L 399, off 0) 
 "Coleman" 1 (L 1877, off 54) 
 "Collins'" 1 
 "Comanche" 1 (L 413, off 53) 
 "Combat" 1 (L 153, off 13) 
 "Coming" 1 (L 3410, off 55) 
 "Compliance" 1 (L 4158, off 8) 
 "Con" 1 (L 2049, off 32) 
 "Concepcion" 1 (L 1247, off 25) 
 "Conductor" 1 (L 3632, off 61) 
 "Confederates" 1 (L 441, off 21) 
 "Congress" 1 (L 2771, off 14) 
 "Consequently" 1 (L 959, off 16) 
 "Considering" 1 (L 3613, off 0) 
 "Contact" 1 (L 4032, off 11) 
 "Contributions" 1 (L 4127, off 22) 
 "Copyright" 1 (L 3923, off 32) 
 "Copyrighted" 1 (L 86, off 0) 
 "Corydon" 1 (L 1262, off 13) 
 "County" 1 (L 3809, off 62) 
 "Cow" 1 (L 225, off 10) 
 "Creating" 1 (L 3851, off 0) 
 "Croghan" 1 (L 2796, off 29) 
 "Cumberland" 1 (L 1324, off 22) 
 "Curtis" 1 (L 836, off 31) 
 "DAMAGE" 1 (L 4059, off 0) 
 "DAN" 1 (L 86, off 22) 
 "DANIEL" 1 (L 1895, off 17) 
 "DEAR" 1 (L 2940, off 5) 
 "DEATH" 1 (L 3646, off 15) 
 "DEN" 1 (L 2190, off 64) 
 "DESOLATION" 1 (L 461, off 4) 
 "DESTRUCTION" 1 (L 829, off 17) 
 "DETECTIVE" 1 (L 2190, off 40) 
 "DID" 1 (L 2606, off 4) 
 "DIRECT" 1 (L 4057, off 26) 
 "DIREFUL" 1 (L 738, off 0) 
 "DISCLAIMER" 1 (L 4047, off 25) 
 "DISTRIBUTE" 1 (L 3871, off 28) 
 "DISTRIBUTOR" 1 (L 4056, off 25) 
 "DOLLARS" 1 (L 3570, off 15) 
 "DONATIONS" 1 (L 4162, off 0) 
 "DRIVING" 1 (L 1759, off 23) 
 "Dakota" 1 (L 1573, off 41) 
 "Dalrymple" 1 (L 1306, off 0) 
 "Damphier" 1 (L 2264, off 27) 
 "Date" 1 (L 16, off 8) 
 "Davis" 1 (L 3126, off 42) 
 "Day" 1 (L 2294, off 49) 
 "DeHart" 1 (L 2672, off 60) 
 "Dedwood" 1 (L 2946, off 31) 
 "Defect" 1 (L 4098, off 0) 
 "Defects" 1 (L 4041, off 9) 
 "Den" 1 (L 157, off 49) 
 "Denver" 1 (L 2011, off 56) 
 "Desolation" 1 (L 187, off 0) 
 "Desperate" 1 (L 189, off 0) 
 "Despite" 1 (L 4039, off 25) 
 "Destruction" 1 (L 195, off 17) 
 "Detective" 1 (L 157, off 25) 
 "Detectives" 1 (L 2184, off 0) 
 "Did" 1 (L 3295, off 53) 
 "Directly" 1 (L 2617, off 0) 
 "Director" 1 (L 4142, off 24) 
 "Direful" 1 (L 191, off 0) 
 "District" 1 (L 2771, off 39) 
 "Doctor" 1 (L 2429, off 52) 
 "Don't" 1 (L 3696, off 62) 
 "Driving" 1 (L 225, off 23) 
 "Dropping" 1 (L 1727, off 9) 
 "Duncan" 1 (L 894, off 0) 
 "Duval" 1 (L 2826, off 10) 
 "EIN" 1 (L 4126, off 34) 
 "END" 1 (L 3837, off 4) 
 "ENGINEER" 1 (L 2992, off 18) 
 "EVEN" 1 (L 4058, off 19) 
 "EXCEPT" 1 (L 4054, off 52) 
 "Each" 1 (L 2576, off 5) 
 "Early" 1 (L 520, off 0) 
 "Editorial" 1 (L 72, off 30) 
 "Edmonson" 1 (L 2709, off 0) 
 "Efforts" 1 (L 1281, off 12) 
 "Eleven" 1 (L 1963, off 14) 
 "Email" 1 (L 4135, off 37) 
 "End" 1 (L 3835, off 0) 
 "Engineer" 1 (L 165, off 3) 
 "English" 1 (L 18, off 10) 
 "Ethan" 1 (L 1347, off 46) 
 "Evening" 1 
 "Everyone" 1 (L 758, off 6) 
 "Everything" 1 (L 1028, off 41) 
 "Ex-Gov" 1 (L 1573, off 21) 
 "Exposition" 1 (L 1346, off 5) 
 "Express" 1 (L 251, off 18) 
 "Extraordinary" 1 (L 2298, off 21) 
 "FACTS" 1 (L 65, off 11) 
 "FAIR" 1 (L 1339, off 43) 
 "FATAL" 1 (L 2200, off 4) 
 "FIFTY" 1 (L 3570, off 0) 
 "FIGHTING" 1 (L 598, off 10) 
 "FIRST" 1 (L 387, off 4) 
 "FITNESS" 1 (L 4077, off 44) 
 "FLEEING" 1 (L 528, off 15) 
 "FORT" 1 (L 2938, off 5) 
 "FORTUNE" 1 (L 804, off 0) 
 "FOUNDATION" 1 (L 4055, off 48) 
 "FREEBOOTERS" 1 (L 66, off 10) 
 "Fargo" 1 (L 2999, off 62) 
 "Fatal" 1 (L 239, off 0) 
 "February" 1 (L 966, off 43) 
 "Fellow" 1 (L 479, off 54) 
 "Fifteen" 1 (L 1322, off 0) 
 "Fight" 1 (L 207, off 9) 
 "Fighting" 1 (L 189, off 10) 
 "Firman" 1 (L 1405, off 56) 
 "Flat" 1 (L 698, off 0) 
 "Fleeing" 1 (L 147, off 0) 
 "Foiled" 1 (L 534, off 20) 
 "Following" 1 (L 643, off 11) 
 "Ford" 1 (L 698, off 10) 
 "Fortune" 1 (L 193, off 0) 
 "Fourth" 1 (L 2771, off 32) 
 "Francisco" 1 (L 1458, off 24) 
 "Franklin" 1 (L 506, off 29) 
 "Fresh" 1 (L 892, off 50) 
 "Frohlichstein" 1 (L 2766, off 26) 
 "Frontispiece" 1 (L 141, off 33) 
 "Full" 1 (L 3876, off 59) 
 "Further" 1 (L 3050, off 38) 
 "G--d" 1 (L 3244, off 59) 
 "GAD'S" 1 (L 1591, off 21) 
 "GAMBLING" 1 (L 2190, off 55) 
 "GENEVIEVE" 1 (L 1386, off 20) 
 "GEO" 1 (L 2381, off 27) 
 "GIVE" 1 (L 4058, off 31) 
 "GLENDALE" 1 (L 3439, off 28) 
 "GLENDALE--THE" 1 (L 2307, off 3) 
 "GUILTY" 1 (L 3570, off 60) 
 "GUTENBERG-tm" 1 (L 3857, off 53) 
 "Gaine's" 1 (L 838, off 25) 
 "Gambling" 1 (L 157, off 40) 
 "Georg" 1 (L 2483, off 12) 
 "German" 1 (L 1421, off 19) 
 "Getting" 1 (L 3631, off 29) 
 "Give" 1 (L 2789, off 50) 
 "Glasgow" 1 (L 2624, off 34) 
 "Glendale--the" 1 (L 241, off 3) 
 "Going" 1 (L 2863, off 12) 
 "Greenman" 1 (L 2340, off 44) 
 "Gregg" 1 (L 1986, off 34) 
 "Gregory" 1 (L 4141, off 8) 
 "Grove" 1 (L 2948, off 5) 
 "Gutenberg-tm's" 1 (L 4109, off 54) 
 "HAVE" 1 (L 4053, off 25) 
 "HIDING" 1 (L 1105, off 15) 
 "HILL" 1 (L 1591, off 27) 
 "HISTORICAL" 1 (L 80, off 0) 
 "HISTORY" 1 (L 57, off 27) 
 "HOBBS" 1 (L 2190, off 15) 
 "HOT" 1 (L 1515, off 23) 
 "HUNT" 1 (L 1663, off 21) 
 "HUNTINGTON" 1 (L 2067, off 4) 
 "Had" 1 (L 576, off 11) 
 "Hall" 1 (L 1350, off 14) 
 "Hardin" 1 (L 2185, off 52) 
 "Hardin's" 1 (L 3782, off 42) 
 "Harrison" 1 (L 3576, off 9) 
 "Hart" 1 (L 4181, off 21) 
 "Hartford" 1 (L 840, off 19) 
 "Hastily" 1 (L 971, off 9) 
 "Heard" 1 (L 3566, off 15) 
 "Henry" 1 (L 2263, off 47) 
 "Her" 1 (L 2880, off 27) 
 "Hermann" 1 (L 1428, off 19) 
 "Hiding" 1 (L 205, off 11) 
 "Highwaymen" 1 (L 62, off 19) 
 "Hills--so" 1 (L 3047, off 58) 
 "History" 1 (L 11, off 34) 
 "Honey" 1 (L 2947, off 62) 
 "Hotel" 1 (L 3790, off 61) 
 "House" 1 (L 2264, off 36) 
 "Howard" 1 (L 812, off 31) 
 "However" 1 (L 3980, off 39) 
 "Hudson" 1 (L 1791, off 62) 
 "Hunt" 1 (L 223, off 21) 
 "I'd" 1 (L 3477, off 51) 
 "ILLUSTRATED" 1 (L 76, off 0) 
 "ILLUSTRATIONS" 1 (L 138, off 0) 
 "IMPLIED" 1 (L 4076, off 41) 
 "INCIDENTAL" 1 (L 4058, off 0) 
 "INCLUDING" 1 (L 4076, off 50) 
 "INDEMNITY" 1 (L 4088, off 7) 
 "INDIRECT" 1 (L 4057, off 34) 
 "INTERVIEW" 1 (L 3131, off 3) 
 "IOWA" 1 (L 1255, off 14) 
 "IRS" 1 (L 4154, off 16) 
 "Iland" 1 (L 2485, off 61) 
 "Indians" 1 (L 414, off 0) 
 "Instantaneously" 1 (L 3218, off 10) 
 "Instead" 1 (L 365, off 0) 
 "Internal" 1 (L 4125, off 58) 
 "International" 1 (L 4170, off 0) 
 "Interview" 1 (L 253, off 3) 
 "Iron" 1 (L 1597, off 47) 
 "Ironton" 1 (L 1649, off 5) 
 "Its" 1 (L 4134, off 11) 
 "J----" 1 
 "JACKSON" 1 (L 1105, off 31) 
 "JAMES--THEIR" 1 (L 181, off 16) 
 "JULY" 1 (L 3568, off 35) 
 "Jacks" 1 (L 89, off 6) 
 "James--well" 1 (L 1170, off 26) 
 "Jarrette" 1 (L 703, off 18) 
 "Jasper" 1 (L 2461, off 16) 
 "Jeff" 1 (L 1879, off 0) 
 "Jefferson" 1 (L 3556, off 52) 
 "Jesse--whom" 1 (L 2692, off 46) 
 "Joel" 1 (L 3010, off 30) 
 "Jones" 1 (L 1879, off 6) 
 "Joplin" 1 (L 2176, off 10) 
 "Joseph" 1 (L 373, off 40) 
 "Judge" 1 (L 2889, off 38) 
 "KERRY" 1 (L 2190, off 21) 
 "KIND" 1 (L 4076, off 24) 
 "Kas" 1 (L 3742, off 18) 
 "Keith" 1 (L 2962, off 15) 
 "Kerry's" 1 (L 2170, off 6) 
 "Keshler" 1 (L 2373, off 22) 
 "Kidder" 1 (L 3698, off 49) 
 "Kit" 1 (L 3544, off 8) 
 "Knight" 1 (L 1507, off 64) 
 "Knott" 1 (L 2770, off 63) 
 "LAST" 1 (L 2307, off 17) 
 "LATE" 1 (L 76, off 17) 
 "LATEST" 1 (L 65, off 4) 
 "LIABILITY" 1 (L 4054, off 0) 
 "LIABLE" 1 (L 4057, off 0) 
 "LINAHAN" 1 (L 86, off 27) 
 "LLC" 1 (L 4031, off 28) 
 "Lafayette" 1 (L 633, off 47) 
 "Lake" 1 (L 4135, off 0) 
 "Langhorn" 1 (L 2373, off 40) 
 "Language" 1 (L 18, off 0) 
 "Last" 1 (L 241, off 17) 
 "Later" 1 (L 3230, off 27) 
 "Lawrenceville" 1 (L 2762, off 15) 
 "LeSeur" 1 (L 2274, off 5) 
 "Leaving" 1 (L 732, off 30) 
 "Lee" 1 (L 723, off 40) 
 "Lee's" 1 (L 439, off 49) 
 "Legends" 1 (L 71, off 42) 
 "Lieut" 1 (L 641, off 25) 
 "Life" 1 (L 71, off 11) 
 "Living" 1 (L 2387, off 14) 
 "Lizzie" 1 (L 2765, off 0) 
 "Locating" 1 (L 980, off 0) 
 "Logan" 1 (L 1040, off 28) 
 "Look" 1 (L 3695, off 30) 
 "Looking" 1 (L 3664, off 61) 
 "Louisville" 1 (L 2717, off 0) 
 "MAMMOTH" 1 (L 2688, off 15) 
 "MASSACRE" 1 (L 738, off 8) 
 "MCCULLOCH" 1 (L 3679, off 34) 
 "MEANT" 1 (L 2992, off 31) 
 "MERCHANTABILITY" 1 (L 4077, off 25) 
 "MEXICANS" 1 (L 1240, off 45) 
 "MEXICO" 1 (L 1178, off 20) 
 "MINNESOTA" 1 (L 2200, off 22) 
 "MUNCIE" 1 (L 2001, off 27) 
 "MURDERING" 1 (L 1759, off 0) 
 "Madelia" 1 (L 2285, off 13) 
 "Major's" 1 (L 773, off 34) 
 "Malvern" 1 (L 1520, off 46) 
 "Mankato" 1 (L 2232, off 52) 
 "Marr" 1 (L 2501, off 5) 
 "Marr's" 1 (L 2460, off 9) 
 "Marr's--gave" 1 (L 2479, off 57) 
 "Massachusetts" 1 (L 1561, off 15) 
 "Massacre" 1 (L 191, off 8) 
 "McCulloch" 1 (L 3650, off 37) 
 "McDaniels'" 1 
 "Meanwhile" 1 (L 3520, off 22) 
 "Meeting" 1 (L 2342, off 21) 
 "Member" 1 (L 72, off 16) 
 "Memphis" 1 (L 839, off 0) 
 "Merchants'" 1 
 "Mexican's" 1 (L 1218, off 27) 
 "Michael" 1 (L 4181, off 10) 
 "Miller's" 1 (L 2556, off 15) 
 "Minnetonka" 1 (L 3135, off 42) 
 "Misses" 1 (L 2785, off 17) 
 "Mission" 1 (L 4100, off 33) 
 "Missouri's" 1 (L 3794, off 40) 
 "Mobile" 1 (L 2766, off 44) 
 "Montgomery" 1 (L 814, off 15) 
 "Moss" 1 (L 1720, off 48) 
 "Most" 1 (L 4193, off 0) 
 "Mountain" 1 (L 1597, off 52) 
 "Mumford" 1 (L 2889, off 44) 
 "Murdering" 1 (L 225, off 0) 
 "NEGLIGENCE" 1 (L 4053, off 46) 
 "NOTED" 1 (L 58, off 4) 
 "Name" 1 (L 3422, off 62) 
 "Nash's" 1 (L 641, off 32) 
 "Nashville" 1 (L 2717, off 15) 
 "Nevertheless" 1 (L 1198, off 45) 
 "New" 1 (L 1458, off 37) 
 "Newby" 1 (L 4141, off 19) 
 "Noland" 1 (L 2400, off 6) 
 "Noted" 1 (L 11, off 49) 
 "Notwithstanding" 1 (L 702, off 29) 
 "O'Hara" 1 (L 2049, off 36) 
 "OFF" 1 (L 1759, off 31) 
 "OFFERED" 1 (L 3570, off 30) 
 "ONLY" 1 (L 64, off 31) 
 "OTHER" 1 (L 4076, off 0) 
 "OUTLAWS" 1 (L 58, off 10) 
 "OWNER" 1 (L 4056, off 10) 
 "Obvious" 1 (L 39, off 1) 
 "Olathe's" 1 (L 3744, off 29) 
 "Oliver" 1 (L 1043, off 0) 
 "Omaha" 1 (L 1459, off 21) 
 "Only" 1 (L 2567, off 10) 
 "Open" 1 (L 3664, off 23) 
 "Osceola" 1 (L 532, off 11) 
 "Other" 1 (L 938, off 20) 
 "Otter" 1 (L 2140, off 51) 
 "Ozarks" 1 (L 71, off 57) 
 "PACIFIC" 1 (L 2921, off 10) 
 "PARAGRAPH" 1 (L 4055, off 12) 
 "PARTIES" 1 (L 3571, off 0) 
 "PERSONAL" 1 (L 2806, off 0) 
 "PGLAF" 1 (L 3906, off 15) 
 "PLACE" 1 (L 1105, off 22) 
 "PLATES" 1 (L 76, off 44) 
 "PLEASE" 1 (L 3871, off 0) 
 "POSSIBILITY" 1 (L 4058, off 50) 
 "PREFACE" 1 (L 95, off 0) 
 "PROVIDED" 1 (L 4055, off 0) 
 "PUBLISHING" 1 (L 80, off 11) 
 "PUNITIVE" 1 (L 4057, off 59) 
 "PURPOSE" 1 (L 4077, off 60) 
 "Paisley" 1 (L 2767, off 8) 
 "Parsons" 1 (L 2175, off 53) 
 "Part" 1 (L 3014, off 33) 
 "Passing" 1 (L 3350, off 25) 
 "Personal" 1 (L 249, off 0) 
 "Phelps" 1 (L 3786, off 17) 
 "Pinkerton's" 1 (L 1931, off 34) 
 "Pittis" 1 (L 2138, off 54) 
 "Place" 1 (L 205, off 18) 
 "Pleasant" 1 (L 617, off 63) 
 "Please" 1 (L 4174, off 0) 
 "Press" 1 (L 73, off 26) 
 "Previous" 1 (L 2335, off 38) 
 "Printers" 1 (L 89, off 19) 
 "Proctor" 1 (L 2770, off 55) 
 "Professor" 1 (L 4181, off 0) 
 "Prompt" 1 (L 2019, off 11) 
 "Prostrate" 1 (L 3084, off 34) 
 "Pullman" 1 (L 3228, off 31) 
 "Quite" 1 (L 2787, off 1) 
 "RAID" 1 (L 1440, off 34) 
 "READ" 1 (L 3871, off 7) 
 "RECRUITING" 1 (L 1440, off 15) 
 "REFUND" 1 (L 4061, off 39) 
 "REGARD" 1 (L 65, off 20) 
 "RELIABLE" 1 (L 64, off 14) 
 "REMEDIES" 1 (L 4053, off 33) 
 "REPLACEMENT" 1 (L 4061, off 24) 
 "RESIDENCE" 1 (L 1804, off 26) 
 "REWARD" 1 (L 3570, off 23) 
 "RIGHT" 1 (L 4061, off 15) 
 "ROBBING" 1 (L 1339, off 0) 
 "ROCKY" 1 (L 2112, off 4) 
 "ROMANTIC" 1 (L 1120, off 15) 
 "Raid" 1 (L 155, off 19) 
 "Railway" 1 (L 746, off 63) 
 "Ransom" 1 (L 617, off 31) 
 "Recruiting" 1 (L 155, off 0) 
 "Redistributing" 1 (L 3880, off 36) 
 "Redistribution" 1 (L 3865, off 37) 
 "Refund" 1 (L 4048, off 18) 
 "Refusing" 1 (L 2348, off 23) 
 "Release" 1 (L 16, off 0) 
 "Replacement" 1 (L 4048, off 3) 
 "Residence" 1 (L 227, off 26) 
 "Reuben" 1 (L 294, off 49) 
 "Revenue" 1 (L 4126, off 0) 
 "Reward" 1 (L 1504, off 12) 
 "Rice" 1 (L 2235, off 43) 
 "Right" 1 (L 4047, off 65) 
 "Ringo" 1 (L 3111, off 22) 
 "River" 1 (L 2498, off 27) 
 "Robt" 1 (L 272, off 17) 
 "Rogs" 1 (L 2485, off 56) 
 "Rogue's" 1 (L 2497, off 37) 
 "Rolla" 1 (L 1507, off 45) 
 "Romantic" 1 (L 151, off 0) 
 "Rose" 1 (L 3544, off 12) 
 "Rudd" 1 (L 704, off 52) 
 "Ryan" 1 (L 89, off 0) 
 "SAN" 1 (L 1945, off 4) 
 "SCENERY" 1 (L 1120, off 24) 
 "SEND" 1 (L 4161, off 66) 
 "SHOOT" 1 (L 2606, off 17) 
 "SKIRMISHES" 1 (L 387, off 10) 
 "SLICK" 1 (L 3701, off 5) 
 "SOURCES" 1 (L 64, off 23) 
 "SPRINGS" 1 (L 1515, off 27) 
 "SQUADS" 1 (L 598, off 22) 
 "STAGES" 1 (L 2688, off 28) 
 "STE" 1 (L 1386, off 15) 
 "STRICT" 1 (L 4053, off 58) 
 "SUCH" 1 (L 4058, off 65) 
 "Salt" 1 (L 4134, off 66) 
 "Saturday-night" 1 (L 2551, off 35) 
 "Savings" 1 (L 1401, off 20) 
 "Say" 1 (L 1721, off 24) 
 "Scenery" 1 (L 151, off 9) 
 "Scout" 1 (L 71, off 33) 
 "Seaver's" 1 (L 3492, off 15) 
 "Second" 1 (L 654, off 0) 
 "Sections" 1 (L 4116, off 0) 
 "Service" 1 (L 4126, off 8) 
 "Shawnee" 1 (L 583, off 42) 
 "Shelton" 1 (L 2764, off 15) 
 "Sheriff" 1 (L 3016, off 51) 
 "Shieldsville" 1 (L 2273, off 39) 
 "Shoot" 1 (L 245, off 17) 
 "Shooting" 1 (L 243, off 0) 
 "Sidney" 1 (L 2946, off 20) 
 "Since" 1 (L 3556, off 27) 
 "Singleton" 1 (L 1451, off 60) 
 "Singling" 1 (L 662, off 0) 
 "Singular" 1 (L 2809, off 0) 
 "Sitting" 1 (L 466, off 0) 
 "Sixty" 1 (L 3169, off 58) 
 "Skirmishes" 1 (L 185, off 6) 
 "Slowly" 1 (L 3175, off 11) 
 "Smiley" 1 (L 865, off 15) 
 "Smith" 1 (L 2470, off 62) 
 "Sni-a-bar" 1 (L 3770, off 59) 
 "Somebody" 1 (L 3529, off 57) 
 "Sometimes" 1 (L 3271, off 0) 
 "Spanish" 1 (L 1198, off 29) 
 "Spartacus" 1 (L 1056, off 52) 
 "Special" 1 (L 3855, off 11) 
 "Squads" 1 (L 189, off 22) 
 "Staff" 1 (L 72, off 40) 
 "Starr" 1 (L 1769, off 37) 
 "Station" 1 (L 3619, off 22) 
 "Stores" 1 (L 544, off 46) 
 "Strangely" 1 (L 270, off 0) 
 "Subsequently" 1 (L 3032, off 43) 
 "Such" 1 (L 2896, off 18) 
 "Suffering" 1 (L 991, off 0) 
 "Sugar" 1 (L 819, off 10) 
 "Summit" 1 (L 439, off 55) 
 "Supposing" 1 (L 900, off 47) 
 "Suspecting" 1 (L 3652, off 24) 
 "TERRIBLE" 1 (L 1178, off 2) 
 "TEXAS" 1 (L 877, off 23) 
 "THESE" 1 (L 65, off 30) 
 "THOSE" 1 (L 4054, off 59) 
 "THOUSAND" 1 (L 3570, off 6) 
 "THREE" 1 (L 1240, off 39) 
 "THRILLING" 1 (L 57, off 17) 
 "TRADEMARK" 1 (L 4056, off 0) 
 "TURNING" 1 (L 804, off 8) 
 "Tally" 1 (L 3544, off 26) 
 "Taylor" 1 (L 1561, off 4) 
 "Taylor's" 1 (L 1563, off 57) 
 "Telegrams" 1 (L 1034, off 40) 
 "Tell" 1 (L 2947, off 42) 
 "Ten" 1 (L 3366, off 43) 
 "Tenn" 1 (L 2764, off 36) 
 "Terrible" 1 (L 207, off 0) 
 "Territories" 1 (L 2316, off 31) 
 "There's" 1 (L 2948, off 49) 
 "Thrilling" 1 (L 11, off 24) 
 "Thursday" 1 (L 1345, off 32) 
 "Tipton" 1 (L 2166, off 23) 
 "Title" 1 (L 10, off 0) 
 "Tom's" 1 (L 2526, off 11) 
 "Trademark" 1 (L 4031, off 18) 
 "Transcriber's" 1 (L 37, off 1) 
 "Treasury" 1 (L 3002, off 24) 
 "UNDER" 1 (L 4056, off 37) 
 "UNFORTUNATE" 1 (L 1663, off 9) 
 "UNION" 1 (L 2921, off 4) 
 "USE" 1 (L 3871, off 42) 
 "Unfortunate" 1 (L 223, off 9) 
 "Unless" 1 (L 3932, off 5) 
 "Updated" 1 (L 3848, off 0) 
 "Volunteers" 1 (L 4108, off 0) 
 "WATCHED" 1 (L 2190, off 27) 
 "WESTFALL" 1 (L 3646, off 34) 
 "WHIRLWIND" 1 (L 829, off 4) 
 "WHO" 1 (L 2992, off 27) 
 "WHY" 1 (L 2606, off 0) 
 "WICHER'S" 1 (L 1663, off 0) 
 "WILL" 1 (L 4056, off 58) 
 "WINS" 1 (L 2900, off 27) 
 "WINSTON" 1 (L 3568, off 21) 
 "WORK" 1 (L 3871, off 51) 
 "WORTH" 1 (L 2938, off 10) 
 "WRECKING" 1 (L 1445, off 0) 
 "Wabash" 1 (L 746, off 35) 
 "Warrensburg" 1 (L 642, off 0) 
 "Washington" 1 (L 3002, off 36) 
 "Wayne" 1 (L 1599, off 3) 
 "Webb" 1 (L 2073, off 21) 
 "Wellington" 1 (L 733, off 24) 
 "Welsh" 1 (L 2767, off 50) 
 "Wesson" 1 (L 2471, off 0) 
 "Wheeler" 1 (L 2263, off 53) 
 "Where" 1 (L 1689, off 1) 
 "Whirlwind" 1 (L 195, off 4) 
 "White" 1 (L 1021, off 63) 
 "Will" 1 (L 3422, off 43) 
 "Wisconsin" 1 
 "Within" 1 (L 3755, off 0) 
